species,set,number,year,rarity,cause,alt_asset_id,detail
Lilligant,Black & White,10/114,2011,Rare,alt_xyz_year_differs,88ac755e-c2b1-4688-8392-7cf0f37a4e33,alt.xyz years 2021 | 2021 Pokemon Sword and Shield Evolving Skies Reverse Holo Li
Swanna,Black & White,37/114,2011,Rare,alt_xyz_year_differs,5f3f1e15-fc4a-49f0-945d-d0a4468d0a07,alt.xyz years 2016 | 2016 Pokemon XY Breakpoint Swanna #37
Jellicent,Boundaries Crossed,45/149,2012,Rare,alt_xyz_year_differs,f04eb7cf-c1b4-4e32-903d-bf83a0e6d904,alt.xyz years 2025 | 2025 Pokemon White Flare Holo Jellicent Ex #045
Leavanny,Emerging Powers,7/98,2011,Rare,alt_xyz_year_differs,4acce619-c367-4dcc-a23e-6150fbc89fcb,alt.xyz years 2014 | 2014 Pokemon XY Phantom Forces Leavanny #7; 2014 Pokemon XY Phantom Forces Reverse Holo Leavanny #7
Sawsbuck,Emerging Powers,16/98,2011,Rare,alt_xyz_year_differs,d141ae7a-af45-485b-8b9b-2dbfa793358b,alt.xyz years 2019 | 2019 Pokemon Sun and Moon Cosmic Eclipse Holo Sawsbuck #16
Swoobat,Emerging Powers,37/98,2011,Rare,alt_xyz_year_differs,ac0fba89-b25d-45cd-9ba0-8c5edcd3f84e,alt.xyz years 2025 | 2025 Pokemon TCG Scarlet & Violet White Flare Swoobat Poke B; 2025 White Flare - Wht En - English Reverse Holo Swoobat #03
Wigglytuff,Great Encounters,32/106,2008,Rare,alt_xyz_year_differs,fc3befea-f25b-4ab7-96f6-7b0aaf2fd6cf,alt.xyz years 1999 | 1999 Pokemon Jungle 1st Edition Wigglytuff #32; 1999 Pokemon Jungle Wigglytuff #32
Sandslash,HeartGold & SoulSilver,29/123,2010,Rare,alt_xyz_year_differs,bc4cee76-2e19-4a78-b290-3411b5aaf7a1,alt.xyz years 2018 | 2018 Ultra Pokemon Sun and Moon Prism Alolan Sandslash #29; 2018 Ultra Pokemon Sun and Moon Prism Reverse Foil Alolan Sa
Tyrogue,HeartGold & SoulSilver,33/123,2010,Rare,alt_xyz_year_differs,a9f1b909-802e-433f-8ab0-449b23065c04,alt.xyz years 2005 | 2005 Pokemon Ex Unseen Forces Reverse Holo Tyrogue #33; 2005 Pokemon Ex Unseen Forces Holo Tyrogue #33
Unown,Majestic Dawn,33/100,2008,Rare,alt_xyz_year_differs,69202dfa-b12a-475b-ac75-52b823a3be01,alt.xyz years 2001 | 2001 Neo Discovery - 1st Edition English Unown A #33; 2001 Pokemon Neo Discovery Holo Unown A #33
