species,set,number,year,rarity,notes,alt_asset_id,reason_flag,cause,detail
Genesect,BW Black Star Promos,BW86,2011-2013,Promo,no rarity column on source page,e64cb381-1f1b-4114-bb26-108d034a583f,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present BGS
Meowth,BW Black Star Promos,BW35,2011-2013,Promo,no rarity column on source page,9b0592c4-de0c-4bbe-8c21-ac3b7a31f619,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present BGS
Hitmonchan,Best of Promos,2,2002-2003,Promo,,decac264-d86f-43df-924c-e79469f45ce3,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present BGS
Alomomola,Black & White,39/114,2011,Rare,,aaf8900c-470f-4025-9224-323b7547cb6e,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Bouffalant,Black & White,91/114,2011,Rare,,2e2f1185-9829-4209-adbe-0a3fcd8bbb4b,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Cinccino,Black & White,89/114,2011,Rare,,a2027a4a-70fc-4a41-bba0-be2572091f83,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Galvantula,Black & White,46/114,2011,Rare,,2008afb8-431b-4bc4-8b0d-b2f6af9a3ed3,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Musharna,Black & White,49/114,2011,Rare,,ac729a7a-86f9-45c5-9217-79e86180150f,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Zebstrika,Black & White,43/114,2011,Rare,,123c372e-e64e-4914-84ec-74662d397059,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Gliscor,Boundaries Crossed,81/149,2012,Rare Holo,,ef5796eb-3803-408c-9f23-72dedfe20adf,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Keldeo,Boundaries Crossed,47/149,2012,Rare Holo,,e9f42654-095f-476f-9b69-981379d8ca83,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Lilligant,Boundaries Crossed,17/149,2012,Rare,,9e02576d-4e76-46dd-8ffd-4c150df28d6b,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Musharna,Boundaries Crossed,69/149,2012,Rare,,ac4052e5-f75c-4b2a-991f-f16fcc0a1628,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Accelgor,Dark Explorers,11/108,2012,Rare,,60f96802-834c-4dbc-a76b-333ea1b258c1,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present BGS
Scrafty,Dark Explorers,68/108,2012,Rare,,f3feae0f-6913-4d03-bba7-82c824f2762f,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Drapion,Diamond & Pearl,23/130,2007,Rare,,4087cdba-948d-4987-8fc1-132d8b4131de,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Lopunny,Diamond & Pearl,30/130,2007,Rare,,ae25070c-8bd4-4186-b9ad-18b901dbe735,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Pachirisu,Diamond & Pearl,35/130,2007,Rare,,bebbdea0-352e-4286-b372-0e3649bec596,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Wynaut,Diamond & Pearl,42/130,2007,Rare,,11b2b56d-d1a1-4888-a035-52a0da619ef4,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Buizel,Diamond & Pearl Black Star Promos,DP13,2007-2009,Promo,,d046acd6-8097-4ad5-b5f6-704f71076f22,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present BGS
Cranidos,Diamond & Pearl Black Star Promos,DP07,2007-2009,Promo,,1f2d2052-ff89-4347-b951-190b83ede402,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present BGS
