character,nightly_scope,alt_english_rows,with_psa10_pop,zero_psa10_pop,no_psa_rows,with_price,alt_market_cap_usd,newest_scrape
Charizard,all years,251,175,5,71,173,586317648,2026-09-18
Pikachu,all years,495,327,12,156,319,411946563,2026-09-18
Rayquaza,all years,110,81,5,24,77,171612391,2026-09-18
Gengar,all years,104,87,3,14,84,195729318,2026-09-18
Mew,all years,102,79,2,21,77,204747247,2026-09-18
Mewtwo,all years,199,132,4,63,129,212922964,2026-09-18
Umbreon,all years,100,80,0,20,76,265538259,2026-09-18
Lugia,all years,94,69,1,24,68,107673338,2026-09-18
Gyarados,all years,122,104,1,17,96,62959831,2026-09-18
Latias,all years,57,45,2,10,45,59511189,2026-09-18
Latios,all years,62,50,2,10,48,49955502,2026-09-18
Espeon,all years,77,65,1,11,63,69392135,2026-09-18
Dragonite,all years,103,78,4,21,76,74528248,2026-09-18
Blastoise,all years,116,81,5,30,78,66687875,2026-09-18
Snorlax,all years,120,101,1,18,96,60723584,2026-09-18
Tyranitar,all years,96,81,2,13,78,32643364,2026-09-18
Gardevoir,all years,82,73,0,9,68,33246032,2026-09-18
Mimikyu,all years,70,53,1,16,52,44083554,2026-09-18
Groudon,all years,60,52,3,5,49,26559712,2026-09-18
Suicune,all years,65,54,0,11,51,22073003,2026-09-18
Deoxys,all years,74,61,0,13,54,22136946,2026-09-18
Reshiram,all years,71,56,1,14,54,34832642,2026-09-18
Venusaur,all years,108,78,3,27,76,47599370,2026-09-18
Alakazam,all years,64,53,1,10,50,35336254,2026-09-18
Dialga,all years,68,56,3,9,52,23777695,2026-09-18
Eevee,all years,195,149,5,41,142,42100084,2026-09-18
Darkrai,all years,62,52,2,8,49,24675400,2026-09-18
Sylveon,all years,62,46,1,15,45,38334751,2026-09-18
Zekrom,all years,51,41,2,8,39,40213030,2026-09-18
Giratina,all years,47,37,2,8,36,57642933,2026-09-18
Raikou,all years,42,35,0,7,35,21650683,2026-09-18
Kyogre,all years,56,47,2,7,45,16811154,2026-09-18
Raichu,all years,149,124,4,21,119,34107590,2026-09-18
Zapdos,all years,110,87,2,21,88,52298973,2026-09-18
Entei,all years,63,52,2,9,49,16558268,2026-09-18
Celebi,all years,55,44,2,9,43,35433274,2026-09-18
Moltres,all years,90,69,2,19,67,46482347,2026-09-18
Greninja,all years,57,46,1,10,45,28565853,2026-09-18
Lucario,all years,105,77,7,21,71,19890150,2026-09-18
Vaporeon,all years,94,75,2,17,71,30085570,2026-09-18
Articuno,all years,91,71,2,18,68,41937337,2026-09-18
Flareon,all years,91,74,3,14,72,27992705,2026-09-18
Houndoom,all years,79,68,3,8,62,16437918,2026-09-18
Glaceon,all years,69,48,4,17,46,16043199,2026-09-18
Palkia,all years,55,47,1,7,45,23381105,2026-09-18
Leafeon,all years,75,49,3,23,46,16910192,2026-09-18
Ho-Oh,all years,52,34,1,17,32,10753733,2026-09-18
Jolteon,all years,93,78,1,14,77,22312170,2026-09-18
Mudkip,<=2013 only,38,32,1,5,27,4245661,2026-09-18
Magikarp,all years,100,82,4,14,77,39953558,2026-09-18
Garchomp,all years,56,45,3,8,38,13468381,2026-09-18
Arcanine,all years,84,68,4,12,60,12739656,2026-09-18
Ditto,all years,66,51,1,14,50,10547766,2026-09-18
Ninetales,all years,107,89,5,13,84,12256987,2026-09-18
Machamp,all years,91,72,6,13,70,20137306,2026-09-18
Psyduck,all years,79,63,3,13,58,21562120,2026-09-18
Arceus,<=2013 only,45,39,0,6,38,28978952,2026-09-18
Blaziken,all years,58,47,2,9,46,10422876,2026-09-18
Victini,<=2013 only,48,45,2,1,39,11071510,2026-09-18
Metagross,<=2013 only,49,45,2,2,38,9616861,2026-09-18
Kyurem,all years,59,44,4,11,43,2036605,2026-09-18
Zoroark,<=2013 only,51,48,2,1,47,7396982,2026-09-18
Salamence,<=2013 only,44,41,1,2,41,5577966,2026-09-18
Kabutops,<=2013 only,39,38,1,0,35,9770018,2026-09-18
Scizor,<=2013 only,51,47,2,2,42,7779005,2026-09-18
Jirachi,<=2013 only,42,38,2,2,37,8678808,2026-09-18
Ampharos,<=2013 only,61,53,1,7,47,10632124,2026-09-18
Typhlosion,<=2013 only,55,47,1,7,45,15445717,2026-09-18
Crobat,<=2013 only,53,48,3,2,44,6290652,2026-09-18
Slowpoke,weekly only,64,63,0,1,51,8516083,2026-09-18
