input,asset_id,card_name,alt_url,alt_public_url,year,set,card_number,subject,variety,grading_company,grade,pop_at_grade,company_total_pop,index_total_pop,index_transaction_count,num_sales,last_sale_price,last_sale_date,last_sale_source,avg_last_3_sales,highest_sale,lowest_sale,scraped_at,listing_source,listing_grade,listing_grading_company,listing_price,listing_url,clean_last_sale_price,clean_last_sale_date,clean_last_sale_source,outliers_excluded,price_chg_30d_pct,price_chg_90d_pct,price_chg_1y_pct,mkt_cap_chg_30d_pct,volume_30d,volume_90d,volume_1y,pop_30d_ago,pop_chg_30d,median_last_3,sales_first_date,sales_total,history_days
asset:0000df84-a88f-4eea-86ef-b0c30694019e,0000df84-a88f-4eea-86ef-b0c30694019e,2013 Legendary Treasures English Emolga #RC23,https://alt.xyz/research/0000df84-a88f-4eea-86ef-b0c30694019e,https://alt.xyz/itm/1fab7eda-331e-4cdc-834a-7efbb7e61c3f/external,2013,Legendary Treasures,RC23,Emolga,English,PSA,10.0,45,1675,,,29,8100.0,2026-08-30,PWCC Weekly Auctions,7250.0,8100.0,83.0,2026-09-10T22:11:25,,,,,,8100,2026-08-30,PWCC Weekly Auctions,0,0,-1.41,276.34,,1,2,11,,,6999.99,2021-03-04,29,1
asset:00034e74-d4ba-469d-b5df-916a93a758a5,00034e74-d4ba-469d-b5df-916a93a758a5,2000 Pokemon Action Flipz Premier Charmander/Charmeleon #7,https://alt.xyz/research/00034e74-d4ba-469d-b5df-916a93a758a5,,2000,Pokemon Action Flipz Premier,7,Charmander/Charmeleon,,PSA,10.0,,,1,,0,,,,,,,2026-09-13T13:03:20,,,,,,,,,0,,,,,0,0,0,,,,,0,0
asset:00046c1b-8e1e-44e9-808b-a0553d28b3cd,00046c1b-8e1e-44e9-808b-a0553d28b3cd,2024 Paldean Fates - Paf En English Rabsca #163,https://alt.xyz/research/00046c1b-8e1e-44e9-808b-a0553d28b3cd,,2024,Paldean Fates - Paf En,163,Rabsca,English,PSA,10.0,25,46,,,16,85.0,2026-08-29,eBay,68.33,85.0,5.0,2026-09-10T23:43:10,,,,,,85,2026-08-29,eBay,0,100,,276.47,,2,3,5,,,80,2024-05-06,16,1
asset:00066844-3370-440b-bb05-59e9b25e5a5e,00066844-3370-440b-bb05-59e9b25e5a5e,2017 Pokemon Sun and Moon Shining Legends '19 Yellow A Alternate Art Hidden Fates Great Ball Collection Zoroark Gx #77A,https://alt.xyz/research/00066844-3370-440b-bb05-59e9b25e5a5e,https://alt.xyz/itm/a07e9815-9977-4fd4-ab5e-0f913216bc86/external,2017,Pokemon Sun and Moon Shining Legends,77A,Zoroark Gx,'19 Yellow A Alternate Art Hidden Fates Great Ball Collection,PSA,10.0,2054,3210,,,725,92.0,2026-09-09,eBay,102.5,199.99,19.99,2026-09-10T22:02:26,,,,,,92,2026-09-09,eBay,0,-7.89,-24.99,16,,14,35,161,,,105,2025-08-02,193,1
asset:0009e3b1-8a43-45ca-8fd4-1b06497f9404,0009e3b1-8a43-45ca-8fd4-1b06497f9404,2023 Pokemon Scarlet and Violet Scarlet Ex Indonesian Penny Sr #100,https://alt.xyz/research/0009e3b1-8a43-45ca-8fd4-1b06497f9404,,2023,Pokemon Scarlet and Violet Scarlet Ex Indonesian,100,Penny Sr,,PSA,10.0,2,3,,,0,,,,,,,2026-09-11T00:59:10,,,,,,,,,0,,,,,0,0,0,,,,,0,1
asset:000c10a0-8949-4c5d-9c27-a974b91862c3,000c10a0-8949-4c5d-9c27-a974b91862c3,2019 Team Up English Evelyn #175,https://alt.xyz/research/000c10a0-8949-4c5d-9c27-a974b91862c3,https://alt.xyz/itm/07c8115a-c605-4a4f-b526-a78886d45715/external,2019,Team Up,175,Evelyn,English,PSA,10.0,486,962,,,191,245.0,2026-09-07,eBay,210.33,300.0,48.55,2026-09-10T22:23:52,,,,,,245,2026-09-07,eBay,0,-13.04,-8.05,-4.76,,3,8,46,,,200,2021-02-21,191,1
asset:000f3a3c-6480-41f5-bb7d-67acf9bedd3c,000f3a3c-6480-41f5-bb7d-67acf9bedd3c,2020 Pokemon Sword and Shield Vivid Voltage Reverse Holo Dedenne #77,https://alt.xyz/research/000f3a3c-6480-41f5-bb7d-67acf9bedd3c,,2020,Pokemon Sword and Shield Vivid Voltage,77,Dedenne,Reverse Holo,PSA,10.0,4,12,,,3,15.5,2024-12-11,eBay,19.24,21.5,15.5,2026-09-11T00:30:08,,,,,,15.5,2024-12-11,eBay,0,,,,,0,0,0,,,,2022-02-21,3,1
asset:000fbe97-a73f-497e-859f-dd2559639759,000fbe97-a73f-497e-859f-dd2559639759,2020 Pokemon Sword and Shield Champion's Path Holo Centiskorch #10,https://alt.xyz/research/000fbe97-a73f-497e-859f-dd2559639759,https://alt.xyz/itm/014261a1-ba4e-45f1-8e4d-7c9ad5358b21/external,2020,Pokemon Sword and Shield Champion's Path,10,Centiskorch,Holo,PSA,10.0,113,268,,,59,36.14,2026-09-05,eBay,40.55,55.0,3.99,2026-09-10T22:55:46,,,,,,36.14,2026-09-05,eBay,0,-12.41,-19.69,,,3,5,11,,,36.14,2021-09-08,59,1
asset:001391a7-5a28-407a-8d3e-b3c997e69ee0,001391a7-5a28-407a-8d3e-b3c997e69ee0,2019 Pokemon Swsh Bsp Holo Brilliant Stars Single Pack Blisters Eevee #SWSH190,https://alt.xyz/research/001391a7-5a28-407a-8d3e-b3c997e69ee0,,2019,Pokemon Swsh Bsp,SWSH190,Eevee,Holo Brilliant Stars Single Pack Blisters,PSA,10.0,13,460,457,,4,1200.0,2026-03-03,eBay,430.67,1200.0,32.0,2026-09-13T17:18:22,,,,,,1200,2026-03-03,eBay,0,,,,,0,0,1,,,,2023-05-18,4,1
asset:00139467-16ef-419c-a0f9-c9b86ee835d0,00139467-16ef-419c-a0f9-c9b86ee835d0,2002 Expedition English Dugtrio #44,https://alt.xyz/research/00139467-16ef-419c-a0f9-c9b86ee835d0,https://alt.xyz/itm/cdc98338-058e-478a-9180-ff07f229dc74/external,2002,Expedition,44,Dugtrio,English,PSA,10.0,55,131,,,25,200.0,2026-08-17,eBay,141.65,200.0,14.56,2026-09-10T23:14:32,,,,,,200,2026-08-17,eBay,0,44.48,62.58,225.07,,1,1,6,,,162.5,2021-07-06,25,1
