character,alt_english_rows,with_psa10_pop,zero_psa10_pop,no_psa_rows,with_price,alt_market_cap_usd,alt_market_cap_le2013_usd,newest_scrape
Charizard,251,175,5,71,173,703219534,318510899,2026-09-22
Pikachu,495,327,13,155,319,412988869,97473848,2026-09-22
Umbreon,100,80,0,20,76,255386548,79475923,2026-09-22
Mewtwo,199,132,4,63,129,255027778,109800322,2026-09-22
Gengar,104,87,3,14,84,236851923,109548781,2026-09-22
Mew,102,79,2,21,77,215909922,69484973,2026-09-22
Rayquaza,110,82,5,23,78,187574273,90924819,2026-09-22
Lugia,94,69,1,24,68,114349621,65002610,2026-09-22
Dragonite,103,77,5,21,76,77322054,49762110,2026-09-22
Espeon,77,65,1,11,63,72447636,44871181,2026-09-22
Blastoise,116,81,5,30,78,69620572,37679433,2026-09-22
Gyarados,122,104,1,17,97,66986888,52843639,2026-09-22
Zapdos,110,87,2,21,88,62845272,28339149,2026-09-22
Latias,57,45,2,10,45,62050298,14147377,2026-09-22
Snorlax,120,102,1,17,97,59918608,34315468,2026-09-22
Giratina,47,37,2,8,36,58783716,1471303,2026-09-22
Moltres,90,69,2,19,67,55226537,20422326,2026-09-22
Torchic,55,41,5,9,36,53954222,53757692,2026-09-22
Latios,62,50,2,10,48,52298785,7803533,2026-09-22
Articuno,91,71,2,18,68,51211775,20692094,2026-09-22
Venusaur,108,78,3,27,76,48626776,24701559,2026-09-22
Mudkip,44,33,4,7,28,46331976,45955826,2026-09-22
Magikarp,101,83,4,14,77,44775920,12230991,2026-09-22
Tyranitar,96,81,2,13,78,43381899,28811806,2026-09-22
Charmander,121,99,1,21,97,42372060,19362834,2026-09-22
Celebi,55,44,2,9,43,42264854,32571857,2026-09-22
Mimikyu,71,54,1,16,53,41576108,0,2026-09-22
Eevee,195,149,5,41,142,37821401,8574212,2026-09-22
Zekrom,52,42,3,7,40,37559098,2394152,2026-09-22
Sylveon,62,47,1,14,45,36201565,56000,2026-09-22
Alakazam,64,53,1,10,50,36152067,22711005,2026-09-22
Flareon,91,74,3,14,72,36007329,23308299,2026-09-22
Raichu,150,125,4,21,119,34939731,25375409,2026-09-22
Vaporeon,94,75,2,17,71,34116011,24605244,2026-09-22
Reshiram,71,56,1,14,54,33320687,4194735,2026-09-22
Gardevoir,82,73,0,9,68,31448914,3374101,2026-09-22
Squirtle,84,60,3,21,56,30717400,16691715,2026-09-22
Suicune,65,54,0,11,51,30421809,26109424,2026-09-22
Psyduck,79,63,4,12,58,29265622,14940657,2026-09-22
Greninja,57,46,1,10,45,29188849,0,2026-09-22
Arceus,49,39,0,10,38,28804831,9184334,2026-09-22
Dialga,68,56,3,9,52,28073518,7039034,2026-09-22
Raikou,42,35,0,7,35,27677987,23770784,2026-09-22
Groudon,60,52,3,5,49,27614271,15594274,2026-09-22
Darkrai,62,52,2,8,49,26204288,10298536,2026-09-22
Palkia,55,47,1,7,46,24561045,8172733,2026-09-22
Ho-Oh,69,48,1,20,46,24138993,16080366,2026-09-22
Kyogre,56,47,2,7,45,24096147,17170132,2026-09-22
Jolteon,94,78,1,15,77,23132836,14383012,2026-09-22
Deoxys,74,61,0,13,54,22936299,12577640,2026-09-22
Lucario,105,77,7,21,71,19743454,2061247,2026-09-22
Garchomp,56,45,3,8,38,19434995,7777255,2026-09-22
Bulbasaur,84,57,3,24,55,18194863,6445149,2026-09-22
Leafeon,75,49,3,23,46,18115356,1421159,2026-09-22
Machamp,91,72,6,13,70,18092827,13012813,2026-09-22
Houndoom,79,68,3,8,62,17657482,15444031,2026-09-22
Entei,63,52,2,9,49,17495701,13723841,2026-09-22
Kabutops,39,38,1,0,35,17396123,17325061,2026-09-22
Typhlosion,59,46,1,12,44,17235255,15552072,2026-09-22
Glaceon,69,48,4,17,46,16467227,1153390,2026-09-22
Nidoking,44,33,2,9,30,15606818,12831610,2026-09-22
Arcanine,84,68,4,12,60,15012391,14228961,2026-09-22
Slowking,46,41,2,3,37,13495764,12273521,2026-09-22
Ninetales,108,89,5,14,84,12975011,9881802,2026-09-22
Wailord,32,25,2,5,22,12910234,1387107,2026-09-22
