asset_id,week_start,n_sales,median_price,low,high
2a00c52c-4d79-4351-8fa5-2b89cbc04000,2021-10-25,1,60,60,60
2a00c52c-4d79-4351-8fa5-2b89cbc04000,2021-11-01,1,36,36,36
2a00c52c-4d79-4351-8fa5-2b89cbc04000,2021-12-06,1,63,63,63
2a00c52c-4d79-4351-8fa5-2b89cbc04000,2021-12-20,1,32,32,32
2a00c52c-4d79-4351-8fa5-2b89cbc04000,2022-01-17,1,50,50,50
2a00c52c-4d79-4351-8fa5-2b89cbc04000,2022-03-07,1,65,65,65
2a00c52c-4d79-4351-8fa5-2b89cbc04000,2022-08-22,1,60,60,60
2a00c52c-4d79-4351-8fa5-2b89cbc04000,2023-09-04,1,60,60,60
2a00c52c-4d79-4351-8fa5-2b89cbc04000,2023-11-06,1,43.48,43.48,43.48
2a00c52c-4d79-4351-8fa5-2b89cbc04000,2023-12-25,1,47,47,47
2a00c52c-4d79-4351-8fa5-2b89cbc04000,2024-01-15,2,29.99,19.99,39.99
2a00c52c-4d79-4351-8fa5-2b89cbc04000,2024-11-25,1,49,49,49
2a00c52c-4d79-4351-8fa5-2b89cbc04000,2025-02-10,1,49.99,49.99,49.99
2a00c52c-4d79-4351-8fa5-2b89cbc04000,2025-02-24,1,119.98,119.98,119.98
2a00c52c-4d79-4351-8fa5-2b89cbc04000,2025-07-28,1,120,120,120
2a00c52c-4d79-4351-8fa5-2b89cbc04000,2025-08-18,1,139.99,139.99,139.99
2a00d448-8d0d-4b47-8295-8600625e4be8,2026-07-20,3,78.74,72,110
2a00d448-8d0d-4b47-8295-8600625e4be8,2026-07-27,21,80,61,91
2a00d448-8d0d-4b47-8295-8600625e4be8,2026-08-03,9,80,70,122.24
2a00d448-8d0d-4b47-8295-8600625e4be8,2026-08-10,20,78,66.51,100
2a00d448-8d0d-4b47-8295-8600625e4be8,2026-08-17,26,71.78,48,112.49
2a00d448-8d0d-4b47-8295-8600625e4be8,2026-08-24,66,54,50,95.14
2a00d448-8d0d-4b47-8295-8600625e4be8,2026-08-31,42,67.5,45,88.64
2a00d448-8d0d-4b47-8295-8600625e4be8,2026-09-07,18,71,53,92.91
2a025d47-6529-49e1-ae1d-bef36adfe70a,2022-10-24,1,53,53,53
2a025d47-6529-49e1-ae1d-bef36adfe70a,2023-02-13,1,52,52,52
2a025d47-6529-49e1-ae1d-bef36adfe70a,2023-04-03,1,75,75,75
2a025d47-6529-49e1-ae1d-bef36adfe70a,2025-04-28,1,799.99,799.99,799.99
2a025d47-6529-49e1-ae1d-bef36adfe70a,2026-05-25,1,2000,2000,2000
2a025d47-6529-49e1-ae1d-bef36adfe70a,2026-06-01,1,3899,3899,3899
2a02a8a6-f48d-4baf-aeaa-c72a5228413a,2026-06-22,9,255,185.5,270
2a02a8a6-f48d-4baf-aeaa-c72a5228413a,2026-06-29,14,240,210.5,265
2a02a8a6-f48d-4baf-aeaa-c72a5228413a,2026-07-06,23,250,189,385.75
2a02a8a6-f48d-4baf-aeaa-c72a5228413a,2026-07-13,17,250,200,280
2a02a8a6-f48d-4baf-aeaa-c72a5228413a,2026-07-20,11,246.5,222,370.66
2a02a8a6-f48d-4baf-aeaa-c72a5228413a,2026-07-27,16,242.5,212.39,265
2a02a8a6-f48d-4baf-aeaa-c72a5228413a,2026-08-03,29,240,200,265
2a02a8a6-f48d-4baf-aeaa-c72a5228413a,2026-08-10,16,233.75,181.5,365
2a02a8a6-f48d-4baf-aeaa-c72a5228413a,2026-08-17,24,222.5,140,260
2a02a8a6-f48d-4baf-aeaa-c72a5228413a,2026-08-24,9,215,167.81,269
2a02a8a6-f48d-4baf-aeaa-c72a5228413a,2026-08-31,18,226.25,200,250
2a02a8a6-f48d-4baf-aeaa-c72a5228413a,2026-09-07,12,212.32,180.5,250
2a035d04-4659-494d-9770-f076656c7a52,2026-04-20,1,120,120,120
2a058411-38ca-4fe9-8650-fc5f9fcb8362,2025-09-01,1,52.8,52.8,52.8
2a058411-38ca-4fe9-8650-fc5f9fcb8362,2025-10-06,1,37.2,37.2,37.2
2a0a6a57-9112-4b76-b614-92948ce0da6b,2022-12-26,1,45,45,45
2a0a6a57-9112-4b76-b614-92948ce0da6b,2023-02-27,1,41,41,41
2a0a6a57-9112-4b76-b614-92948ce0da6b,2023-05-22,1,80,80,80
2a0a6a57-9112-4b76-b614-92948ce0da6b,2023-05-29,1,30,30,30
2a0a6a57-9112-4b76-b614-92948ce0da6b,2023-06-12,1,54,54,54
2a0a6a57-9112-4b76-b614-92948ce0da6b,2024-03-11,1,41,41,41
2a0a6a57-9112-4b76-b614-92948ce0da6b,2024-07-22,1,22.49,22.49,22.49
2a0a6a57-9112-4b76-b614-92948ce0da6b,2024-07-29,1,79.99,79.99,79.99
2a0a6a57-9112-4b76-b614-92948ce0da6b,2025-03-24,1,160,160,160
2a0a6a57-9112-4b76-b614-92948ce0da6b,2025-04-07,1,169.99,169.99,169.99
2a0a6a57-9112-4b76-b614-92948ce0da6b,2026-05-11,1,355,355,355
2a0a6a57-9112-4b76-b614-92948ce0da6b,2026-08-31,1,515,515,515
2a0a6a57-9112-4b76-b614-92948ce0da6b,2026-09-07,1,535.6,535.6,535.6
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-04-07,3,41,32.8,42
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-04-14,3,33,30,47.78
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-04-21,5,40,32,44
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-04-28,3,36,34.99,38
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-05-05,5,31.9,12.5,51
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-05-12,5,35,31,46
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-05-19,1,23.5,23.5,23.5
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-05-26,8,36,23.5,55
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-06-02,1,40,40,40
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-06-09,1,27.01,27.01,27.01
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-06-16,3,40,39.99,40
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-06-30,4,39,32,72.95
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-07-07,7,32,30,49.99
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-07-14,3,40,22.5,40
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-07-21,5,35,25,47
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-08-11,3,39.99,34.99,51.77
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-08-25,2,41,40,42
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-09-01,5,42,37,59.27
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-09-08,3,33,30.52,49.99
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-09-15,4,40,37.5,44.99
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-09-22,1,50,50,50
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-09-29,2,38.5,37,39.99
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-10-06,3,40,38,50
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-10-13,5,38.25,30,49.99
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-10-20,2,46.5,45,48.01
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-10-27,1,31,31,31
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-11-03,2,52,44,59.99
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-11-10,3,50,49.99,65
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-11-17,2,44.5,41,48
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-11-24,2,39.5,39,40
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-12-01,1,35,35,35
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-12-08,1,45,45,45
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-12-15,1,45,45,45
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-12-22,2,47.5,44.99,50
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2025-12-29,1,31.2,31.2,31.2
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2026-01-05,1,44.99,44.99,44.99
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2026-01-12,3,50,44.99,63.62
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2026-01-19,3,45,45,46
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2026-01-26,3,45,40,47
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2026-02-16,2,33.5,31,36
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2026-02-23,1,29,29,29
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2026-03-02,4,48.34,32,54.99
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2026-03-16,1,44,44,44
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2026-03-23,5,40,26.99,45
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2026-03-30,5,40,38,45
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2026-04-06,4,38,30,42
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2026-04-13,3,36,28,52.02
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2026-04-27,4,51.49,42.75,65
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2026-05-04,3,45,43,49.99
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2026-05-11,1,42,42,42
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2026-05-18,6,44.5,40,46
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2026-05-25,2,54.99,49.99,59.99
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2026-06-01,4,55,49.95,56
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2026-06-08,5,49.99,47,57
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2026-06-15,4,52.05,44,80
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2026-06-22,5,50,38.9,54.99
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2026-06-29,1,42,42,42
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2026-07-06,3,47.5,44,54
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2026-07-13,3,50,44.4,60
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2026-07-20,3,45,36.88,59.99
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2026-07-27,1,45,45,45
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2026-08-10,2,46.5,42,51
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2026-08-17,1,40,40,40
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2026-08-24,6,46.74,40.8,50
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2026-08-31,2,42.5,40,45
2a0c6571-7b9e-48ce-ad60-2192020bad8e,2026-09-07,1,50,50,50
2a0f1021-90d4-49be-b575-03c3d5b9def0,2021-07-05,1,85,85,85
2a0f1021-90d4-49be-b575-03c3d5b9def0,2021-12-20,2,22.5,21.5,23.5
2a0f1021-90d4-49be-b575-03c3d5b9def0,2021-12-27,1,110,110,110
2a0f1021-90d4-49be-b575-03c3d5b9def0,2022-01-10,1,35,35,35
2a0f1021-90d4-49be-b575-03c3d5b9def0,2022-05-02,1,59.95,59.95,59.95
2a0f1021-90d4-49be-b575-03c3d5b9def0,2024-02-19,1,103.99,103.99,103.99
2a0f1021-90d4-49be-b575-03c3d5b9def0,2024-07-15,1,64.25,64.25,64.25
2a0f1021-90d4-49be-b575-03c3d5b9def0,2024-09-09,1,74.99,74.99,74.99
2a0f1021-90d4-49be-b575-03c3d5b9def0,2026-03-09,1,156,156,156
2a0f1021-90d4-49be-b575-03c3d5b9def0,2026-06-15,1,500,500,500
2a0f1021-90d4-49be-b575-03c3d5b9def0,2026-07-27,1,346.64,346.64,346.64
2a118eae-2e62-4ff6-987e-9214a9155a17,2026-05-04,1,81,81,81
2a118eae-2e62-4ff6-987e-9214a9155a17,2026-05-18,1,145,145,145
2a118eae-2e62-4ff6-987e-9214a9155a17,2026-05-25,1,85,85,85
2a118eae-2e62-4ff6-987e-9214a9155a17,2026-06-01,2,130,120,139.99
2a118eae-2e62-4ff6-987e-9214a9155a17,2026-07-13,1,117.4,117.4,117.4
2a118eae-2e62-4ff6-987e-9214a9155a17,2026-07-20,1,64,64,64
2a118eae-2e62-4ff6-987e-9214a9155a17,2026-07-27,11,61.23,51,77
2a118eae-2e62-4ff6-987e-9214a9155a17,2026-08-03,5,44,40,85
2a118eae-2e62-4ff6-987e-9214a9155a17,2026-08-10,1,54,54,54
2a118eae-2e62-4ff6-987e-9214a9155a17,2026-08-17,1,70,70,70
2a118eae-2e62-4ff6-987e-9214a9155a17,2026-08-24,3,59,51,66
2a118eae-2e62-4ff6-987e-9214a9155a17,2026-08-31,11,55,46,80
2a118eae-2e62-4ff6-987e-9214a9155a17,2026-09-07,5,46,41,60
2a1ca642-e6ad-4a2f-981c-4c95ae15ebf0,2025-01-06,1,21.99,21.99,21.99
2a1ca642-e6ad-4a2f-981c-4c95ae15ebf0,2025-02-10,1,30,30,30
2a1ca642-e6ad-4a2f-981c-4c95ae15ebf0,2025-03-10,2,22.75,15.5,30
2a1ca642-e6ad-4a2f-981c-4c95ae15ebf0,2025-03-17,1,8.5,8.5,8.5
2a1ca642-e6ad-4a2f-981c-4c95ae15ebf0,2025-03-24,1,26,26,26
2a1ca642-e6ad-4a2f-981c-4c95ae15ebf0,2025-03-31,3,17.5,17,24
2a1ca642-e6ad-4a2f-981c-4c95ae15ebf0,2025-04-21,1,22.19,22.19,22.19
2a1ca642-e6ad-4a2f-981c-4c95ae15ebf0,2025-05-19,1,14.5,14.5,14.5
2a1ca642-e6ad-4a2f-981c-4c95ae15ebf0,2025-06-09,1,16.8,16.8,16.8
2a1ca642-e6ad-4a2f-981c-4c95ae15ebf0,2025-07-07,1,18,18,18
2a1ca642-e6ad-4a2f-981c-4c95ae15ebf0,2025-10-06,3,21,16.86,28
2a1ca642-e6ad-4a2f-981c-4c95ae15ebf0,2026-01-05,1,29.99,29.99,29.99
2a1ca642-e6ad-4a2f-981c-4c95ae15ebf0,2026-01-12,1,30.99,30.99,30.99
2a1ca642-e6ad-4a2f-981c-4c95ae15ebf0,2026-03-02,1,19.99,19.99,19.99
2a1ca642-e6ad-4a2f-981c-4c95ae15ebf0,2026-04-27,1,34.95,34.95,34.95
2a1ca642-e6ad-4a2f-981c-4c95ae15ebf0,2026-06-08,2,30,20,40
2a1ca642-e6ad-4a2f-981c-4c95ae15ebf0,2026-06-15,1,34.95,34.95,34.95
