asset_id,week_start,n_sales,median_price,low,high
4b011681-d5f3-4e9d-9ade-4ae5221f741e,2021-10-25,1,450,450,450
4b011681-d5f3-4e9d-9ade-4ae5221f741e,2021-12-06,1,686,686,686
4b011681-d5f3-4e9d-9ade-4ae5221f741e,2022-02-14,1,340,340,340
4b011681-d5f3-4e9d-9ade-4ae5221f741e,2022-02-21,1,350,350,350
4b011681-d5f3-4e9d-9ade-4ae5221f741e,2022-02-28,1,370,370,370
4b011681-d5f3-4e9d-9ade-4ae5221f741e,2022-04-25,1,380,380,380
4b011681-d5f3-4e9d-9ade-4ae5221f741e,2022-06-06,1,400,400,400
4b011681-d5f3-4e9d-9ade-4ae5221f741e,2022-07-11,1,550,550,550
4b011681-d5f3-4e9d-9ade-4ae5221f741e,2022-08-15,1,465,465,465
4b011681-d5f3-4e9d-9ade-4ae5221f741e,2023-03-20,1,750,750,750
4b011681-d5f3-4e9d-9ade-4ae5221f741e,2023-05-22,1,310,310,310
4b011681-d5f3-4e9d-9ade-4ae5221f741e,2023-06-05,1,430,430,430
4b011681-d5f3-4e9d-9ade-4ae5221f741e,2023-06-12,1,400,400,400
4b011681-d5f3-4e9d-9ade-4ae5221f741e,2024-04-22,1,900,900,900
4b011681-d5f3-4e9d-9ade-4ae5221f741e,2024-06-17,1,279.6,279.6,279.6
4b011681-d5f3-4e9d-9ade-4ae5221f741e,2025-01-27,1,620.03,620.03,620.03
4b011681-d5f3-4e9d-9ade-4ae5221f741e,2025-09-01,1,836.06,836.06,836.06
4b011681-d5f3-4e9d-9ade-4ae5221f741e,2025-09-29,1,1000,1000,1000
4b011681-d5f3-4e9d-9ade-4ae5221f741e,2025-12-29,1,1000,1000,1000
4b011681-d5f3-4e9d-9ade-4ae5221f741e,2026-03-09,1,1800,1800,1800
4b011681-d5f3-4e9d-9ade-4ae5221f741e,2026-04-06,1,1170,1170,1170
4b011681-d5f3-4e9d-9ade-4ae5221f741e,2026-05-11,1,1175,1175,1175
4b011681-d5f3-4e9d-9ade-4ae5221f741e,2026-06-15,1,2850,2850,2850
4b011681-d5f3-4e9d-9ade-4ae5221f741e,2026-07-06,1,4000,4000,4000
4b011681-d5f3-4e9d-9ade-4ae5221f741e,2026-09-21,1,5900,5900,5900
4b01186d-2bac-46a0-b3ad-4a7858be99f5,2021-09-06,1,400,400,400
4b01186d-2bac-46a0-b3ad-4a7858be99f5,2022-06-20,1,320,320,320
4b01186d-2bac-46a0-b3ad-4a7858be99f5,2022-09-26,1,169.5,169.5,169.5
4b01186d-2bac-46a0-b3ad-4a7858be99f5,2022-11-07,1,100,100,100
4b01186d-2bac-46a0-b3ad-4a7858be99f5,2024-03-11,1,240,240,240
4b01186d-2bac-46a0-b3ad-4a7858be99f5,2026-05-25,1,3000,3000,3000
4b01186d-2bac-46a0-b3ad-4a7858be99f5,2026-09-14,2,4899.5,4800,4999
4b025de7-37bb-44ca-ba20-f0814005aa57,2023-02-06,2,297.5,240,355
4b025de7-37bb-44ca-ba20-f0814005aa57,2023-02-13,10,221.75,203.5,270.55
4b025de7-37bb-44ca-ba20-f0814005aa57,2023-02-20,8,217.5,175.18,250
4b025de7-37bb-44ca-ba20-f0814005aa57,2023-02-27,4,201.5,177.5,300
4b025de7-37bb-44ca-ba20-f0814005aa57,2023-03-06,6,163.75,122.5,200
4b025de7-37bb-44ca-ba20-f0814005aa57,2023-03-13,10,169.44,137.5,200
4b025de7-37bb-44ca-ba20-f0814005aa57,2023-03-20,8,156,119,175
4b025de7-37bb-44ca-ba20-f0814005aa57,2023-03-27,12,140,86.45,225
4b025de7-37bb-44ca-ba20-f0814005aa57,2023-04-03,13,150,113.49,179.99
4b025de7-37bb-44ca-ba20-f0814005aa57,2023-04-10,6,146.25,102.5,150
4b025de7-37bb-44ca-ba20-f0814005aa57,2023-04-17,16,128,110,219.99
4b025de7-37bb-44ca-ba20-f0814005aa57,2023-04-24,12,112.5,96,155
4b025de7-37bb-44ca-ba20-f0814005aa57,2023-05-01,5,125,89,135
4b025de7-37bb-44ca-ba20-f0814005aa57,2023-05-08,11,105.5,85,149.99
4b025de7-37bb-44ca-ba20-f0814005aa57,2023-05-15,16,105,82,150
