asset_id,week_start,n_sales,median_price,low,high
520022a8-543a-4f41-bc77-e8d02a66e6d5,2023-10-02,1,103.2,103.2,103.2
520022a8-543a-4f41-bc77-e8d02a66e6d5,2024-06-10,1,112.8,112.8,112.8
520022a8-543a-4f41-bc77-e8d02a66e6d5,2024-08-12,1,119.97,119.97,119.97
5208a511-1662-4f97-9be8-63342ac60592,2022-02-21,1,19.06,19.06,19.06
5208a511-1662-4f97-9be8-63342ac60592,2022-03-07,1,27.19,27.19,27.19
5208a511-1662-4f97-9be8-63342ac60592,2022-04-04,1,17.63,17.63,17.63
5208a511-1662-4f97-9be8-63342ac60592,2022-06-20,1,52.97,52.97,52.97
5208a511-1662-4f97-9be8-63342ac60592,2022-09-26,1,45.49,45.49,45.49
5208a511-1662-4f97-9be8-63342ac60592,2023-02-27,1,34.95,34.95,34.95
5208a511-1662-4f97-9be8-63342ac60592,2023-04-24,1,35,35,35
5208a511-1662-4f97-9be8-63342ac60592,2023-06-05,1,29.76,29.76,29.76
5208a511-1662-4f97-9be8-63342ac60592,2023-06-19,1,48.04,48.04,48.04
5208a511-1662-4f97-9be8-63342ac60592,2024-02-26,1,35,35,35
5208a511-1662-4f97-9be8-63342ac60592,2024-04-22,1,42.42,42.42,42.42
5208a511-1662-4f97-9be8-63342ac60592,2024-07-15,1,22,22,22
5208a511-1662-4f97-9be8-63342ac60592,2024-12-02,1,21.6,21.6,21.6
5208a511-1662-4f97-9be8-63342ac60592,2025-01-06,2,26.5,26,27
5208a511-1662-4f97-9be8-63342ac60592,2025-01-13,2,21.2,13.61,28.8
5208a511-1662-4f97-9be8-63342ac60592,2025-03-10,1,49.2,49.2,49.2
5208a511-1662-4f97-9be8-63342ac60592,2025-03-17,2,23.4,22.8,24
5208a511-1662-4f97-9be8-63342ac60592,2025-03-24,1,24,24,24
5208a511-1662-4f97-9be8-63342ac60592,2025-03-31,1,20.4,20.4,20.4
5208a511-1662-4f97-9be8-63342ac60592,2025-04-28,1,20.5,20.5,20.5
5208a511-1662-4f97-9be8-63342ac60592,2025-06-09,1,26.4,26.4,26.4
5208a511-1662-4f97-9be8-63342ac60592,2025-06-16,1,26.4,26.4,26.4
5208a511-1662-4f97-9be8-63342ac60592,2025-06-23,1,30,30,30
5208a511-1662-4f97-9be8-63342ac60592,2025-06-30,1,25.2,25.2,25.2
5208a511-1662-4f97-9be8-63342ac60592,2025-07-14,1,50.61,50.61,50.61
5208a511-1662-4f97-9be8-63342ac60592,2025-09-29,1,49.99,49.99,49.99
5208a511-1662-4f97-9be8-63342ac60592,2025-11-03,1,37,37,37
5208a511-1662-4f97-9be8-63342ac60592,2025-11-24,2,30,30,30
5208a511-1662-4f97-9be8-63342ac60592,2026-01-05,1,59.99,59.99,59.99
5208a511-1662-4f97-9be8-63342ac60592,2026-04-06,1,99,99,99
5208a511-1662-4f97-9be8-63342ac60592,2026-06-29,1,115,115,115
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2024-12-02,1,32.01,32.01,32.01
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2024-12-09,1,29.95,29.95,29.95
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2025-01-27,1,85,85,85
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2025-03-17,1,145,145,145
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2025-03-31,2,107.5,95,120
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2025-04-07,1,51,51,51
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2025-04-14,1,46.12,46.12,46.12
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2025-04-28,1,76,76,76
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2025-05-05,1,29.99,29.99,29.99
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2025-05-12,1,49.99,49.99,49.99
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2025-06-09,1,32,32,32
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2025-06-16,1,44,44,44
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2025-06-30,2,67,54.99,79
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2025-07-28,1,42.49,42.49,42.49
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2025-08-04,1,61,61,61
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2025-08-18,4,50.5,39,60
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2025-08-25,2,39.5,27,52
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2025-09-01,1,42,42,42
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2025-09-15,2,55.94,52,59.88
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2025-09-29,2,46.5,33,60
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2025-10-13,3,64.99,42.73,80
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2025-10-20,1,81,81,81
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2025-10-27,2,104.99,83.99,125.99
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2025-11-03,2,72.5,70,75
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2025-11-10,2,53,35,71
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2025-11-17,2,45.5,36,55
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2025-12-01,1,47,47,47
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2025-12-15,4,34.5,31.55,50
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2025-12-22,2,35,20,50
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2025-12-29,3,64.76,60,75
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2026-01-05,2,54,53,54.99
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2026-01-12,1,55,55,55
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2026-02-16,2,63.87,47,80.74
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2026-02-23,2,54.25,32.5,76
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2026-03-02,3,75,55,120
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2026-03-16,1,67.5,67.5,67.5
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2026-03-23,1,56.4,56.4,56.4
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2026-04-06,2,92.5,87.99,97
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2026-04-13,2,108.43,96.87,119.99
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2026-04-20,5,117,90,140
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2026-04-27,2,121,92,150
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2026-05-18,2,123,96,150
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2026-06-01,1,289,289,289
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2026-06-29,2,127.95,120.9,135
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2026-07-13,1,70,70,70
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2026-07-27,3,99.99,93.28,129.99
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2026-08-03,1,97,97,97
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2026-08-10,1,150,150,150
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2026-08-24,2,96.41,90.32,102.5
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2026-08-31,1,93,93,93
520aa6f5-e59b-4caf-bd66-e9931bb5b005,2026-09-07,3,103.2,76,180
520d985a-9fad-48f3-bdd3-56017f63e820,2021-09-27,1,35,35,35
520d985a-9fad-48f3-bdd3-56017f63e820,2022-01-17,1,35,35,35
520d985a-9fad-48f3-bdd3-56017f63e820,2022-07-18,1,16.07,16.07,16.07
520d985a-9fad-48f3-bdd3-56017f63e820,2022-07-25,1,20,20,20
520daaab-0920-472d-920d-947bf2aaa49e,2022-12-19,1,40,40,40
520daaab-0920-472d-920d-947bf2aaa49e,2023-02-13,1,80.99,80.99,80.99
520daaab-0920-472d-920d-947bf2aaa49e,2023-05-22,1,49.95,49.95,49.95
520daaab-0920-472d-920d-947bf2aaa49e,2023-06-12,1,38,38,38
520daaab-0920-472d-920d-947bf2aaa49e,2023-11-20,1,16.5,16.5,16.5
520daaab-0920-472d-920d-947bf2aaa49e,2023-12-18,1,27.5,27.5,27.5
520daaab-0920-472d-920d-947bf2aaa49e,2023-12-25,1,31,31,31
520daaab-0920-472d-920d-947bf2aaa49e,2024-02-05,1,20.5,20.5,20.5
520daaab-0920-472d-920d-947bf2aaa49e,2024-06-17,1,62.99,62.99,62.99
520daaab-0920-472d-920d-947bf2aaa49e,2024-07-22,1,19.2,19.2,19.2
520daaab-0920-472d-920d-947bf2aaa49e,2024-11-25,1,13.5,13.5,13.5
520daaab-0920-472d-920d-947bf2aaa49e,2025-01-27,1,39.99,39.99,39.99
520daaab-0920-472d-920d-947bf2aaa49e,2025-02-03,1,39.99,39.99,39.99
520daaab-0920-472d-920d-947bf2aaa49e,2025-02-17,1,21.16,21.16,21.16
520daaab-0920-472d-920d-947bf2aaa49e,2025-03-31,1,26.99,26.99,26.99
520daaab-0920-472d-920d-947bf2aaa49e,2025-06-09,1,26.99,26.99,26.99
520daaab-0920-472d-920d-947bf2aaa49e,2025-08-04,1,38.8,38.8,38.8
520daaab-0920-472d-920d-947bf2aaa49e,2025-10-27,1,39,39,39
520daaab-0920-472d-920d-947bf2aaa49e,2025-11-24,1,37.2,37.2,37.2
520daaab-0920-472d-920d-947bf2aaa49e,2025-12-22,1,68,68,68
520daaab-0920-472d-920d-947bf2aaa49e,2026-02-02,1,69.01,69.01,69.01
52119659-5d19-4029-9f9a-4246669345d8,2023-05-15,2,1475,1450,1500
52119659-5d19-4029-9f9a-4246669345d8,2023-05-22,7,1400,1100,1750
52119659-5d19-4029-9f9a-4246669345d8,2023-05-29,6,1624.97,1190,1799.99
52119659-5d19-4029-9f9a-4246669345d8,2023-06-05,4,1634,1600,1675
52119659-5d19-4029-9f9a-4246669345d8,2023-06-12,2,1962.5,1725,2200
52119659-5d19-4029-9f9a-4246669345d8,2023-06-26,2,1525,1250,1800
52119659-5d19-4029-9f9a-4246669345d8,2023-07-03,2,1738.26,1700,1776.53
52119659-5d19-4029-9f9a-4246669345d8,2023-07-10,1,1625,1625,1625
52119659-5d19-4029-9f9a-4246669345d8,2023-07-17,2,1423.7,1202.4,1645
52119659-5d19-4029-9f9a-4246669345d8,2023-07-24,2,1577.5,1530,1625
52119659-5d19-4029-9f9a-4246669345d8,2023-07-31,5,1510.99,1080,1575
52119659-5d19-4029-9f9a-4246669345d8,2023-08-07,2,1362.49,1225,1499.99
52119659-5d19-4029-9f9a-4246669345d8,2023-08-14,8,1032.5,930,1171.92
52119659-5d19-4029-9f9a-4246669345d8,2023-08-21,3,955,949.99,985
52119659-5d19-4029-9f9a-4246669345d8,2023-08-28,14,910,780,1000
52119659-5d19-4029-9f9a-4246669345d8,2023-09-04,4,997.5,900,1025
