asset_id,week_start,n_sales,median_price,low,high
7e018847-6294-418d-95f8-37a1ddbec56d,2021-08-16,1,35,35,35
7e018847-6294-418d-95f8-37a1ddbec56d,2021-12-06,1,38,38,38
7e018847-6294-418d-95f8-37a1ddbec56d,2022-01-31,1,89.99,89.99,89.99
7e018847-6294-418d-95f8-37a1ddbec56d,2022-05-09,1,31.77,31.77,31.77
7e018847-6294-418d-95f8-37a1ddbec56d,2022-08-22,1,30,30,30
7e018847-6294-418d-95f8-37a1ddbec56d,2022-10-03,1,20.27,20.27,20.27
7e018847-6294-418d-95f8-37a1ddbec56d,2023-01-16,1,40.04,40.04,40.04
7e018847-6294-418d-95f8-37a1ddbec56d,2023-09-04,2,24.94,24.2,25.67
7e018847-6294-418d-95f8-37a1ddbec56d,2023-09-18,2,25.36,22.5,28.21
7e018847-6294-418d-95f8-37a1ddbec56d,2023-12-04,1,30,30,30
7e018847-6294-418d-95f8-37a1ddbec56d,2023-12-11,1,37.2,37.2,37.2
7e018847-6294-418d-95f8-37a1ddbec56d,2024-02-05,1,25,25,25
7e018847-6294-418d-95f8-37a1ddbec56d,2024-07-08,1,31,31,31
7e018847-6294-418d-95f8-37a1ddbec56d,2025-09-01,1,41,41,41
7e018847-6294-418d-95f8-37a1ddbec56d,2026-05-25,1,180,180,180
7e018847-6294-418d-95f8-37a1ddbec56d,2026-08-17,1,202.5,202.5,202.5
7e044de7-822b-40e3-be69-66159166d2f9,2021-04-05,1,179.99,179.99,179.99
7e044de7-822b-40e3-be69-66159166d2f9,2021-11-22,1,99,99,99
7e044de7-822b-40e3-be69-66159166d2f9,2021-11-29,1,96,96,96
7e044de7-822b-40e3-be69-66159166d2f9,2022-03-28,1,134.99,134.99,134.99
7e044de7-822b-40e3-be69-66159166d2f9,2022-06-13,1,80,80,80
7e044de7-822b-40e3-be69-66159166d2f9,2022-07-04,2,70.59,51,90.18
7e044de7-822b-40e3-be69-66159166d2f9,2022-07-25,1,200,200,200
7e044de7-822b-40e3-be69-66159166d2f9,2022-08-15,1,73.5,73.5,73.5
7e044de7-822b-40e3-be69-66159166d2f9,2022-12-05,1,100,100,100
7e044de7-822b-40e3-be69-66159166d2f9,2023-01-23,1,117.38,117.38,117.38
7e044de7-822b-40e3-be69-66159166d2f9,2023-03-13,2,64,60,68
7e044de7-822b-40e3-be69-66159166d2f9,2023-06-12,1,72,72,72
7e044de7-822b-40e3-be69-66159166d2f9,2024-03-04,1,69,69,69
7e044de7-822b-40e3-be69-66159166d2f9,2024-04-08,1,41,41,41
7e044de7-822b-40e3-be69-66159166d2f9,2024-04-29,1,44,44,44
7e044de7-822b-40e3-be69-66159166d2f9,2024-05-27,1,52,52,52
7e044de7-822b-40e3-be69-66159166d2f9,2024-06-17,2,44.3,41.04,47.56
7e044de7-822b-40e3-be69-66159166d2f9,2024-09-30,1,45,45,45
7e044de7-822b-40e3-be69-66159166d2f9,2024-11-11,1,200,200,200
7e044de7-822b-40e3-be69-66159166d2f9,2024-11-25,1,56,56,56
7e044de7-822b-40e3-be69-66159166d2f9,2024-12-16,1,65,65,65
7e044de7-822b-40e3-be69-66159166d2f9,2025-03-03,1,60,60,60
7e044de7-822b-40e3-be69-66159166d2f9,2025-04-14,1,54.51,54.51,54.51
7e044de7-822b-40e3-be69-66159166d2f9,2025-08-18,1,114.99,114.99,114.99
7e044de7-822b-40e3-be69-66159166d2f9,2026-01-26,1,200,200,200
7e044de7-822b-40e3-be69-66159166d2f9,2026-04-27,1,187.5,187.5,187.5
7e044de7-822b-40e3-be69-66159166d2f9,2026-06-01,1,255,255,255
7e044de7-822b-40e3-be69-66159166d2f9,2026-06-15,1,182.24,182.24,182.24
7e044de7-822b-40e3-be69-66159166d2f9,2026-08-10,1,599.99,599.99,599.99
7e044de7-822b-40e3-be69-66159166d2f9,2026-08-24,1,488.83,488.83,488.83
7e0610c9-8ce0-45f9-9d4a-5c47b9f1b288,2025-05-05,1,28.8,28.8,28.8
7e0610c9-8ce0-45f9-9d4a-5c47b9f1b288,2025-11-24,1,50,50,50
7e0610c9-8ce0-45f9-9d4a-5c47b9f1b288,2025-12-08,1,65,65,65
7e0610c9-8ce0-45f9-9d4a-5c47b9f1b288,2026-04-13,1,51,51,51
7e0610c9-8ce0-45f9-9d4a-5c47b9f1b288,2026-09-07,1,59.77,59.77,59.77
7e06db8a-6429-4387-a4ee-369ad30795ba,2021-03-29,1,380,380,380
7e06db8a-6429-4387-a4ee-369ad30795ba,2021-04-12,3,338,300,449.99
7e06db8a-6429-4387-a4ee-369ad30795ba,2021-04-26,3,227.5,202.5,243.5
7e06db8a-6429-4387-a4ee-369ad30795ba,2021-05-10,1,202.5,202.5,202.5
7e06db8a-6429-4387-a4ee-369ad30795ba,2021-05-24,1,224.5,224.5,224.5
7e06db8a-6429-4387-a4ee-369ad30795ba,2021-06-07,2,307.5,265,350
7e06db8a-6429-4387-a4ee-369ad30795ba,2021-06-14,3,259.99,240,310
7e06db8a-6429-4387-a4ee-369ad30795ba,2021-06-21,1,222.5,222.5,222.5
7e06db8a-6429-4387-a4ee-369ad30795ba,2021-07-05,1,335,335,335
7e06db8a-6429-4387-a4ee-369ad30795ba,2021-07-12,2,233.83,218.5,249.16
7e06db8a-6429-4387-a4ee-369ad30795ba,2021-07-26,1,260,260,260
7e06db8a-6429-4387-a4ee-369ad30795ba,2021-08-02,2,357.5,349.99,365
7e06db8a-6429-4387-a4ee-369ad30795ba,2021-08-16,2,313.59,302.95,324.23
7e06db8a-6429-4387-a4ee-369ad30795ba,2021-08-23,1,247.5,247.5,247.5
7e06db8a-6429-4387-a4ee-369ad30795ba,2021-09-06,1,220,220,220
7e06db8a-6429-4387-a4ee-369ad30795ba,2021-09-13,2,213.76,200.02,227.5
7e06db8a-6429-4387-a4ee-369ad30795ba,2021-10-18,1,242.5,242.5,242.5
7e06db8a-6429-4387-a4ee-369ad30795ba,2021-10-25,2,125,125,125
7e06db8a-6429-4387-a4ee-369ad30795ba,2021-11-08,1,191.56,191.56,191.56
7e06db8a-6429-4387-a4ee-369ad30795ba,2021-11-15,2,210.16,177.73,242.6
7e06db8a-6429-4387-a4ee-369ad30795ba,2021-11-29,2,202.75,185,220.5
7e06db8a-6429-4387-a4ee-369ad30795ba,2021-12-13,2,185.75,170,201.5
7e06db8a-6429-4387-a4ee-369ad30795ba,2021-12-20,1,166.5,166.5,166.5
7e06db8a-6429-4387-a4ee-369ad30795ba,2022-01-03,1,199.95,199.95,199.95
7e06db8a-6429-4387-a4ee-369ad30795ba,2022-01-17,1,256.15,256.15,256.15
7e06db8a-6429-4387-a4ee-369ad30795ba,2022-01-24,1,216,216,216
7e06db8a-6429-4387-a4ee-369ad30795ba,2022-02-07,2,216.05,201,231.1
7e06db8a-6429-4387-a4ee-369ad30795ba,2022-02-21,2,173.41,151.81,195
7e06db8a-6429-4387-a4ee-369ad30795ba,2022-02-28,2,145,137.5,152.5
7e06db8a-6429-4387-a4ee-369ad30795ba,2022-03-07,1,140,140,140
7e06db8a-6429-4387-a4ee-369ad30795ba,2022-03-14,1,135,135,135
7e06db8a-6429-4387-a4ee-369ad30795ba,2022-03-21,1,137.5,137.5,137.5
