asset_id,week_start,n_sales,median_price,low,high
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2021-03-08,1,401,401,401
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2021-03-22,1,260,260,260
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2021-03-29,1,275,275,275
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2021-06-28,2,451.08,418,484.16
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2021-07-26,2,331.79,256.58,407
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2021-08-02,1,600,600,600
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2021-09-06,1,290,290,290
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2021-09-27,1,255,255,255
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2021-11-22,1,204.52,204.52,204.52
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2021-12-06,2,205.25,205,205.5
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2022-01-10,1,250,250,250
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2022-02-21,2,234.97,179.93,290
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2022-03-07,1,198.49,198.49,198.49
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2022-03-21,1,243.5,243.5,243.5
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2022-04-04,1,250,250,250
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2022-04-25,1,255,255,255
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2022-05-09,1,299,299,299
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2022-06-13,1,280,280,280
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2022-06-27,1,271,271,271
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2022-07-11,1,280,280,280
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2022-07-25,1,299.99,299.99,299.99
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2022-08-01,1,350,350,350
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2022-08-08,1,250,250,250
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2022-08-15,1,280,280,280
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2022-08-22,2,240,210,270
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2022-08-29,1,275,275,275
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2022-09-05,1,250,250,250
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2022-09-26,1,280,280,280
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2022-10-03,1,299.99,299.99,299.99
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2022-10-10,1,300,300,300
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2022-11-14,1,144.5,144.5,144.5
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2022-12-05,1,285,285,285
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2023-01-09,3,155,155,203.5
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2023-01-23,1,200,200,200
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2023-02-13,1,177.5,177.5,177.5
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2023-03-06,1,204.99,204.99,204.99
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2023-03-13,1,205.5,205.5,205.5
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2023-04-10,1,230,230,230
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2023-04-24,1,250,250,250
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2023-05-29,1,153.5,153.5,153.5
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2023-06-12,2,218.75,197.5,240
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2023-06-19,2,213.62,153.5,273.74
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2023-07-10,1,225,225,225
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2023-08-14,1,152.5,152.5,152.5
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2023-09-04,1,200,200,200
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2023-10-02,3,145.5,117,220
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2023-10-09,1,146.4,146.4,146.4
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2023-10-30,1,153.5,153.5,153.5
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2023-11-06,2,195.03,140.07,250
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2023-11-13,1,141.4,141.4,141.4
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2023-11-20,1,149.99,149.99,149.99
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2023-11-27,1,152.5,152.5,152.5
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2023-12-04,1,149.99,149.99,149.99
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2023-12-11,1,155,155,155
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2023-12-18,1,150,150,150
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2023-12-25,1,189.99,189.99,189.99
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2024-01-01,3,174,60,220
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2024-01-08,1,156,156,156
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2024-01-29,2,164.5,149,179.99
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2024-02-19,2,167.74,154.99,180.49
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2024-02-26,1,194.99,194.99,194.99
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2024-03-04,2,212.5,200,225
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2024-03-11,1,180,180,180
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2024-03-18,1,175,175,175
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2024-04-01,1,162,162,162
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2024-04-22,1,224.29,224.29,224.29
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2024-04-29,4,189.75,152.5,229.99
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2024-05-20,1,220,220,220
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2024-06-10,4,227.5,195,230
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2024-06-24,2,216.25,195,237.5
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2024-07-22,2,189,175.5,202.5
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2024-07-29,1,224.99,224.99,224.99
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2024-08-12,1,231.91,231.91,231.91
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2024-08-19,1,210,210,210
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2024-08-26,1,186,186,186
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2024-09-02,1,224.89,224.89,224.89
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2024-09-09,1,169.16,169.16,169.16
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2024-09-16,1,215,215,215
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2024-10-14,1,219.99,219.99,219.99
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2024-11-04,2,202.5,175,230
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2024-11-11,2,212.75,197.5,228
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2024-11-18,2,158.25,145,171.5
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2024-12-16,1,189,189,189
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2024-12-30,2,209.8,200,219.6
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2025-01-06,1,209.99,209.99,209.99
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2025-01-13,1,183.5,183.5,183.5
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2025-01-20,1,180,180,180
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2025-01-27,3,205.5,190,259.99
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2025-02-03,1,220,220,220
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2025-02-24,2,219.5,209,230
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2025-03-03,1,250,250,250
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2025-03-10,1,280,280,280
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2025-03-17,3,270,255,503
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2025-04-07,3,300,287,340
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2025-04-14,1,280,280,280
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2025-04-21,1,326.12,326.12,326.12
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2025-05-05,1,336.72,336.72,336.72
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2025-05-26,1,330,330,330
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2025-06-30,1,419,419,419
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2025-07-21,2,391,356,426
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2025-08-04,1,337.49,337.49,337.49
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2025-08-11,1,424.99,424.99,424.99
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2025-08-18,1,523.17,523.17,523.17
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2025-09-01,1,410,410,410
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2025-09-08,1,340,340,340
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2025-09-15,2,410,360,459.99
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2025-09-22,2,380,320,440
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2025-09-29,1,395,395,395
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2025-10-06,1,463.6,463.6,463.6
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2025-10-13,4,375,336,435
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2025-10-20,2,343.5,312,374.99
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2025-10-27,1,550,550,550
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2025-11-10,1,324,324,324
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2025-12-22,1,475,475,475
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2026-01-12,1,540,540,540
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2026-01-26,2,665,600,729.99
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2026-02-09,1,708.9,708.9,708.9
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2026-02-16,3,900,825,980
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2026-02-23,2,1085,900,1270
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2026-03-02,2,1349.99,1000,1699.99
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2026-03-09,2,1659.97,1620,1699.95
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2026-03-30,1,1649.99,1649.99,1649.99
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2026-04-06,3,1600,1599.99,1699
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2026-04-13,2,1648.74,1587.47,1710
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2026-05-11,1,1676,1676,1676
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2026-05-25,1,1596,1596,1596
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2026-06-01,2,1822.5,1545,2100
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2026-06-08,1,1197,1197,1197
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2026-06-15,1,1497,1497,1497
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2026-06-22,1,1500,1500,1500
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2026-06-29,2,1550,1500,1600
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2026-07-06,1,1425,1425,1425
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2026-07-13,1,1050,1050,1050
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2026-07-20,1,940,940,940
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2026-07-27,1,1799.99,1799.99,1799.99
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2026-08-03,4,1385.05,1110,1462.21
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2026-08-10,2,1300.5,1101,1500
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2026-09-07,2,1337.5,1295,1380
9c00e0f0-f74d-4e11-af13-da8c8532baa2,2026-09-14,1,1550,1550,1550
9c012a73-bbee-4c71-a232-2259ec57a5a7,2025-09-22,1,36.89,36.89,36.89
9c012a73-bbee-4c71-a232-2259ec57a5a7,2026-08-03,1,39.99,39.99,39.99
9c02758d-6d46-4390-aa60-658fdc5c0e0c,2022-01-10,1,162.5,162.5,162.5
9c02758d-6d46-4390-aa60-658fdc5c0e0c,2022-09-12,1,110.4,110.4,110.4
9c02758d-6d46-4390-aa60-658fdc5c0e0c,2023-05-22,1,182.5,182.5,182.5
9c02758d-6d46-4390-aa60-658fdc5c0e0c,2024-07-15,1,76.49,76.49,76.49
9c02758d-6d46-4390-aa60-658fdc5c0e0c,2024-12-30,1,46,46,46
9c02758d-6d46-4390-aa60-658fdc5c0e0c,2025-04-14,1,110.5,110.5,110.5
9c02758d-6d46-4390-aa60-658fdc5c0e0c,2025-04-28,1,110,110,110
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-03-31,7,370,350,835
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-04-07,13,282,233.5,370
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-04-14,27,305,225,380
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-04-21,28,255,207.5,283
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-04-28,23,221.51,181.3,265
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-05-05,8,200,165,207.5
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-05-12,11,200,175,219
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-05-19,7,213,180.5,259.52
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-05-26,13,211,190,239
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-06-02,7,214.95,177.5,220.5
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-06-09,5,190,170,225
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-06-16,4,196.25,192.5,229
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-06-23,4,188.3,178.5,200
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-06-30,7,182.5,170,200
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-07-07,7,185,180,197.16
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-07-14,5,172.5,162.57,190.5
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-07-21,4,180,170,190
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-07-28,2,184.55,179.1,190
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-08-04,4,190.11,157.5,210
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-08-11,7,195.38,139.97,260.25
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-08-18,7,171.48,161.5,215
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-08-25,9,172.5,155,262.94
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-09-01,9,180,155,250
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-09-08,10,181.5,162,233.89
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-09-15,17,185,157.5,200
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-09-22,10,184.97,162.5,311.27
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-09-29,6,187.5,162.5,275.02
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-10-06,6,200,161,283.32
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-10-13,10,197.75,171.6,297.2
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-10-20,9,205,161.19,260
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-10-27,4,189.5,175.5,275
9c03a9f5-b89c-4c15-bf5e-e9cb6d7d5691,2025-11-03,3,210,185.5,298.53
