asset_id,week_start,n_sales,median_price,low,high
a9013aa3-21fb-47c8-9929-c27187ccd6f0,2021-03-22,1,199.5,199.5,199.5
a9013aa3-21fb-47c8-9929-c27187ccd6f0,2021-10-04,1,160.5,160.5,160.5
a9013aa3-21fb-47c8-9929-c27187ccd6f0,2022-03-21,1,152.5,152.5,152.5
a9013aa3-21fb-47c8-9929-c27187ccd6f0,2022-07-25,1,162,162,162
a9013aa3-21fb-47c8-9929-c27187ccd6f0,2022-09-19,1,145.5,145.5,145.5
a9013aa3-21fb-47c8-9929-c27187ccd6f0,2023-06-05,1,109.22,109.22,109.22
a9013aa3-21fb-47c8-9929-c27187ccd6f0,2023-11-20,1,91.04,91.04,91.04
a9013aa3-21fb-47c8-9929-c27187ccd6f0,2023-12-04,1,372,372,372
a9013aa3-21fb-47c8-9929-c27187ccd6f0,2024-02-05,1,99.81,99.81,99.81
a9013aa3-21fb-47c8-9929-c27187ccd6f0,2024-04-01,1,72,72,72
a9013aa3-21fb-47c8-9929-c27187ccd6f0,2024-07-08,1,85,85,85
a9013aa3-21fb-47c8-9929-c27187ccd6f0,2024-07-29,1,81,81,81
a9013aa3-21fb-47c8-9929-c27187ccd6f0,2024-08-19,1,79,79,79
a9013aa3-21fb-47c8-9929-c27187ccd6f0,2025-07-21,1,148,148,148
a9013aa3-21fb-47c8-9929-c27187ccd6f0,2025-07-28,1,200,200,200
a9013aa3-21fb-47c8-9929-c27187ccd6f0,2025-09-22,1,216,216,216
a9013aa3-21fb-47c8-9929-c27187ccd6f0,2025-10-27,1,198,198,198
a9013aa3-21fb-47c8-9929-c27187ccd6f0,2026-02-09,1,195,195,195
a9013aa3-21fb-47c8-9929-c27187ccd6f0,2026-03-16,1,347.16,347.16,347.16
a9013aa3-21fb-47c8-9929-c27187ccd6f0,2026-03-30,1,449.99,449.99,449.99
a9013aa3-21fb-47c8-9929-c27187ccd6f0,2026-05-11,1,830,830,830
a9013aa3-21fb-47c8-9929-c27187ccd6f0,2026-08-24,1,1000,1000,1000
a9018a06-0b3a-4e7c-be56-5f41c9ebca07,2021-12-13,1,172.49,172.49,172.49
a9018a06-0b3a-4e7c-be56-5f41c9ebca07,2021-12-27,1,146.5,146.5,146.5
a9018a06-0b3a-4e7c-be56-5f41c9ebca07,2022-01-31,1,150,150,150
a9018a06-0b3a-4e7c-be56-5f41c9ebca07,2022-03-14,1,60,60,60
a9018a06-0b3a-4e7c-be56-5f41c9ebca07,2022-07-11,1,80,80,80
a9018a06-0b3a-4e7c-be56-5f41c9ebca07,2023-01-09,1,31.2,31.2,31.2
a9018a06-0b3a-4e7c-be56-5f41c9ebca07,2023-05-22,1,34,34,34
a9018a06-0b3a-4e7c-be56-5f41c9ebca07,2024-01-29,1,210,210,210
a9018a06-0b3a-4e7c-be56-5f41c9ebca07,2024-08-05,1,110,110,110
a9018a06-0b3a-4e7c-be56-5f41c9ebca07,2025-03-31,1,85,85,85
a9018a06-0b3a-4e7c-be56-5f41c9ebca07,2025-06-30,1,80,80,80
a9018a06-0b3a-4e7c-be56-5f41c9ebca07,2025-09-22,1,99.5,99.5,99.5
a9018a06-0b3a-4e7c-be56-5f41c9ebca07,2025-10-27,1,99,99,99
a9018a06-0b3a-4e7c-be56-5f41c9ebca07,2026-03-09,1,70,70,70
a9018a06-0b3a-4e7c-be56-5f41c9ebca07,2026-05-11,1,100,100,100
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2021-07-26,1,218.5,218.5,218.5
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2021-10-25,1,210,210,210
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2022-04-04,1,192,192,192
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2022-04-18,1,249.99,249.99,249.99
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2022-05-02,1,150,150,150
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2022-06-20,1,70,70,70
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2022-07-18,1,200,200,200
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2022-08-01,3,190,175,202.5
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2022-08-22,1,126,126,126
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2022-09-05,1,111.5,111.5,111.5
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2022-09-26,1,151.5,151.5,151.5
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2022-11-21,2,198.75,187.5,210
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2023-01-09,1,103.5,103.5,103.5
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2023-01-30,1,267.58,267.58,267.58
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2023-02-13,1,103.5,103.5,103.5
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2023-02-20,1,91,91,91
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2023-03-06,3,111,83,179.99
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2023-04-03,1,110,110,110
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2023-05-01,1,79.2,79.2,79.2
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2023-05-15,1,109.95,109.95,109.95
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2023-06-05,1,86.4,86.4,86.4
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2023-06-19,1,92,92,92
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2023-07-03,1,67.58,67.58,67.58
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2023-07-31,1,120,120,120
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2023-08-07,1,59.58,59.58,59.58
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2023-08-28,1,120,120,120
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2023-09-11,1,133,133,133
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2023-09-18,1,74.4,74.4,74.4
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2023-09-25,1,59.5,59.5,59.5
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2023-10-02,1,45.77,45.77,45.77
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2023-10-16,1,114.74,114.74,114.74
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2023-10-30,1,61,61,61
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2023-11-06,1,91.47,91.47,91.47
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2023-11-13,1,50,50,50
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2023-11-27,1,126.35,126.35,126.35
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2023-12-11,1,58.8,58.8,58.8
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2024-01-01,1,113.9,113.9,113.9
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2024-01-08,1,64.8,64.8,64.8
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2024-01-15,1,89.81,89.81,89.81
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2024-02-12,2,67.6,56,79.2
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2024-06-03,1,65,65,65
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2024-07-15,1,71,71,71
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2024-08-12,1,74.4,74.4,74.4
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2024-08-19,1,94.95,94.95,94.95
a901ceb7-7c71-4b9d-8e71-0301bcb2392b,2024-08-26,1,64.8,64.8,64.8
