asset_id,week_start,n_sales,median_price,low,high
aa02f665-8839-43f5-9ce9-44f49dc17868,2021-05-03,1,1000,1000,1000
aa02f665-8839-43f5-9ce9-44f49dc17868,2024-03-04,1,384,384,384
aa0384e1-f57e-49e0-9bb5-af81209466b1,2021-11-08,1,49.99,49.99,49.99
aa0384e1-f57e-49e0-9bb5-af81209466b1,2021-12-13,1,37,37,37
aa0384e1-f57e-49e0-9bb5-af81209466b1,2021-12-20,1,27,27,27
aa0384e1-f57e-49e0-9bb5-af81209466b1,2022-03-28,1,44.96,44.96,44.96
aa0384e1-f57e-49e0-9bb5-af81209466b1,2022-07-18,1,34,34,34
aa0384e1-f57e-49e0-9bb5-af81209466b1,2022-09-19,1,18.5,18.5,18.5
aa0384e1-f57e-49e0-9bb5-af81209466b1,2022-11-21,1,31,31,31
aa0384e1-f57e-49e0-9bb5-af81209466b1,2023-11-20,1,10.5,10.5,10.5
aa0384e1-f57e-49e0-9bb5-af81209466b1,2024-03-04,1,61,61,61
aa0384e1-f57e-49e0-9bb5-af81209466b1,2025-04-28,1,64.99,64.99,64.99
aa0384e1-f57e-49e0-9bb5-af81209466b1,2025-11-10,1,64.41,64.41,64.41
aa0384e1-f57e-49e0-9bb5-af81209466b1,2026-01-19,1,65,65,65
aa0384e1-f57e-49e0-9bb5-af81209466b1,2026-02-23,1,62,62,62
aa0384e1-f57e-49e0-9bb5-af81209466b1,2026-03-16,1,62.99,62.99,62.99
aa07698d-9994-44f2-aa0d-20dda51f3448,2021-05-31,1,156.66,156.66,156.66
aa07698d-9994-44f2-aa0d-20dda51f3448,2021-11-01,1,266,266,266
aa07698d-9994-44f2-aa0d-20dda51f3448,2022-10-24,1,126,126,126
aa07698d-9994-44f2-aa0d-20dda51f3448,2022-11-14,1,500,500,500
aa07698d-9994-44f2-aa0d-20dda51f3448,2024-09-09,1,249.99,249.99,249.99
aa07698d-9994-44f2-aa0d-20dda51f3448,2025-09-29,1,600,600,600
aa07698d-9994-44f2-aa0d-20dda51f3448,2025-12-08,1,499.99,499.99,499.99
aa07698d-9994-44f2-aa0d-20dda51f3448,2026-07-06,1,1075,1075,1075
aa09d3fa-42e7-40b5-a2ce-ea8b1fe01ea8,2021-08-02,1,125,125,125
aa09d3fa-42e7-40b5-a2ce-ea8b1fe01ea8,2021-09-27,1,79,79,79
aa09d3fa-42e7-40b5-a2ce-ea8b1fe01ea8,2021-10-11,1,38,38,38
aa09d3fa-42e7-40b5-a2ce-ea8b1fe01ea8,2022-02-07,1,47,47,47
aa09d3fa-42e7-40b5-a2ce-ea8b1fe01ea8,2022-02-21,2,87.91,80,95.82
aa09d3fa-42e7-40b5-a2ce-ea8b1fe01ea8,2022-04-04,1,60,60,60
aa09d3fa-42e7-40b5-a2ce-ea8b1fe01ea8,2022-04-11,1,59,59,59
aa09d3fa-42e7-40b5-a2ce-ea8b1fe01ea8,2022-07-18,1,50,50,50
aa09d3fa-42e7-40b5-a2ce-ea8b1fe01ea8,2022-10-24,1,70,70,70
aa09d3fa-42e7-40b5-a2ce-ea8b1fe01ea8,2023-03-06,1,58,58,58
aa09d3fa-42e7-40b5-a2ce-ea8b1fe01ea8,2023-04-03,1,50,50,50
