asset_id,week_start,n_sales,median_price,low,high
ab0265ab-1cec-4f28-945e-e92e0e1c6152,2025-01-13,1,22.73,22.73,22.73
ab0265ab-1cec-4f28-945e-e92e0e1c6152,2025-08-18,1,69.99,69.99,69.99
ab0265ab-1cec-4f28-945e-e92e0e1c6152,2026-08-31,1,198,198,198
ab063534-3d18-4923-bae8-8be41b0d0174,2021-04-26,1,641,641,641
ab063534-3d18-4923-bae8-8be41b0d0174,2021-05-03,1,625,625,625
ab063534-3d18-4923-bae8-8be41b0d0174,2021-05-10,1,420,420,420
ab063534-3d18-4923-bae8-8be41b0d0174,2021-06-07,1,510,510,510
ab063534-3d18-4923-bae8-8be41b0d0174,2021-06-21,2,420,390,450
ab063534-3d18-4923-bae8-8be41b0d0174,2021-06-28,1,616.66,616.66,616.66
ab063534-3d18-4923-bae8-8be41b0d0174,2021-07-05,1,500,500,500
ab063534-3d18-4923-bae8-8be41b0d0174,2021-07-19,1,575,575,575
ab063534-3d18-4923-bae8-8be41b0d0174,2021-07-26,2,741.1,711.1,771.1
ab063534-3d18-4923-bae8-8be41b0d0174,2021-08-09,2,715.58,700,731.15
ab063534-3d18-4923-bae8-8be41b0d0174,2021-09-13,1,600,600,600
ab063534-3d18-4923-bae8-8be41b0d0174,2021-09-20,1,480,480,480
ab063534-3d18-4923-bae8-8be41b0d0174,2021-09-27,1,485,485,485
ab063534-3d18-4923-bae8-8be41b0d0174,2021-10-11,1,616,616,616
ab063534-3d18-4923-bae8-8be41b0d0174,2021-10-25,1,465,465,465
ab063534-3d18-4923-bae8-8be41b0d0174,2021-11-01,1,470,470,470
ab063534-3d18-4923-bae8-8be41b0d0174,2021-11-08,1,525,525,525
ab063534-3d18-4923-bae8-8be41b0d0174,2021-11-22,1,355,355,355
ab063534-3d18-4923-bae8-8be41b0d0174,2021-11-29,1,598.69,598.69,598.69
ab063534-3d18-4923-bae8-8be41b0d0174,2021-12-06,1,426,426,426
ab063534-3d18-4923-bae8-8be41b0d0174,2022-01-03,2,470.87,429.51,512.22
ab063534-3d18-4923-bae8-8be41b0d0174,2022-01-17,1,426.05,426.05,426.05
ab063534-3d18-4923-bae8-8be41b0d0174,2022-02-07,1,280.74,280.74,280.74
ab063534-3d18-4923-bae8-8be41b0d0174,2022-02-14,1,290,290,290
ab063534-3d18-4923-bae8-8be41b0d0174,2022-02-28,1,355,355,355
ab063534-3d18-4923-bae8-8be41b0d0174,2022-03-21,1,296.78,296.78,296.78
ab063534-3d18-4923-bae8-8be41b0d0174,2022-05-16,2,286.5,273,299.99
ab063534-3d18-4923-bae8-8be41b0d0174,2022-05-30,2,216.75,210,223.5
ab063534-3d18-4923-bae8-8be41b0d0174,2022-06-06,2,309.98,270,349.95
ab063534-3d18-4923-bae8-8be41b0d0174,2022-06-13,2,248.69,241.38,256
ab063534-3d18-4923-bae8-8be41b0d0174,2022-07-04,2,275,249.99,300
ab063534-3d18-4923-bae8-8be41b0d0174,2022-07-11,1,340,340,340
ab063534-3d18-4923-bae8-8be41b0d0174,2022-07-25,2,273.5,252,294.99
ab063534-3d18-4923-bae8-8be41b0d0174,2022-08-08,1,263.64,263.64,263.64
ab063534-3d18-4923-bae8-8be41b0d0174,2022-08-15,1,295,295,295
ab063534-3d18-4923-bae8-8be41b0d0174,2022-09-19,1,271,271,271
ab063534-3d18-4923-bae8-8be41b0d0174,2022-09-26,1,299.99,299.99,299.99
ab063534-3d18-4923-bae8-8be41b0d0174,2022-10-17,1,216.5,216.5,216.5
ab063534-3d18-4923-bae8-8be41b0d0174,2022-10-31,1,315,315,315
ab063534-3d18-4923-bae8-8be41b0d0174,2022-11-07,1,79,79,79
ab063534-3d18-4923-bae8-8be41b0d0174,2022-11-14,1,325,325,325
ab063534-3d18-4923-bae8-8be41b0d0174,2022-11-28,2,232.75,213.51,252
ab063534-3d18-4923-bae8-8be41b0d0174,2022-12-05,1,299.99,299.99,299.99
ab063534-3d18-4923-bae8-8be41b0d0174,2023-01-23,1,260,260,260
ab063534-3d18-4923-bae8-8be41b0d0174,2023-01-30,1,299,299,299
ab063534-3d18-4923-bae8-8be41b0d0174,2023-02-06,2,287.5,275,299.99
ab063534-3d18-4923-bae8-8be41b0d0174,2023-02-27,2,275,270,280
ab063534-3d18-4923-bae8-8be41b0d0174,2023-03-06,2,219.19,183.38,255
ab063534-3d18-4923-bae8-8be41b0d0174,2023-03-13,1,200.51,200.51,200.51
ab063534-3d18-4923-bae8-8be41b0d0174,2023-03-20,1,204.5,204.5,204.5
