asset_id,week_start,n_sales,median_price,low,high
ac016115-3f9e-4102-8795-e7c536bcdda4,2021-07-19,1,8400,8400,8400
ac016115-3f9e-4102-8795-e7c536bcdda4,2022-01-17,1,6703,6703,6703
ac016115-3f9e-4102-8795-e7c536bcdda4,2024-03-04,1,4000,4000,4000
ac016115-3f9e-4102-8795-e7c536bcdda4,2024-08-26,1,7200,7200,7200
ac016115-3f9e-4102-8795-e7c536bcdda4,2025-04-07,1,10600,10600,10600
ac069bb3-62b2-4074-81b3-5ca6fd22f7cd,2021-04-26,1,115,115,115
ac069bb3-62b2-4074-81b3-5ca6fd22f7cd,2021-05-03,1,80,80,80
ac069bb3-62b2-4074-81b3-5ca6fd22f7cd,2021-07-26,2,113.28,106.55,120
ac069bb3-62b2-4074-81b3-5ca6fd22f7cd,2021-10-25,1,40,40,40
ac069bb3-62b2-4074-81b3-5ca6fd22f7cd,2021-11-29,1,74.12,74.12,74.12
ac069bb3-62b2-4074-81b3-5ca6fd22f7cd,2021-12-13,2,40,40,40
ac069bb3-62b2-4074-81b3-5ca6fd22f7cd,2021-12-20,1,60,60,60
ac069bb3-62b2-4074-81b3-5ca6fd22f7cd,2022-01-03,1,50.8,50.8,50.8
ac069bb3-62b2-4074-81b3-5ca6fd22f7cd,2022-01-10,1,76,76,76
ac069bb3-62b2-4074-81b3-5ca6fd22f7cd,2022-01-17,1,65.5,65.5,65.5
ac069bb3-62b2-4074-81b3-5ca6fd22f7cd,2022-01-24,2,51.84,51.68,52
ac069bb3-62b2-4074-81b3-5ca6fd22f7cd,2022-02-21,1,54.37,54.37,54.37
ac069bb3-62b2-4074-81b3-5ca6fd22f7cd,2022-05-02,2,62.23,38,86.47
ac069bb3-62b2-4074-81b3-5ca6fd22f7cd,2022-05-09,1,80.09,80.09,80.09
ac069bb3-62b2-4074-81b3-5ca6fd22f7cd,2022-05-23,1,46.62,46.62,46.62
ac069bb3-62b2-4074-81b3-5ca6fd22f7cd,2022-05-30,1,54.99,54.99,54.99
ac069bb3-62b2-4074-81b3-5ca6fd22f7cd,2022-06-20,2,74.22,51,97.44
ac069bb3-62b2-4074-81b3-5ca6fd22f7cd,2022-06-27,1,42,42,42
ac069bb3-62b2-4074-81b3-5ca6fd22f7cd,2022-07-11,3,36,24,46
ac069bb3-62b2-4074-81b3-5ca6fd22f7cd,2022-07-25,4,26.5,26,47
ac069bb3-62b2-4074-81b3-5ca6fd22f7cd,2022-08-01,1,56,56,56
ac069bb3-62b2-4074-81b3-5ca6fd22f7cd,2022-08-08,1,36,36,36
ac069bb3-62b2-4074-81b3-5ca6fd22f7cd,2022-08-15,3,32,30,33
