asset_id,week_start,n_sales,median_price,low,high
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2021-10-11,1,12.5,12.5,12.5
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2022-01-03,1,50,50,50
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2022-02-21,1,33,33,33
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2022-02-28,1,14.5,14.5,14.5
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2022-04-04,1,27.77,27.77,27.77
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2022-04-18,1,20,20,20
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2022-05-02,1,19,19,19
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2022-05-30,2,23.99,23,24.99
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2022-07-11,2,24.99,21,28.99
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2022-07-25,1,25.25,25.25,25.25
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2022-08-01,1,10.5,10.5,10.5
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2022-08-08,1,25,25,25
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2022-09-05,1,19.05,19.05,19.05
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2022-12-19,1,25.25,25.25,25.25
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2023-01-30,1,22,22,22
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2023-04-10,1,15.5,15.5,15.5
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2023-05-01,1,15.5,15.5,15.5
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2023-05-15,1,7.52,7.52,7.52
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2023-06-12,1,25.88,25.88,25.88
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2023-08-14,1,24.24,24.24,24.24
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2023-08-21,1,15,15,15
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2024-02-05,1,22,22,22
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2024-03-11,1,15.5,15.5,15.5
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2024-03-25,1,11.75,11.75,11.75
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2024-04-22,1,24.02,24.02,24.02
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2024-10-21,1,21,21,21
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2025-03-17,1,10.8,10.8,10.8
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2025-06-16,1,20,20,20
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2026-01-12,1,41,41,41
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2026-02-16,1,23.5,23.5,23.5
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2026-04-13,1,16,16,16
ad00dd56-daa1-48d7-be15-b4de5d6cd835,2026-08-10,1,37.23,37.23,37.23
ad02412c-83b6-476a-ab24-e511f87ef5c6,2023-07-03,1,39,39,39
ad02412c-83b6-476a-ab24-e511f87ef5c6,2026-03-23,1,102.5,102.5,102.5
ad02412c-83b6-476a-ab24-e511f87ef5c6,2026-06-15,1,99.99,99.99,99.99
ad02afd2-934e-43ad-8696-362f3baea218,2026-02-16,1,85,85,85
ad02afd2-934e-43ad-8696-362f3baea218,2026-03-09,1,42,42,42
