asset_id,week_start,n_sales,median_price,low,high
ae0048a2-a054-4327-bec2-d66c3b4a3e89,2025-11-24,1,150,150,150
ae0048a2-a054-4327-bec2-d66c3b4a3e89,2026-01-12,1,109.99,109.99,109.99
ae0048a2-a054-4327-bec2-d66c3b4a3e89,2026-01-26,1,51,51,51
ae0048a2-a054-4327-bec2-d66c3b4a3e89,2026-03-02,2,66.1,53,79.2
ae0048a2-a054-4327-bec2-d66c3b4a3e89,2026-03-09,5,61.01,56,81
ae0048a2-a054-4327-bec2-d66c3b4a3e89,2026-03-16,1,62,62,62
ae0048a2-a054-4327-bec2-d66c3b4a3e89,2026-03-23,6,71,55,126.5
ae0048a2-a054-4327-bec2-d66c3b4a3e89,2026-03-30,2,75.5,65,86
ae0048a2-a054-4327-bec2-d66c3b4a3e89,2026-04-06,2,70,65,74.99
ae0048a2-a054-4327-bec2-d66c3b4a3e89,2026-04-13,4,65.29,55,105
ae0048a2-a054-4327-bec2-d66c3b4a3e89,2026-04-20,6,77,64.14,94.95
ae0048a2-a054-4327-bec2-d66c3b4a3e89,2026-04-27,5,74.99,70,80
ae0048a2-a054-4327-bec2-d66c3b4a3e89,2026-05-04,4,90,84.99,94
ae0048a2-a054-4327-bec2-d66c3b4a3e89,2026-05-11,1,87.88,87.88,87.88
ae0048a2-a054-4327-bec2-d66c3b4a3e89,2026-05-18,2,88,86.01,90
ae0048a2-a054-4327-bec2-d66c3b4a3e89,2026-05-25,3,99,98.99,99.99
ae0048a2-a054-4327-bec2-d66c3b4a3e89,2026-06-01,2,122.5,120,125
ae0048a2-a054-4327-bec2-d66c3b4a3e89,2026-06-08,1,120,120,120
ae0048a2-a054-4327-bec2-d66c3b4a3e89,2026-06-15,6,114.84,74.4,130
ae0048a2-a054-4327-bec2-d66c3b4a3e89,2026-06-22,2,126.25,102.51,149.99
ae0048a2-a054-4327-bec2-d66c3b4a3e89,2026-06-29,4,90.2,81,100
ae0048a2-a054-4327-bec2-d66c3b4a3e89,2026-07-06,1,105,105,105
ae0048a2-a054-4327-bec2-d66c3b4a3e89,2026-07-13,3,105,102.5,110
ae0048a2-a054-4327-bec2-d66c3b4a3e89,2026-07-20,4,85.92,64,132.99
ae0048a2-a054-4327-bec2-d66c3b4a3e89,2026-07-27,4,75.6,65,82.31
ae0048a2-a054-4327-bec2-d66c3b4a3e89,2026-08-10,3,82,69.99,140
ae0048a2-a054-4327-bec2-d66c3b4a3e89,2026-08-17,1,159.69,159.69,159.69
ae0048a2-a054-4327-bec2-d66c3b4a3e89,2026-08-24,5,111,84,199.99
ae0048a2-a054-4327-bec2-d66c3b4a3e89,2026-08-31,3,110,85,127
ae00dbcc-7f8f-41d1-9fdb-c5e2f4b44e07,2023-05-08,1,18,18,18
ae00dbcc-7f8f-41d1-9fdb-c5e2f4b44e07,2023-05-15,1,14.5,14.5,14.5
ae00dbcc-7f8f-41d1-9fdb-c5e2f4b44e07,2023-05-22,1,13.2,13.2,13.2
ae00dbcc-7f8f-41d1-9fdb-c5e2f4b44e07,2023-11-06,1,8.5,8.5,8.5
ae00dbcc-7f8f-41d1-9fdb-c5e2f4b44e07,2024-04-15,1,10,10,10
ae00dbcc-7f8f-41d1-9fdb-c5e2f4b44e07,2024-05-20,1,9.99,9.99,9.99
ae00dbcc-7f8f-41d1-9fdb-c5e2f4b44e07,2024-11-04,1,19.2,19.2,19.2
ae00dbcc-7f8f-41d1-9fdb-c5e2f4b44e07,2025-01-20,1,31,31,31
ae00dbcc-7f8f-41d1-9fdb-c5e2f4b44e07,2025-03-10,1,17.5,17.5,17.5
ae00dbcc-7f8f-41d1-9fdb-c5e2f4b44e07,2025-07-14,1,30,30,30
ae00dbcc-7f8f-41d1-9fdb-c5e2f4b44e07,2025-07-28,1,30,30,30
ae00dbcc-7f8f-41d1-9fdb-c5e2f4b44e07,2026-02-09,1,18,18,18
ae00dbcc-7f8f-41d1-9fdb-c5e2f4b44e07,2026-03-23,1,26,26,26
ae00dbcc-7f8f-41d1-9fdb-c5e2f4b44e07,2026-05-04,1,39.7,39.7,39.7
ae0153d5-251c-4e04-b91c-7afca5c56834,2021-03-08,1,365,365,365
ae0153d5-251c-4e04-b91c-7afca5c56834,2021-03-15,1,202.5,202.5,202.5
ae0153d5-251c-4e04-b91c-7afca5c56834,2021-04-19,1,255,255,255
ae0153d5-251c-4e04-b91c-7afca5c56834,2021-04-26,1,300,300,300
ae0153d5-251c-4e04-b91c-7afca5c56834,2021-05-03,4,287.5,200,325.99
ae0153d5-251c-4e04-b91c-7afca5c56834,2021-05-10,5,180,175.51,213.61
ae0153d5-251c-4e04-b91c-7afca5c56834,2021-05-17,3,187.5,150,299
ae0153d5-251c-4e04-b91c-7afca5c56834,2021-05-24,2,287.5,250,325
ae0153d5-251c-4e04-b91c-7afca5c56834,2021-05-31,1,107.5,107.5,107.5
ae0153d5-251c-4e04-b91c-7afca5c56834,2021-06-07,1,78.77,78.77,78.77
ae0153d5-251c-4e04-b91c-7afca5c56834,2021-06-21,2,188.75,167.5,210
