asset_id,week_start,n_sales,median_price,low,high
af009d04-af6e-4c14-80c2-019c23b274fb,2024-08-12,1,523.17,523.17,523.17
af009d04-af6e-4c14-80c2-019c23b274fb,2024-10-28,1,327.64,327.64,327.64
af009d04-af6e-4c14-80c2-019c23b274fb,2025-07-14,1,316.23,316.23,316.23
af009d04-af6e-4c14-80c2-019c23b274fb,2026-07-20,1,620.8,620.8,620.8
af00d410-08c7-40aa-b9eb-e461888eb490,2023-05-22,1,700,700,700
af00d410-08c7-40aa-b9eb-e461888eb490,2026-06-01,1,202.28,202.28,202.28
af00d410-08c7-40aa-b9eb-e461888eb490,2026-08-10,1,275,275,275
af031640-c0f5-45fc-b935-4653261be077,2022-07-04,1,133,133,133
af031640-c0f5-45fc-b935-4653261be077,2023-12-18,1,380,380,380
af031640-c0f5-45fc-b935-4653261be077,2024-01-29,1,348,348,348
af031640-c0f5-45fc-b935-4653261be077,2024-02-12,1,336,336,336
af031640-c0f5-45fc-b935-4653261be077,2024-08-05,1,300,300,300
af031640-c0f5-45fc-b935-4653261be077,2025-01-27,1,550,550,550
af031640-c0f5-45fc-b935-4653261be077,2025-06-02,1,730.35,730.35,730.35
af031640-c0f5-45fc-b935-4653261be077,2025-11-17,1,699.99,699.99,699.99
af033d13-368e-44d8-b2d8-87dcefaee5a3,2021-03-29,1,460.55,460.55,460.55
af033d13-368e-44d8-b2d8-87dcefaee5a3,2021-05-17,1,152.5,152.5,152.5
af033d13-368e-44d8-b2d8-87dcefaee5a3,2021-06-14,1,175,175,175
af033d13-368e-44d8-b2d8-87dcefaee5a3,2021-07-05,1,157.5,157.5,157.5
af033d13-368e-44d8-b2d8-87dcefaee5a3,2021-07-26,1,179.5,179.5,179.5
af033d13-368e-44d8-b2d8-87dcefaee5a3,2021-08-02,2,181.5,162.99,200
af033d13-368e-44d8-b2d8-87dcefaee5a3,2021-08-16,1,161.5,161.5,161.5
af033d13-368e-44d8-b2d8-87dcefaee5a3,2021-10-11,1,127.37,127.37,127.37
af033d13-368e-44d8-b2d8-87dcefaee5a3,2021-12-13,1,116.33,116.33,116.33
af033d13-368e-44d8-b2d8-87dcefaee5a3,2021-12-20,1,81,81,81
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-01-03,1,107.5,107.5,107.5
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-02-14,1,88.36,88.36,88.36
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-02-21,2,65.88,51.01,80.74
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-02-28,1,56,56,56
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-03-07,1,45,45,45
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-03-28,2,46,41,51
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-05-02,1,31,31,31
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-05-23,2,42.95,26,59.9
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-05-30,1,50,50,50
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-06-06,1,36,36,36
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-06-20,2,44,42,46
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-06-27,1,35.53,35.53,35.53
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-07-04,2,35,34.99,35
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-07-11,3,30,19.04,36
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-07-18,2,45,40,50
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-08-01,3,41,39.99,45
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-08-08,2,37.5,35,39.99
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-08-15,3,18.05,17.68,31
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-08-22,4,39.98,30,40
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-08-29,4,35,25.01,41.69
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-09-05,2,31.02,28,34.03
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-09-12,1,26,26,26
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-09-19,1,36,36,36
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-09-26,4,30.5,25,41
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-10-03,1,26,26,26
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-10-17,1,39.99,39.99,39.99
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-10-24,3,33,30,35
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-10-31,4,33,23.5,36
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-11-07,2,37.48,34.99,39.96
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-11-14,2,29.75,29.51,29.99
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-11-21,1,31,31,31
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-11-28,1,30,30,30
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-12-05,2,20,10,30
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-12-12,2,21.6,21.6,21.6
af033d13-368e-44d8-b2d8-87dcefaee5a3,2022-12-19,1,30,30,30
af033d13-368e-44d8-b2d8-87dcefaee5a3,2023-01-02,3,30,20,31
af033d13-368e-44d8-b2d8-87dcefaee5a3,2023-01-16,1,30,30,30
af033d13-368e-44d8-b2d8-87dcefaee5a3,2023-01-23,1,25.2,25.2,25.2
af033d13-368e-44d8-b2d8-87dcefaee5a3,2023-01-30,2,37.5,35,39.99
af033d13-368e-44d8-b2d8-87dcefaee5a3,2023-02-06,1,29,29,29
af033d13-368e-44d8-b2d8-87dcefaee5a3,2023-02-13,2,19.2,18,20.4
af033d13-368e-44d8-b2d8-87dcefaee5a3,2023-02-20,1,35,35,35
af033d13-368e-44d8-b2d8-87dcefaee5a3,2023-03-06,2,39.98,39.95,40
af033d13-368e-44d8-b2d8-87dcefaee5a3,2023-03-13,1,24.99,24.99,24.99
af033d13-368e-44d8-b2d8-87dcefaee5a3,2023-03-20,1,28,28,28
af033d13-368e-44d8-b2d8-87dcefaee5a3,2023-03-27,1,22.8,22.8,22.8
af033d13-368e-44d8-b2d8-87dcefaee5a3,2023-06-05,1,39.95,39.95,39.95
af033d13-368e-44d8-b2d8-87dcefaee5a3,2023-06-12,2,19.2,8.4,30
af033d13-368e-44d8-b2d8-87dcefaee5a3,2023-06-19,3,34.99,22.8,65
af033d13-368e-44d8-b2d8-87dcefaee5a3,2023-06-26,1,25.2,25.2,25.2
af033d13-368e-44d8-b2d8-87dcefaee5a3,2023-07-31,1,45,45,45
af033d13-368e-44d8-b2d8-87dcefaee5a3,2023-08-07,1,119,119,119
af033d13-368e-44d8-b2d8-87dcefaee5a3,2023-08-21,1,44.9,44.9,44.9
af033d13-368e-44d8-b2d8-87dcefaee5a3,2023-08-28,1,41,41,41
af033d13-368e-44d8-b2d8-87dcefaee5a3,2023-10-23,4,22.5,19,23.5
af033d13-368e-44d8-b2d8-87dcefaee5a3,2023-10-30,1,24.19,24.19,24.19
af033d13-368e-44d8-b2d8-87dcefaee5a3,2023-11-13,2,18.75,18,19.5
af033d13-368e-44d8-b2d8-87dcefaee5a3,2023-11-20,1,26.84,26.84,26.84
af033d13-368e-44d8-b2d8-87dcefaee5a3,2024-01-29,1,24,24,24
af033d13-368e-44d8-b2d8-87dcefaee5a3,2024-02-19,2,17,15.5,18.5
af033d13-368e-44d8-b2d8-87dcefaee5a3,2024-03-11,3,25.05,19.52,31
af033d13-368e-44d8-b2d8-87dcefaee5a3,2024-06-10,1,40.99,40.99,40.99
af033d13-368e-44d8-b2d8-87dcefaee5a3,2024-07-15,1,39,39,39
af033d13-368e-44d8-b2d8-87dcefaee5a3,2024-11-25,1,33.5,33.5,33.5
af033d13-368e-44d8-b2d8-87dcefaee5a3,2024-12-16,1,42,42,42
af033d13-368e-44d8-b2d8-87dcefaee5a3,2024-12-30,1,90,90,90
af033d13-368e-44d8-b2d8-87dcefaee5a3,2025-01-13,1,34.99,34.99,34.99
af033d13-368e-44d8-b2d8-87dcefaee5a3,2025-01-20,2,42.5,39.99,45
af033d13-368e-44d8-b2d8-87dcefaee5a3,2025-02-03,1,40,40,40
af033d13-368e-44d8-b2d8-87dcefaee5a3,2025-02-17,1,60,60,60
af033d13-368e-44d8-b2d8-87dcefaee5a3,2025-03-17,1,26,26,26
af033d13-368e-44d8-b2d8-87dcefaee5a3,2025-04-21,1,59.95,59.95,59.95
af033d13-368e-44d8-b2d8-87dcefaee5a3,2025-05-05,1,92.99,92.99,92.99
af033d13-368e-44d8-b2d8-87dcefaee5a3,2025-07-28,1,61,61,61
af033d13-368e-44d8-b2d8-87dcefaee5a3,2025-09-08,2,83.25,61.5,105
af033d13-368e-44d8-b2d8-87dcefaee5a3,2025-09-15,1,120,120,120
af033d13-368e-44d8-b2d8-87dcefaee5a3,2025-09-29,1,115,115,115
af033d13-368e-44d8-b2d8-87dcefaee5a3,2025-10-06,1,82.5,82.5,82.5
af033d13-368e-44d8-b2d8-87dcefaee5a3,2025-10-13,1,67,67,67
af033d13-368e-44d8-b2d8-87dcefaee5a3,2025-12-01,1,100,100,100
af033d13-368e-44d8-b2d8-87dcefaee5a3,2025-12-08,1,100,100,100
af033d13-368e-44d8-b2d8-87dcefaee5a3,2026-01-05,1,105,105,105
af033d13-368e-44d8-b2d8-87dcefaee5a3,2026-03-09,2,122.4,94.8,150
af033d13-368e-44d8-b2d8-87dcefaee5a3,2026-04-13,1,150,150,150
af033d13-368e-44d8-b2d8-87dcefaee5a3,2026-04-20,1,134.99,134.99,134.99
af033d13-368e-44d8-b2d8-87dcefaee5a3,2026-05-04,1,142.5,142.5,142.5
af033d13-368e-44d8-b2d8-87dcefaee5a3,2026-05-11,1,149.99,149.99,149.99
af033d13-368e-44d8-b2d8-87dcefaee5a3,2026-05-25,1,169.99,169.99,169.99
af033d13-368e-44d8-b2d8-87dcefaee5a3,2026-06-15,1,115,115,115
af033d13-368e-44d8-b2d8-87dcefaee5a3,2026-06-22,2,168.75,150,187.5
af033d13-368e-44d8-b2d8-87dcefaee5a3,2026-06-29,1,200,200,200
af033d13-368e-44d8-b2d8-87dcefaee5a3,2026-07-06,1,217.5,217.5,217.5
af033d13-368e-44d8-b2d8-87dcefaee5a3,2026-07-27,1,162.5,162.5,162.5
af033d13-368e-44d8-b2d8-87dcefaee5a3,2026-09-14,1,150,150,150
af039553-8b6a-4bf6-8c19-bf0ef376b185,2021-03-01,1,84.95,84.95,84.95
af039553-8b6a-4bf6-8c19-bf0ef376b185,2021-10-18,1,41.16,41.16,41.16
af039553-8b6a-4bf6-8c19-bf0ef376b185,2023-03-27,1,31.02,31.02,31.02
af039553-8b6a-4bf6-8c19-bf0ef376b185,2023-04-24,1,31.02,31.02,31.02
af039553-8b6a-4bf6-8c19-bf0ef376b185,2023-05-15,2,33.5,26,41
af039553-8b6a-4bf6-8c19-bf0ef376b185,2023-06-12,1,29,29,29
af039553-8b6a-4bf6-8c19-bf0ef376b185,2023-06-26,1,26,26,26
af039553-8b6a-4bf6-8c19-bf0ef376b185,2023-09-18,1,29,29,29
af039553-8b6a-4bf6-8c19-bf0ef376b185,2023-11-06,2,35.98,29,42.97
af039553-8b6a-4bf6-8c19-bf0ef376b185,2023-12-04,2,18.5,16.5,20.5
af039553-8b6a-4bf6-8c19-bf0ef376b185,2024-03-11,1,18.31,18.31,18.31
af039553-8b6a-4bf6-8c19-bf0ef376b185,2024-03-18,1,24.05,24.05,24.05
af039553-8b6a-4bf6-8c19-bf0ef376b185,2024-06-17,1,62.51,62.51,62.51
af039553-8b6a-4bf6-8c19-bf0ef376b185,2024-08-26,1,26,26,26
af039553-8b6a-4bf6-8c19-bf0ef376b185,2024-10-28,1,55,55,55
af039553-8b6a-4bf6-8c19-bf0ef376b185,2024-11-25,1,18.24,18.24,18.24
af039553-8b6a-4bf6-8c19-bf0ef376b185,2025-03-17,1,41,41,41
