asset_id,week_start,n_sales,median_price,low,high
b50071dc-a6c2-4781-9e44-aae0f788cf90,2022-05-23,1,29,29,29
b50071dc-a6c2-4781-9e44-aae0f788cf90,2022-06-13,1,15,15,15
b50071dc-a6c2-4781-9e44-aae0f788cf90,2022-07-18,1,11.61,11.61,11.61
b5041365-311b-4dc1-9490-99037a2ed869,2023-08-14,1,59.98,59.98,59.98
b5041365-311b-4dc1-9490-99037a2ed869,2023-08-21,1,19.2,19.2,19.2
b5041365-311b-4dc1-9490-99037a2ed869,2023-08-28,2,19.2,19.2,19.2
b5041365-311b-4dc1-9490-99037a2ed869,2023-09-04,1,28.38,28.38,28.38
b5041365-311b-4dc1-9490-99037a2ed869,2023-09-11,1,31.2,31.2,31.2
b5041365-311b-4dc1-9490-99037a2ed869,2023-09-18,1,26.4,26.4,26.4
b5041365-311b-4dc1-9490-99037a2ed869,2023-09-25,1,17,17,17
b5041365-311b-4dc1-9490-99037a2ed869,2023-10-02,3,19.2,12,26.36
b5041365-311b-4dc1-9490-99037a2ed869,2023-10-09,2,22.2,21.6,22.8
b5041365-311b-4dc1-9490-99037a2ed869,2023-10-16,2,20.4,20.4,20.4
b5041365-311b-4dc1-9490-99037a2ed869,2023-10-23,2,24,22.8,25.2
b5041365-311b-4dc1-9490-99037a2ed869,2023-10-30,4,21.6,14.19,30.82
b5041365-311b-4dc1-9490-99037a2ed869,2023-11-13,3,21.6,21.6,25.5
b5041365-311b-4dc1-9490-99037a2ed869,2023-11-20,5,19.5,12,20.4
b5041365-311b-4dc1-9490-99037a2ed869,2023-11-27,3,20.5,18,21.5
b5041365-311b-4dc1-9490-99037a2ed869,2023-12-04,1,31.47,31.47,31.47
b5041365-311b-4dc1-9490-99037a2ed869,2023-12-11,1,21.6,21.6,21.6
b5041365-311b-4dc1-9490-99037a2ed869,2023-12-18,1,19.2,19.2,19.2
b5041365-311b-4dc1-9490-99037a2ed869,2023-12-25,2,17.32,14.64,20
b5041365-311b-4dc1-9490-99037a2ed869,2024-01-01,1,21.6,21.6,21.6
b5041365-311b-4dc1-9490-99037a2ed869,2024-01-08,2,23.4,22.8,24
b5041365-311b-4dc1-9490-99037a2ed869,2024-01-15,2,19.05,16.5,21.6
b5041365-311b-4dc1-9490-99037a2ed869,2024-01-22,2,20.4,20.4,20.4
b5041365-311b-4dc1-9490-99037a2ed869,2024-02-12,3,13.22,10.1,24
b5041365-311b-4dc1-9490-99037a2ed869,2024-02-19,4,21.6,14.99,39.25
b5041365-311b-4dc1-9490-99037a2ed869,2024-02-26,5,20.4,12,22.8
b5041365-311b-4dc1-9490-99037a2ed869,2024-03-04,7,20.4,15.5,20.4
b5041365-311b-4dc1-9490-99037a2ed869,2024-03-11,1,12.22,12.22,12.22
b5041365-311b-4dc1-9490-99037a2ed869,2024-03-18,3,21.6,21.5,21.6
b5041365-311b-4dc1-9490-99037a2ed869,2024-03-25,2,17.27,15.6,18.94
b5041365-311b-4dc1-9490-99037a2ed869,2024-04-01,1,15.6,15.6,15.6
b5041365-311b-4dc1-9490-99037a2ed869,2024-04-08,6,13.84,13.2,18.64
b5041365-311b-4dc1-9490-99037a2ed869,2024-04-15,2,18,16.8,19.2
b5041365-311b-4dc1-9490-99037a2ed869,2024-04-22,2,16.8,16.8,16.8
b5041365-311b-4dc1-9490-99037a2ed869,2024-04-29,2,14.65,12.5,16.8
b5041365-311b-4dc1-9490-99037a2ed869,2024-05-06,4,16.8,16.8,34.98
b5041365-311b-4dc1-9490-99037a2ed869,2024-05-13,2,20,20,20
b5041365-311b-4dc1-9490-99037a2ed869,2024-05-20,1,15.6,15.6,15.6
