asset_id,week_start,n_sales,median_price,low,high
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2022-04-25,1,79,79,79
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2022-05-02,1,97,97,97
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2022-05-09,1,66,66,66
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2022-07-18,1,80,80,80
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2022-09-12,1,41,41,41
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2022-10-24,2,62.5,60,65
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2022-11-28,1,33,33,33
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2023-01-09,1,43.99,43.99,43.99
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2023-01-16,1,30,30,30
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2023-01-23,1,59,59,59
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2023-02-06,1,40.8,40.8,40.8
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2023-02-27,1,34,34,34
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2023-03-20,1,69,69,69
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2023-04-03,1,30,30,30
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2023-04-17,1,40,40,40
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2023-05-22,1,39.99,39.99,39.99
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2023-05-29,1,32,32,32
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2023-06-26,2,30.52,30,31.03
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2023-07-03,2,38.91,33.83,43.99
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2023-08-14,1,42,42,42
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2023-08-21,1,44,44,44
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2023-09-04,1,37.2,37.2,37.2
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2023-09-11,1,34.03,34.03,34.03
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2023-09-25,1,22.58,22.58,22.58
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2023-12-11,1,39.95,39.95,39.95
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2024-01-01,2,38.99,35,42.98
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2024-01-15,1,30,30,30
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2024-02-26,1,49.99,49.99,49.99
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2024-04-22,1,33.5,33.5,33.5
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2024-05-06,2,33.75,22.5,44.99
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2024-05-27,1,57.43,57.43,57.43
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2024-07-15,2,40.48,36.98,43.99
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2024-08-12,1,34,34,34
ba01a6fc-2a64-404c-a316-86ef5603cfc9,2024-09-02,1,23,23,23
