asset_id,week_start,n_sales,median_price,low,high
bb00acef-cc74-4ea9-a74c-ae143fc5cd2d,2021-04-12,1,100,100,100
bb00acef-cc74-4ea9-a74c-ae143fc5cd2d,2021-06-21,1,56,56,56
bb00acef-cc74-4ea9-a74c-ae143fc5cd2d,2021-09-27,1,33.05,33.05,33.05
bb00acef-cc74-4ea9-a74c-ae143fc5cd2d,2022-01-17,1,43.17,43.17,43.17
bb00acef-cc74-4ea9-a74c-ae143fc5cd2d,2022-07-11,1,49.99,49.99,49.99
bb00acef-cc74-4ea9-a74c-ae143fc5cd2d,2022-08-15,1,50,50,50
bb00acef-cc74-4ea9-a74c-ae143fc5cd2d,2022-11-07,1,45.11,45.11,45.11
bb00acef-cc74-4ea9-a74c-ae143fc5cd2d,2023-01-16,1,38.74,38.74,38.74
bb00acef-cc74-4ea9-a74c-ae143fc5cd2d,2023-09-18,2,23.62,19.5,27.75
bb00acef-cc74-4ea9-a74c-ae143fc5cd2d,2023-12-04,1,38,38,38
bb00acef-cc74-4ea9-a74c-ae143fc5cd2d,2023-12-11,1,40.5,40.5,40.5
bb00acef-cc74-4ea9-a74c-ae143fc5cd2d,2023-12-25,1,27.99,27.99,27.99
bb00acef-cc74-4ea9-a74c-ae143fc5cd2d,2024-02-05,1,25.02,25.02,25.02
bb00acef-cc74-4ea9-a74c-ae143fc5cd2d,2024-05-13,1,36.45,36.45,36.45
bb00acef-cc74-4ea9-a74c-ae143fc5cd2d,2024-07-22,1,33,33,33
bb00acef-cc74-4ea9-a74c-ae143fc5cd2d,2024-09-23,1,26.4,26.4,26.4
bb00acef-cc74-4ea9-a74c-ae143fc5cd2d,2024-12-16,1,48,48,48
bb00acef-cc74-4ea9-a74c-ae143fc5cd2d,2025-04-28,1,25.42,25.42,25.42
bb00acef-cc74-4ea9-a74c-ae143fc5cd2d,2025-06-09,2,37.5,35,40
bb00acef-cc74-4ea9-a74c-ae143fc5cd2d,2025-06-30,1,52,52,52
bb00acef-cc74-4ea9-a74c-ae143fc5cd2d,2026-01-19,1,119.99,119.99,119.99
bb00acef-cc74-4ea9-a74c-ae143fc5cd2d,2026-02-16,1,119.99,119.99,119.99
bb00acef-cc74-4ea9-a74c-ae143fc5cd2d,2026-04-20,1,179.39,179.39,179.39
bb00acef-cc74-4ea9-a74c-ae143fc5cd2d,2026-05-25,1,209,209,209
bb0563eb-d58a-4001-9ce0-fcc7deaa238b,2025-12-22,1,296.65,296.65,296.65
bb0563eb-d58a-4001-9ce0-fcc7deaa238b,2025-12-29,1,225,225,225
bb075e82-9186-4279-ae7d-4a165c426da0,2026-05-11,1,99.98,99.98,99.98
bb085fac-f63c-4ff3-b253-e0ba33624c16,2025-09-08,1,33.99,33.99,33.99
bb085fac-f63c-4ff3-b253-e0ba33624c16,2025-09-22,1,28,28,28
bb085fac-f63c-4ff3-b253-e0ba33624c16,2025-12-15,1,29.01,29.01,29.01
bb085fac-f63c-4ff3-b253-e0ba33624c16,2026-01-12,1,35,35,35
bb085fac-f63c-4ff3-b253-e0ba33624c16,2026-02-02,1,31.66,31.66,31.66
bb085fac-f63c-4ff3-b253-e0ba33624c16,2026-03-02,1,50.62,50.62,50.62
bb085fac-f63c-4ff3-b253-e0ba33624c16,2026-06-01,1,47,47,47
bb0b7772-9639-4f0c-94dc-1abb923f9778,2021-05-31,1,260,260,260
bb0b7772-9639-4f0c-94dc-1abb923f9778,2021-06-28,1,400,400,400
bb0b7772-9639-4f0c-94dc-1abb923f9778,2021-07-12,1,299.66,299.66,299.66
bb0b7772-9639-4f0c-94dc-1abb923f9778,2022-03-28,1,350,350,350
bb0b7772-9639-4f0c-94dc-1abb923f9778,2022-06-27,1,312,312,312
bb0b7772-9639-4f0c-94dc-1abb923f9778,2022-08-01,1,312,312,312
bb0b7772-9639-4f0c-94dc-1abb923f9778,2022-08-08,1,241.14,241.14,241.14
bb0b7772-9639-4f0c-94dc-1abb923f9778,2022-10-03,1,313.96,313.96,313.96
bb0b7772-9639-4f0c-94dc-1abb923f9778,2022-10-17,1,280,280,280
bb0b7772-9639-4f0c-94dc-1abb923f9778,2022-11-14,3,340,338,344.24
bb0b7772-9639-4f0c-94dc-1abb923f9778,2022-11-21,2,266.75,265,268.49
bb0b7772-9639-4f0c-94dc-1abb923f9778,2023-01-02,1,301.16,301.16,301.16
bb0b7772-9639-4f0c-94dc-1abb923f9778,2023-01-16,1,430,430,430
bb0b7772-9639-4f0c-94dc-1abb923f9778,2023-02-13,1,230,230,230
