asset_id,week_start,n_sales,median_price,low,high
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2023-09-18,1,450,450,450
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2023-09-25,1,490,490,490
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2023-10-09,1,540,540,540
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2023-10-23,1,560,560,560
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2023-11-20,1,295,295,295
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2023-11-27,1,399,399,399
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2023-12-04,2,285,265,305
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2024-01-22,1,399,399,399
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2024-02-12,2,231.25,217.5,245
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2024-03-04,1,256.87,256.87,256.87
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2024-03-11,1,642,642,642
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2024-03-25,1,340,340,340
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2024-04-01,2,236.5,133,340
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2024-04-08,2,292.5,260,325
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2024-04-29,1,385,385,385
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2024-05-13,1,400,400,400
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2024-05-20,1,350,350,350
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2024-06-17,1,360,360,360
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2024-07-01,1,320,320,320
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2024-07-08,1,290,290,290
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2024-07-15,1,350,350,350
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2024-08-12,1,255,255,255
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2024-09-30,1,230,230,230
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2024-10-14,1,192.25,192.25,192.25
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2024-10-21,1,218.25,218.25,218.25
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2024-11-11,4,273,256,330
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2024-11-25,1,295,295,295
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2024-12-09,1,241.46,241.46,241.46
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2024-12-23,1,350,350,350
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2024-12-30,2,305,250,360
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2025-01-13,1,240,240,240
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2025-01-20,2,485,320,650
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2025-01-27,1,300,300,300
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2025-02-10,2,422.5,420,425
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2025-02-17,2,435,420,450
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2025-02-24,1,269,269,269
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2025-03-10,1,400,400,400
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2025-04-07,1,430,430,430
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2025-05-05,1,650,650,650
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2025-05-12,1,400,400,400
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2025-05-26,5,399,243,411.75
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2025-06-02,1,415,415,415
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2025-06-30,1,425,425,425
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2025-07-07,1,500,500,500
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2025-07-21,1,410,410,410
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2025-07-28,2,335,320,350
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2025-08-04,1,375,375,375
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2025-08-18,1,243.6,243.6,243.6
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2025-08-25,2,355,315,395
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2025-09-01,1,330.72,330.72,330.72
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2025-09-08,1,380,380,380
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2025-09-15,2,324.29,293.58,355
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2025-09-22,1,385,385,385
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2025-10-27,2,337.75,275.51,400
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2025-11-03,1,282,282,282
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2025-11-17,1,305,305,305
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2025-11-24,2,266.63,230.27,303
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2025-12-01,2,605,560,650
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2025-12-08,1,399,399,399
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2025-12-22,1,320,320,320
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2025-12-29,1,492,492,492
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2026-01-05,2,350.5,302,399
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2026-01-19,1,425,425,425
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2026-01-26,1,310,310,310
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2026-02-09,1,240,240,240
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2026-03-09,1,374.99,374.99,374.99
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2026-03-23,1,449.99,449.99,449.99
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2026-03-30,1,400,400,400
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2026-04-13,1,475,475,475
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2026-04-20,2,517.5,485,550
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2026-04-27,1,425,425,425
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2026-05-11,1,500,500,500
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2026-08-10,1,450,450,450
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2026-08-31,1,550,550,550
bc01699a-14e2-4156-99aa-b1ee3fe856c5,2026-09-07,1,600,600,600
bc04468b-04d5-4999-85b8-2ef64b0eb309,2025-10-13,1,36,36,36
bc069590-f313-43ac-a578-bbf9e1c31a77,2023-07-03,1,66,66,66
bc0722a1-6cb2-46ff-bb9d-d1cea19d593d,2022-01-24,1,31,31,31
bc0722a1-6cb2-46ff-bb9d-d1cea19d593d,2022-05-16,2,20.24,19.99,20.5
bc0722a1-6cb2-46ff-bb9d-d1cea19d593d,2022-05-30,3,12,11.5,17.01
bc0722a1-6cb2-46ff-bb9d-d1cea19d593d,2022-06-06,1,18,18,18
bc0722a1-6cb2-46ff-bb9d-d1cea19d593d,2022-10-31,1,12,12,12
bc0722a1-6cb2-46ff-bb9d-d1cea19d593d,2023-02-27,1,24,24,24
bc0722a1-6cb2-46ff-bb9d-d1cea19d593d,2023-06-26,1,15.5,15.5,15.5
bc0722a1-6cb2-46ff-bb9d-d1cea19d593d,2026-01-05,1,55,55,55
bc0eb000-7dcf-48e9-a547-dfce79be818f,2026-06-01,1,79.99,79.99,79.99
bc0eb000-7dcf-48e9-a547-dfce79be818f,2026-08-10,1,85,85,85
bc0f8d9a-3e20-452c-a951-f6a0e6d3a01a,2021-05-24,1,38.17,38.17,38.17
bc103537-d95c-4c61-8a45-add48320f147,2022-12-26,1,159.99,159.99,159.99
bc103537-d95c-4c61-8a45-add48320f147,2023-12-11,1,171.5,171.5,171.5
bc103537-d95c-4c61-8a45-add48320f147,2026-03-23,1,900,900,900
bc10f7d1-35f1-4c1c-b271-d952f8d97b48,2023-02-06,1,17.52,17.52,17.52
bc10f7d1-35f1-4c1c-b271-d952f8d97b48,2023-02-27,1,32,32,32
bc10f7d1-35f1-4c1c-b271-d952f8d97b48,2023-03-13,1,31.49,31.49,31.49
bc10f7d1-35f1-4c1c-b271-d952f8d97b48,2023-03-27,1,24.73,24.73,24.73
bc10f7d1-35f1-4c1c-b271-d952f8d97b48,2023-04-24,1,21.5,21.5,21.5
bc10f7d1-35f1-4c1c-b271-d952f8d97b48,2023-05-01,1,20.5,20.5,20.5
bc10f7d1-35f1-4c1c-b271-d952f8d97b48,2023-06-05,1,24.5,24.5,24.5
bc10f7d1-35f1-4c1c-b271-d952f8d97b48,2023-06-19,1,63.6,63.6,63.6
bc10f7d1-35f1-4c1c-b271-d952f8d97b48,2023-08-28,1,18.5,18.5,18.5
bc10f7d1-35f1-4c1c-b271-d952f8d97b48,2024-04-22,1,38.15,38.15,38.15
bc10f7d1-35f1-4c1c-b271-d952f8d97b48,2025-09-01,2,36.5,36,37
bc10f7d1-35f1-4c1c-b271-d952f8d97b48,2025-10-20,1,39,39,39
bc10f7d1-35f1-4c1c-b271-d952f8d97b48,2025-11-10,1,39,39,39
bc10f7d1-35f1-4c1c-b271-d952f8d97b48,2025-12-22,1,33,33,33
