asset_id,week_start,n_sales,median_price,low,high
be00576f-e7dc-46db-8133-547aff1a8547,2021-05-10,1,237.5,237.5,237.5
be00576f-e7dc-46db-8133-547aff1a8547,2021-06-21,1,229.99,229.99,229.99
be00576f-e7dc-46db-8133-547aff1a8547,2021-09-06,1,179.51,179.51,179.51
be00576f-e7dc-46db-8133-547aff1a8547,2021-09-27,2,165.29,130.58,200
be00576f-e7dc-46db-8133-547aff1a8547,2021-11-29,1,171.03,171.03,171.03
be00576f-e7dc-46db-8133-547aff1a8547,2021-12-06,1,149,149,149
be00576f-e7dc-46db-8133-547aff1a8547,2022-01-17,1,240,240,240
be00576f-e7dc-46db-8133-547aff1a8547,2022-01-24,2,151.75,143.5,160
be00576f-e7dc-46db-8133-547aff1a8547,2022-08-15,1,120,120,120
be00576f-e7dc-46db-8133-547aff1a8547,2022-09-05,1,146.4,146.4,146.4
be00576f-e7dc-46db-8133-547aff1a8547,2022-10-17,1,139.99,139.99,139.99
be00576f-e7dc-46db-8133-547aff1a8547,2022-11-21,1,126,126,126
be00576f-e7dc-46db-8133-547aff1a8547,2022-12-12,1,125,125,125
be00576f-e7dc-46db-8133-547aff1a8547,2022-12-19,1,100,100,100
be00576f-e7dc-46db-8133-547aff1a8547,2023-01-02,1,112.89,112.89,112.89
be00576f-e7dc-46db-8133-547aff1a8547,2023-01-09,1,164.99,164.99,164.99
be00576f-e7dc-46db-8133-547aff1a8547,2023-01-23,3,110.57,110.57,126
be00576f-e7dc-46db-8133-547aff1a8547,2023-03-06,1,93.6,93.6,93.6
be00576f-e7dc-46db-8133-547aff1a8547,2023-03-13,1,100,100,100
be00576f-e7dc-46db-8133-547aff1a8547,2023-03-20,1,98,98,98
be00576f-e7dc-46db-8133-547aff1a8547,2023-04-03,1,94.99,94.99,94.99
be00576f-e7dc-46db-8133-547aff1a8547,2023-06-19,1,120,120,120
be00576f-e7dc-46db-8133-547aff1a8547,2023-06-26,1,130,130,130
be00576f-e7dc-46db-8133-547aff1a8547,2023-07-17,2,85.44,79.88,91
be00576f-e7dc-46db-8133-547aff1a8547,2023-07-24,1,118.5,118.5,118.5
be00576f-e7dc-46db-8133-547aff1a8547,2023-07-31,2,104.2,98.4,110
be00576f-e7dc-46db-8133-547aff1a8547,2023-08-14,2,80.3,69.6,91
