asset_id,week_start,n_sales,median_price,low,high
bf0254da-c013-4731-aa34-24f031725294,2021-10-18,1,48.57,48.57,48.57
bf0254da-c013-4731-aa34-24f031725294,2022-01-03,1,20.7,20.7,20.7
bf0254da-c013-4731-aa34-24f031725294,2022-01-31,3,25,25,26
bf0254da-c013-4731-aa34-24f031725294,2022-02-14,1,25,25,25
bf0254da-c013-4731-aa34-24f031725294,2022-02-21,2,25,25,25
bf0254da-c013-4731-aa34-24f031725294,2022-03-07,2,29.57,25,34.15
bf0254da-c013-4731-aa34-24f031725294,2022-03-14,2,28.16,26.34,29.99
bf0254da-c013-4731-aa34-24f031725294,2022-04-18,2,27.99,19.99,36
bf0254da-c013-4731-aa34-24f031725294,2022-05-09,1,20.5,20.5,20.5
bf0254da-c013-4731-aa34-24f031725294,2022-06-20,4,18.5,17.02,20.51
bf0254da-c013-4731-aa34-24f031725294,2022-07-11,3,15,15,19.5
bf0254da-c013-4731-aa34-24f031725294,2022-07-18,1,18.5,18.5,18.5
bf0254da-c013-4731-aa34-24f031725294,2022-08-15,1,9.5,9.5,9.5
bf0254da-c013-4731-aa34-24f031725294,2022-08-22,1,20,20,20
bf0254da-c013-4731-aa34-24f031725294,2022-09-05,3,20,13.99,20.5
bf0254da-c013-4731-aa34-24f031725294,2022-10-10,1,24,24,24
bf0254da-c013-4731-aa34-24f031725294,2022-10-24,1,13.99,13.99,13.99
bf0254da-c013-4731-aa34-24f031725294,2022-10-31,1,26.01,26.01,26.01
bf0254da-c013-4731-aa34-24f031725294,2022-11-14,1,25,25,25
bf0254da-c013-4731-aa34-24f031725294,2022-11-21,1,33.59,33.59,33.59
bf0254da-c013-4731-aa34-24f031725294,2023-02-13,1,32.38,32.38,32.38
bf0254da-c013-4731-aa34-24f031725294,2023-03-20,1,13.62,13.62,13.62
bf0254da-c013-4731-aa34-24f031725294,2023-03-27,1,13.29,13.29,13.29
bf0254da-c013-4731-aa34-24f031725294,2023-04-03,1,12.5,12.5,12.5
bf0254da-c013-4731-aa34-24f031725294,2023-04-17,1,14.38,14.38,14.38
bf0254da-c013-4731-aa34-24f031725294,2023-05-22,1,23.43,23.43,23.43
bf0254da-c013-4731-aa34-24f031725294,2023-06-12,2,23.05,12.5,33.59
bf0254da-c013-4731-aa34-24f031725294,2023-07-17,1,28,28,28
bf0254da-c013-4731-aa34-24f031725294,2023-08-21,1,16.5,16.5,16.5
bf0254da-c013-4731-aa34-24f031725294,2023-11-20,1,21.88,21.88,21.88
bf0254da-c013-4731-aa34-24f031725294,2024-02-26,1,15.73,15.73,15.73
bf0254da-c013-4731-aa34-24f031725294,2024-04-15,1,37.6,37.6,37.6
