asset_id,week_start,n_sales,median_price,low,high
c0022a0a-f9af-4904-80d5-6ba13c0ac71a,2022-03-28,1,137.5,137.5,137.5
c0022a0a-f9af-4904-80d5-6ba13c0ac71a,2022-04-25,1,48,48,48
c0022a0a-f9af-4904-80d5-6ba13c0ac71a,2022-09-19,1,31,31,31
c0022a0a-f9af-4904-80d5-6ba13c0ac71a,2022-11-14,2,29.94,29.85,30.02
c0022a0a-f9af-4904-80d5-6ba13c0ac71a,2022-12-19,2,25.61,20.5,30.72
c0022a0a-f9af-4904-80d5-6ba13c0ac71a,2022-12-26,1,43,43,43
c0022a0a-f9af-4904-80d5-6ba13c0ac71a,2023-01-02,1,29,29,29
c0022a0a-f9af-4904-80d5-6ba13c0ac71a,2023-01-09,1,45,45,45
c0022a0a-f9af-4904-80d5-6ba13c0ac71a,2023-01-30,1,31,31,31
c0022a0a-f9af-4904-80d5-6ba13c0ac71a,2023-02-27,1,22.5,22.5,22.5
c0022a0a-f9af-4904-80d5-6ba13c0ac71a,2023-04-17,2,29.5,25,34
c0022a0a-f9af-4904-80d5-6ba13c0ac71a,2023-06-12,1,32,32,32
c0022a0a-f9af-4904-80d5-6ba13c0ac71a,2023-07-10,2,32.49,29.99,35
c0022a0a-f9af-4904-80d5-6ba13c0ac71a,2023-07-17,1,26,26,26
c0022a0a-f9af-4904-80d5-6ba13c0ac71a,2023-07-24,1,30,30,30
c0022a0a-f9af-4904-80d5-6ba13c0ac71a,2023-09-25,1,20.01,20.01,20.01
c0022a0a-f9af-4904-80d5-6ba13c0ac71a,2023-10-30,1,33.81,33.81,33.81
c0022a0a-f9af-4904-80d5-6ba13c0ac71a,2024-02-05,1,18.48,18.48,18.48
c0022a0a-f9af-4904-80d5-6ba13c0ac71a,2024-02-26,1,33.96,33.96,33.96
c0022a0a-f9af-4904-80d5-6ba13c0ac71a,2024-03-11,1,24,24,24
c0022a0a-f9af-4904-80d5-6ba13c0ac71a,2024-04-29,1,20.5,20.5,20.5
c0022a0a-f9af-4904-80d5-6ba13c0ac71a,2024-06-17,1,15.6,15.6,15.6
