asset_id,week_start,n_sales,median_price,low,high
ca03bf4e-b3a6-4943-babb-d3ffc11e11cc,2024-08-05,1,48,48,48
ca03bf4e-b3a6-4943-babb-d3ffc11e11cc,2024-11-18,1,26.3,26.3,26.3
ca03bf4e-b3a6-4943-babb-d3ffc11e11cc,2026-02-16,1,250,250,250
ca03bf4e-b3a6-4943-babb-d3ffc11e11cc,2026-03-02,1,168,168,168
ca03bf4e-b3a6-4943-babb-d3ffc11e11cc,2026-03-16,1,225,225,225
ca03bf4e-b3a6-4943-babb-d3ffc11e11cc,2026-05-11,1,225.01,225.01,225.01
ca03bf4e-b3a6-4943-babb-d3ffc11e11cc,2026-05-25,1,250,250,250
ca03bf4e-b3a6-4943-babb-d3ffc11e11cc,2026-06-01,1,215,215,215
ca03bf4e-b3a6-4943-babb-d3ffc11e11cc,2026-08-24,1,275,275,275
ca056596-16bc-4a42-bad7-7ef51a2256a2,2021-12-27,1,99.99,99.99,99.99
ca056596-16bc-4a42-bad7-7ef51a2256a2,2022-04-11,1,59,59,59
ca056596-16bc-4a42-bad7-7ef51a2256a2,2024-04-15,1,72,72,72
ca09561f-da2d-49e2-8a82-cdc9455e4292,2022-08-15,1,149.99,149.99,149.99
ca09561f-da2d-49e2-8a82-cdc9455e4292,2022-08-29,1,87,87,87
ca09561f-da2d-49e2-8a82-cdc9455e4292,2022-09-05,1,120,120,120
ca09561f-da2d-49e2-8a82-cdc9455e4292,2022-10-03,1,144,144,144
ca09561f-da2d-49e2-8a82-cdc9455e4292,2022-10-24,1,100,100,100
ca09561f-da2d-49e2-8a82-cdc9455e4292,2022-10-31,1,98,98,98
ca09561f-da2d-49e2-8a82-cdc9455e4292,2022-11-28,1,89,89,89
ca09561f-da2d-49e2-8a82-cdc9455e4292,2022-12-12,6,59.99,59.99,65
ca09561f-da2d-49e2-8a82-cdc9455e4292,2022-12-19,1,59.99,59.99,59.99
ca09561f-da2d-49e2-8a82-cdc9455e4292,2022-12-26,5,56,50.92,99
ca09561f-da2d-49e2-8a82-cdc9455e4292,2023-01-02,2,107.99,99,116.98
ca09561f-da2d-49e2-8a82-cdc9455e4292,2023-01-09,3,85,51.3,90
ca09561f-da2d-49e2-8a82-cdc9455e4292,2023-01-16,3,53.15,39,54.42
ca09561f-da2d-49e2-8a82-cdc9455e4292,2023-01-23,1,125,125,125
ca09561f-da2d-49e2-8a82-cdc9455e4292,2023-01-30,1,100,100,100
ca09561f-da2d-49e2-8a82-cdc9455e4292,2023-02-06,1,85,85,85
ca09561f-da2d-49e2-8a82-cdc9455e4292,2023-02-13,2,63.02,50.4,75.64
ca09561f-da2d-49e2-8a82-cdc9455e4292,2023-02-27,1,46.8,46.8,46.8
ca09561f-da2d-49e2-8a82-cdc9455e4292,2023-03-06,3,66.31,47,70
ca09561f-da2d-49e2-8a82-cdc9455e4292,2023-03-13,2,35.5,29,42
ca09561f-da2d-49e2-8a82-cdc9455e4292,2023-03-20,5,31.2,26.4,34
ca09561f-da2d-49e2-8a82-cdc9455e4292,2023-03-27,1,71.1,71.1,71.1
ca09561f-da2d-49e2-8a82-cdc9455e4292,2023-04-10,2,67,65,69
ca09561f-da2d-49e2-8a82-cdc9455e4292,2023-04-24,2,51.05,31,71.1
ca09561f-da2d-49e2-8a82-cdc9455e4292,2023-05-01,1,43,43,43
ca09561f-da2d-49e2-8a82-cdc9455e4292,2023-05-15,2,46.9,41,52.8
ca09561f-da2d-49e2-8a82-cdc9455e4292,2023-05-22,4,54.56,36,71.1
ca09561f-da2d-49e2-8a82-cdc9455e4292,2023-05-29,3,79.99,72,97.5
ca09561f-da2d-49e2-8a82-cdc9455e4292,2023-06-12,1,80,80,80
ca09561f-da2d-49e2-8a82-cdc9455e4292,2023-06-19,2,110,99.99,120
ca09561f-da2d-49e2-8a82-cdc9455e4292,2023-07-17,6,50,44,67.6
ca09561f-da2d-49e2-8a82-cdc9455e4292,2023-08-14,1,50,50,50
ca09561f-da2d-49e2-8a82-cdc9455e4292,2023-08-21,1,46.8,46.8,46.8
ca09561f-da2d-49e2-8a82-cdc9455e4292,2023-09-18,1,40.26,40.26,40.26
ca09561f-da2d-49e2-8a82-cdc9455e4292,2023-11-13,4,28.5,21.72,31
