asset_id,week_start,n_sales,median_price,low,high
cc025ea3-c71a-454d-b040-90ed9a4b71df,2021-03-08,1,92.36,92.36,92.36
cc025ea3-c71a-454d-b040-90ed9a4b71df,2021-03-15,1,101.94,101.94,101.94
cc025ea3-c71a-454d-b040-90ed9a4b71df,2021-03-29,1,120,120,120
cc025ea3-c71a-454d-b040-90ed9a4b71df,2021-04-19,1,107.02,107.02,107.02
cc025ea3-c71a-454d-b040-90ed9a4b71df,2021-05-03,1,160,160,160
cc025ea3-c71a-454d-b040-90ed9a4b71df,2021-05-10,1,96,96,96
cc025ea3-c71a-454d-b040-90ed9a4b71df,2021-06-21,1,71,71,71
cc025ea3-c71a-454d-b040-90ed9a4b71df,2021-07-19,1,109.99,109.99,109.99
cc025ea3-c71a-454d-b040-90ed9a4b71df,2021-08-16,1,70,70,70
cc025ea3-c71a-454d-b040-90ed9a4b71df,2021-08-23,1,102.5,102.5,102.5
cc025ea3-c71a-454d-b040-90ed9a4b71df,2021-10-11,1,80,80,80
cc025ea3-c71a-454d-b040-90ed9a4b71df,2021-12-06,2,75.97,52,99.95
cc025ea3-c71a-454d-b040-90ed9a4b71df,2021-12-13,1,76,76,76
cc025ea3-c71a-454d-b040-90ed9a4b71df,2022-02-21,1,63,63,63
cc025ea3-c71a-454d-b040-90ed9a4b71df,2022-04-04,2,114.75,105,124.5
cc025ea3-c71a-454d-b040-90ed9a4b71df,2022-07-18,1,76,76,76
cc025ea3-c71a-454d-b040-90ed9a4b71df,2022-08-22,1,36,36,36
cc025ea3-c71a-454d-b040-90ed9a4b71df,2022-09-19,1,80,80,80
cc025ea3-c71a-454d-b040-90ed9a4b71df,2022-10-10,1,100,100,100
cc025ea3-c71a-454d-b040-90ed9a4b71df,2022-11-14,1,65,65,65
cc025ea3-c71a-454d-b040-90ed9a4b71df,2022-12-12,1,76.85,76.85,76.85
cc025ea3-c71a-454d-b040-90ed9a4b71df,2022-12-26,1,78,78,78
cc025ea3-c71a-454d-b040-90ed9a4b71df,2023-03-27,1,43.2,43.2,43.2
cc025ea3-c71a-454d-b040-90ed9a4b71df,2023-04-10,1,64.99,64.99,64.99
cc025ea3-c71a-454d-b040-90ed9a4b71df,2023-06-05,1,64.95,64.95,64.95
cc025ea3-c71a-454d-b040-90ed9a4b71df,2023-06-19,1,57,57,57
cc025ea3-c71a-454d-b040-90ed9a4b71df,2023-07-10,1,60,60,60
cc025ea3-c71a-454d-b040-90ed9a4b71df,2023-08-07,1,59,59,59
cc025ea3-c71a-454d-b040-90ed9a4b71df,2023-10-30,1,40,40,40
cc025ea3-c71a-454d-b040-90ed9a4b71df,2023-12-11,1,49.99,49.99,49.99
cc025ea3-c71a-454d-b040-90ed9a4b71df,2024-04-22,1,46.86,46.86,46.86
cc025ea3-c71a-454d-b040-90ed9a4b71df,2024-06-17,1,30,30,30
cc025ea3-c71a-454d-b040-90ed9a4b71df,2024-06-24,1,30,30,30
cc025ea3-c71a-454d-b040-90ed9a4b71df,2024-07-01,2,47.34,39.67,55
cc025ea3-c71a-454d-b040-90ed9a4b71df,2024-07-29,1,39.6,39.6,39.6
cc025ea3-c71a-454d-b040-90ed9a4b71df,2024-09-02,1,50,50,50
cc025ea3-c71a-454d-b040-90ed9a4b71df,2024-11-25,1,36,36,36
cc025ea3-c71a-454d-b040-90ed9a4b71df,2025-01-20,1,60,60,60
cc025ea3-c71a-454d-b040-90ed9a4b71df,2025-02-03,1,59.99,59.99,59.99
cc025ea3-c71a-454d-b040-90ed9a4b71df,2025-02-17,1,69,69,69
cc025ea3-c71a-454d-b040-90ed9a4b71df,2025-05-19,1,65.5,65.5,65.5
cc025ea3-c71a-454d-b040-90ed9a4b71df,2025-06-09,1,70,70,70
cc025ea3-c71a-454d-b040-90ed9a4b71df,2025-06-16,1,89.99,89.99,89.99
cc025ea3-c71a-454d-b040-90ed9a4b71df,2025-06-30,1,90,90,90
cc025ea3-c71a-454d-b040-90ed9a4b71df,2025-07-14,1,68,68,68
cc025ea3-c71a-454d-b040-90ed9a4b71df,2025-10-20,1,95,95,95
cc025ea3-c71a-454d-b040-90ed9a4b71df,2025-12-29,1,113,113,113
cc025ea3-c71a-454d-b040-90ed9a4b71df,2026-01-12,1,170,170,170
cc025ea3-c71a-454d-b040-90ed9a4b71df,2026-02-09,1,299.99,299.99,299.99
cc025ea3-c71a-454d-b040-90ed9a4b71df,2026-03-02,1,300,300,300
cc025ea3-c71a-454d-b040-90ed9a4b71df,2026-03-09,1,299,299,299
cc025ea3-c71a-454d-b040-90ed9a4b71df,2026-03-23,1,174.94,174.94,174.94
cc025ea3-c71a-454d-b040-90ed9a4b71df,2026-04-06,3,260,240,295
cc025ea3-c71a-454d-b040-90ed9a4b71df,2026-04-27,1,315,315,315
cc025ea3-c71a-454d-b040-90ed9a4b71df,2026-05-04,1,424.99,424.99,424.99
cc025ea3-c71a-454d-b040-90ed9a4b71df,2026-06-22,1,354,354,354
cc025ea3-c71a-454d-b040-90ed9a4b71df,2026-06-29,1,250,250,250
cc025ea3-c71a-454d-b040-90ed9a4b71df,2026-07-20,1,260.05,260.05,260.05
cc025ea3-c71a-454d-b040-90ed9a4b71df,2026-08-31,1,335,335,335
cc04ff7e-78aa-403f-9313-704d05cf0740,2021-05-03,1,3550,3550,3550
cc04ff7e-78aa-403f-9313-704d05cf0740,2021-06-21,1,2992.16,2992.16,2992.16
cc04ff7e-78aa-403f-9313-704d05cf0740,2021-07-19,1,6000,6000,6000
cc04ff7e-78aa-403f-9313-704d05cf0740,2021-10-18,1,3000,3000,3000
cc04ff7e-78aa-403f-9313-704d05cf0740,2021-11-15,1,3364.7,3364.7,3364.7
cc04ff7e-78aa-403f-9313-704d05cf0740,2021-12-06,1,3500,3500,3500
cc04ff7e-78aa-403f-9313-704d05cf0740,2021-12-27,1,4500,4500,4500
cc04ff7e-78aa-403f-9313-704d05cf0740,2022-01-24,3,3300,1500,3840
cc04ff7e-78aa-403f-9313-704d05cf0740,2022-03-07,2,2580,2520,2640
cc04ff7e-78aa-403f-9313-704d05cf0740,2022-07-11,1,3050,3050,3050
cc04ff7e-78aa-403f-9313-704d05cf0740,2022-10-24,2,3050,2700,3400
cc04ff7e-78aa-403f-9313-704d05cf0740,2022-11-28,1,2076,2076,2076
cc04ff7e-78aa-403f-9313-704d05cf0740,2022-12-12,1,1750,1750,1750
cc04ff7e-78aa-403f-9313-704d05cf0740,2023-03-20,1,3000,3000,3000
cc04ff7e-78aa-403f-9313-704d05cf0740,2023-04-10,1,3999,3999,3999
cc04ff7e-78aa-403f-9313-704d05cf0740,2023-08-14,1,1909.28,1909.28,1909.28
cc04ff7e-78aa-403f-9313-704d05cf0740,2023-10-09,1,1860,1860,1860
cc04ff7e-78aa-403f-9313-704d05cf0740,2023-11-06,1,1590,1590,1590
cc04ff7e-78aa-403f-9313-704d05cf0740,2024-03-18,1,2474.1,2474.1,2474.1
cc04ff7e-78aa-403f-9313-704d05cf0740,2024-05-13,1,3000,3000,3000
cc04ff7e-78aa-403f-9313-704d05cf0740,2024-05-27,1,2310,2310,2310
cc04ff7e-78aa-403f-9313-704d05cf0740,2024-09-02,1,2100,2100,2100
cc04ff7e-78aa-403f-9313-704d05cf0740,2024-09-09,1,2520,2520,2520
cc04ff7e-78aa-403f-9313-704d05cf0740,2024-09-16,1,1769,1769,1769
cc04ff7e-78aa-403f-9313-704d05cf0740,2024-12-30,1,2045.08,2045.08,2045.08
cc04ff7e-78aa-403f-9313-704d05cf0740,2025-01-13,1,3150,3150,3150
cc04ff7e-78aa-403f-9313-704d05cf0740,2025-03-03,1,3825,3825,3825
cc04ff7e-78aa-403f-9313-704d05cf0740,2025-03-24,1,3800.59,3800.59,3800.59
cc04ff7e-78aa-403f-9313-704d05cf0740,2025-04-07,1,4000,4000,4000
cc04ff7e-78aa-403f-9313-704d05cf0740,2025-08-25,1,11700,11700,11700
cc04ff7e-78aa-403f-9313-704d05cf0740,2025-09-15,1,8600,8600,8600
cc04ff7e-78aa-403f-9313-704d05cf0740,2025-09-22,1,9300,9300,9300
cc04ff7e-78aa-403f-9313-704d05cf0740,2025-10-27,1,8750,8750,8750
cc04ff7e-78aa-403f-9313-704d05cf0740,2025-12-22,1,8700,8700,8700
cc04ff7e-78aa-403f-9313-704d05cf0740,2026-02-02,1,10500,10500,10500
cc04ff7e-78aa-403f-9313-704d05cf0740,2026-02-09,1,9920,9920,9920
cc04ff7e-78aa-403f-9313-704d05cf0740,2026-03-02,2,13575,12750,14400
cc04ff7e-78aa-403f-9313-704d05cf0740,2026-03-23,1,17500,17500,17500
cc04ff7e-78aa-403f-9313-704d05cf0740,2026-04-13,1,18600,18600,18600
cc04ff7e-78aa-403f-9313-704d05cf0740,2026-05-04,2,19405.5,18600,20211
cc04ff7e-78aa-403f-9313-704d05cf0740,2026-05-11,1,23000,23000,23000
