asset_id,week_start,n_sales,median_price,low,high
cd05ae72-b6e9-40ac-8384-76e9637dd177,2024-06-03,1,162.5,162.5,162.5
cd05cf21-45e9-4e9f-8ad0-3bad42c56974,2021-10-25,1,58,58,58
cd05cf21-45e9-4e9f-8ad0-3bad42c56974,2022-02-28,1,65,65,65
cd05cf21-45e9-4e9f-8ad0-3bad42c56974,2023-07-31,1,51,51,51
cd05cf21-45e9-4e9f-8ad0-3bad42c56974,2024-09-02,1,45,45,45
cd05cf21-45e9-4e9f-8ad0-3bad42c56974,2024-11-18,1,59.99,59.99,59.99
cd05cf21-45e9-4e9f-8ad0-3bad42c56974,2025-05-12,1,40,40,40
cd05cf21-45e9-4e9f-8ad0-3bad42c56974,2026-08-31,2,285.5,271,300
cd06edd1-c05a-4d74-800b-03db825b9ce6,2021-06-21,1,16.7,16.7,16.7
cd06edd1-c05a-4d74-800b-03db825b9ce6,2021-08-23,1,12.16,12.16,12.16
cd06edd1-c05a-4d74-800b-03db825b9ce6,2021-11-29,2,10.65,5,16.3
cd06edd1-c05a-4d74-800b-03db825b9ce6,2021-12-20,1,22.5,22.5,22.5
cd06edd1-c05a-4d74-800b-03db825b9ce6,2022-01-10,2,12.75,11.99,13.52
cd06edd1-c05a-4d74-800b-03db825b9ce6,2022-01-24,1,8.05,8.05,8.05
cd06edd1-c05a-4d74-800b-03db825b9ce6,2022-02-21,1,10,10,10
cd06edd1-c05a-4d74-800b-03db825b9ce6,2022-04-18,1,8.5,8.5,8.5
cd06edd1-c05a-4d74-800b-03db825b9ce6,2022-07-18,1,13.5,13.5,13.5
cd06edd1-c05a-4d74-800b-03db825b9ce6,2022-09-19,1,12.5,12.5,12.5
cd06edd1-c05a-4d74-800b-03db825b9ce6,2022-10-03,1,8.5,8.5,8.5
cd06edd1-c05a-4d74-800b-03db825b9ce6,2023-09-25,1,47.25,47.25,47.25
cd06edd1-c05a-4d74-800b-03db825b9ce6,2026-04-20,1,19.97,19.97,19.97
cd09d6ca-5d96-48ff-99b3-efce710c7364,2026-02-09,2,17,16.5,17.5
cd09d6ca-5d96-48ff-99b3-efce710c7364,2026-02-16,1,20,20,20
cd09d6ca-5d96-48ff-99b3-efce710c7364,2026-02-23,1,39.99,39.99,39.99
cd09d6ca-5d96-48ff-99b3-efce710c7364,2026-03-09,2,13.75,9.51,18
cd09d6ca-5d96-48ff-99b3-efce710c7364,2026-03-16,1,26,26,26
cd09d6ca-5d96-48ff-99b3-efce710c7364,2026-04-06,1,37.5,37.5,37.5
cd09d6ca-5d96-48ff-99b3-efce710c7364,2026-04-20,4,31.48,20,37.95
cd09d6ca-5d96-48ff-99b3-efce710c7364,2026-05-04,2,29.59,19.18,40
cd09d6ca-5d96-48ff-99b3-efce710c7364,2026-05-11,1,60,60,60
cd09d6ca-5d96-48ff-99b3-efce710c7364,2026-05-25,2,21,15,27
cd09d6ca-5d96-48ff-99b3-efce710c7364,2026-06-08,4,34.75,18.5,39.99
cd09d6ca-5d96-48ff-99b3-efce710c7364,2026-06-15,2,27.7,26.4,29
cd09d6ca-5d96-48ff-99b3-efce710c7364,2026-06-22,1,32,32,32
cd09d6ca-5d96-48ff-99b3-efce710c7364,2026-08-24,1,24,24,24
cd09d6ca-5d96-48ff-99b3-efce710c7364,2026-09-07,1,22.5,22.5,22.5
