asset_id,week_start,n_sales,median_price,low,high
ce0685da-c390-4660-804f-f5176bf16d2a,2025-02-10,1,28,28,28
ce0685da-c390-4660-804f-f5176bf16d2a,2025-03-03,1,25.51,25.51,25.51
ce0685da-c390-4660-804f-f5176bf16d2a,2025-03-17,1,8.5,8.5,8.5
ce0685da-c390-4660-804f-f5176bf16d2a,2025-04-07,1,19.99,19.99,19.99
ce0685da-c390-4660-804f-f5176bf16d2a,2025-05-05,1,24.5,24.5,24.5
ce0685da-c390-4660-804f-f5176bf16d2a,2025-06-23,1,16.8,16.8,16.8
ce0685da-c390-4660-804f-f5176bf16d2a,2025-07-07,1,27,27,27
ce0685da-c390-4660-804f-f5176bf16d2a,2025-07-21,1,27.85,27.85,27.85
ce0685da-c390-4660-804f-f5176bf16d2a,2025-08-04,1,20.5,20.5,20.5
ce0685da-c390-4660-804f-f5176bf16d2a,2025-08-11,1,21,21,21
ce0685da-c390-4660-804f-f5176bf16d2a,2025-11-03,1,25.99,25.99,25.99
ce0685da-c390-4660-804f-f5176bf16d2a,2025-11-24,1,28.75,28.75,28.75
ce0685da-c390-4660-804f-f5176bf16d2a,2025-12-29,1,34.99,34.99,34.99
ce0685da-c390-4660-804f-f5176bf16d2a,2026-05-11,1,21.5,21.5,21.5
ce0685da-c390-4660-804f-f5176bf16d2a,2026-08-10,1,17.51,17.51,17.51
ce0b31eb-8051-4b44-9206-e878d4c2b09f,2022-11-21,1,50,50,50
ce0cca73-6ae2-4fc4-944e-6e01e5ef9b1c,2025-04-14,1,170,170,170
ce0cca73-6ae2-4fc4-944e-6e01e5ef9b1c,2025-06-02,1,499.99,499.99,499.99
ce0cca73-6ae2-4fc4-944e-6e01e5ef9b1c,2025-09-08,1,850,850,850
ce0cca73-6ae2-4fc4-944e-6e01e5ef9b1c,2026-03-09,1,2000,2000,2000
ce0cca73-6ae2-4fc4-944e-6e01e5ef9b1c,2026-08-17,1,1500,1500,1500
ce159026-bccd-431a-a0d0-d873ccfb859b,2023-08-28,1,30,30,30
ce159026-bccd-431a-a0d0-d873ccfb859b,2023-09-04,1,68,68,68
ce159026-bccd-431a-a0d0-d873ccfb859b,2023-09-18,3,40,38,79.95
ce159026-bccd-431a-a0d0-d873ccfb859b,2023-10-02,2,37.81,25.62,50
ce159026-bccd-431a-a0d0-d873ccfb859b,2023-11-06,1,29.9,29.9,29.9
ce159026-bccd-431a-a0d0-d873ccfb859b,2023-11-13,1,29,29,29
ce159026-bccd-431a-a0d0-d873ccfb859b,2023-11-27,1,31.95,31.95,31.95
ce159026-bccd-431a-a0d0-d873ccfb859b,2023-12-11,2,34.97,29.95,39.99
ce159026-bccd-431a-a0d0-d873ccfb859b,2023-12-18,1,34.99,34.99,34.99
ce159026-bccd-431a-a0d0-d873ccfb859b,2023-12-25,3,36,35.9,45
ce159026-bccd-431a-a0d0-d873ccfb859b,2024-01-01,7,39.95,26,49.99
ce159026-bccd-431a-a0d0-d873ccfb859b,2024-01-08,1,69.99,69.99,69.99
ce159026-bccd-431a-a0d0-d873ccfb859b,2024-01-22,1,92,92,92
ce159026-bccd-431a-a0d0-d873ccfb859b,2024-02-12,1,30.15,30.15,30.15
ce159026-bccd-431a-a0d0-d873ccfb859b,2024-02-26,1,26,26,26
ce159026-bccd-431a-a0d0-d873ccfb859b,2024-03-04,1,26,26,26
ce159026-bccd-431a-a0d0-d873ccfb859b,2024-04-01,1,26.51,26.51,26.51
ce159026-bccd-431a-a0d0-d873ccfb859b,2024-04-08,1,33.99,33.99,33.99
ce159026-bccd-431a-a0d0-d873ccfb859b,2024-04-15,1,32.81,32.81,32.81
ce159026-bccd-431a-a0d0-d873ccfb859b,2024-04-29,2,34.5,29,40
ce159026-bccd-431a-a0d0-d873ccfb859b,2024-05-20,1,40,40,40
ce159026-bccd-431a-a0d0-d873ccfb859b,2024-05-27,1,30.15,30.15,30.15
ce159026-bccd-431a-a0d0-d873ccfb859b,2024-06-03,1,35,35,35
ce159026-bccd-431a-a0d0-d873ccfb859b,2024-06-10,2,44.67,39.95,49.4
ce159026-bccd-431a-a0d0-d873ccfb859b,2024-06-17,2,33.49,31.99,34.99
ce159026-bccd-431a-a0d0-d873ccfb859b,2024-06-24,2,34.45,33.95,34.95
ce159026-bccd-431a-a0d0-d873ccfb859b,2024-07-08,1,34.95,34.95,34.95
ce159026-bccd-431a-a0d0-d873ccfb859b,2024-07-29,2,33,30,36
ce159026-bccd-431a-a0d0-d873ccfb859b,2024-08-12,2,22.63,18.5,26.77
ce159026-bccd-431a-a0d0-d873ccfb859b,2024-08-26,1,19.58,19.58,19.58
ce159026-bccd-431a-a0d0-d873ccfb859b,2024-09-02,1,26,26,26
ce159026-bccd-431a-a0d0-d873ccfb859b,2024-09-09,1,26,26,26
ce159026-bccd-431a-a0d0-d873ccfb859b,2024-09-16,2,34.73,18.5,50.95
ce159026-bccd-431a-a0d0-d873ccfb859b,2024-09-30,2,30.38,26.77,34
ce159026-bccd-431a-a0d0-d873ccfb859b,2024-10-21,1,30,30,30
ce159026-bccd-431a-a0d0-d873ccfb859b,2024-10-28,1,37.97,37.97,37.97
ce159026-bccd-431a-a0d0-d873ccfb859b,2024-11-04,2,35.48,33,37.97
ce159026-bccd-431a-a0d0-d873ccfb859b,2024-11-18,1,24.99,24.99,24.99
ce159026-bccd-431a-a0d0-d873ccfb859b,2024-11-25,2,41.49,39.99,42.99
ce159026-bccd-431a-a0d0-d873ccfb859b,2024-12-02,1,40.88,40.88,40.88
ce159026-bccd-431a-a0d0-d873ccfb859b,2024-12-30,1,36,36,36
ce159026-bccd-431a-a0d0-d873ccfb859b,2025-01-06,2,35.5,35,36
ce159026-bccd-431a-a0d0-d873ccfb859b,2025-01-13,1,39.99,39.99,39.99
ce159026-bccd-431a-a0d0-d873ccfb859b,2025-02-10,3,39.99,32,53.31
ce159026-bccd-431a-a0d0-d873ccfb859b,2025-02-17,3,39,38.65,45
ce159026-bccd-431a-a0d0-d873ccfb859b,2025-03-03,1,35,35,35
ce159026-bccd-431a-a0d0-d873ccfb859b,2025-03-10,2,33.75,33,34.5
ce159026-bccd-431a-a0d0-d873ccfb859b,2025-03-17,1,31,31,31
ce159026-bccd-431a-a0d0-d873ccfb859b,2025-03-24,1,35.39,35.39,35.39
ce159026-bccd-431a-a0d0-d873ccfb859b,2025-04-07,3,41.99,37,49.95
ce159026-bccd-431a-a0d0-d873ccfb859b,2025-04-28,1,34,34,34
ce159026-bccd-431a-a0d0-d873ccfb859b,2025-05-05,4,36.5,26.4,74.95
ce159026-bccd-431a-a0d0-d873ccfb859b,2025-05-12,1,30,30,30
ce159026-bccd-431a-a0d0-d873ccfb859b,2025-05-19,1,45,45,45
ce159026-bccd-431a-a0d0-d873ccfb859b,2025-06-30,1,49.99,49.99,49.99
ce159026-bccd-431a-a0d0-d873ccfb859b,2025-07-21,1,42.99,42.99,42.99
ce159026-bccd-431a-a0d0-d873ccfb859b,2025-07-28,2,41.5,38,44.99
ce159026-bccd-431a-a0d0-d873ccfb859b,2025-08-04,1,45,45,45
ce159026-bccd-431a-a0d0-d873ccfb859b,2025-08-11,2,47.5,41,54
ce159026-bccd-431a-a0d0-d873ccfb859b,2025-08-18,1,50,50,50
ce159026-bccd-431a-a0d0-d873ccfb859b,2025-08-25,2,48,46,49.99
ce159026-bccd-431a-a0d0-d873ccfb859b,2025-09-01,1,46,46,46
ce159026-bccd-431a-a0d0-d873ccfb859b,2025-09-15,1,52,52,52
ce159026-bccd-431a-a0d0-d873ccfb859b,2025-09-22,1,60,60,60
ce159026-bccd-431a-a0d0-d873ccfb859b,2025-09-29,1,55.21,55.21,55.21
ce159026-bccd-431a-a0d0-d873ccfb859b,2025-10-06,1,43,43,43
ce159026-bccd-431a-a0d0-d873ccfb859b,2025-10-13,3,50,50,52
ce159026-bccd-431a-a0d0-d873ccfb859b,2025-10-27,2,53,52,54
ce159026-bccd-431a-a0d0-d873ccfb859b,2025-11-03,2,50.97,50,51.94
ce159026-bccd-431a-a0d0-d873ccfb859b,2025-11-24,2,49.59,49.2,49.99
ce159026-bccd-431a-a0d0-d873ccfb859b,2025-12-29,1,49,49,49
ce159026-bccd-431a-a0d0-d873ccfb859b,2026-01-05,1,72.47,72.47,72.47
ce159026-bccd-431a-a0d0-d873ccfb859b,2026-01-19,1,70,70,70
ce159026-bccd-431a-a0d0-d873ccfb859b,2026-01-26,2,39,32,46
ce159026-bccd-431a-a0d0-d873ccfb859b,2026-02-16,1,50,50,50
ce159026-bccd-431a-a0d0-d873ccfb859b,2026-03-02,1,85,85,85
ce159026-bccd-431a-a0d0-d873ccfb859b,2026-03-16,3,55,50,68
ce159026-bccd-431a-a0d0-d873ccfb859b,2026-03-30,1,46.8,46.8,46.8
ce159026-bccd-431a-a0d0-d873ccfb859b,2026-04-06,2,52.5,45,60
ce159026-bccd-431a-a0d0-d873ccfb859b,2026-04-20,2,84.5,72,97
ce159026-bccd-431a-a0d0-d873ccfb859b,2026-05-18,1,129.04,129.04,129.04
ce159026-bccd-431a-a0d0-d873ccfb859b,2026-06-08,2,83.94,82.89,84.99
ce159026-bccd-431a-a0d0-d873ccfb859b,2026-06-22,1,159.95,159.95,159.95
ce159026-bccd-431a-a0d0-d873ccfb859b,2026-07-13,1,125,125,125
ce159026-bccd-431a-a0d0-d873ccfb859b,2026-07-20,1,94,94,94
ce159026-bccd-431a-a0d0-d873ccfb859b,2026-08-03,2,92,90,94
ce159026-bccd-431a-a0d0-d873ccfb859b,2026-08-17,2,100.5,91,110
ce159026-bccd-431a-a0d0-d873ccfb859b,2026-08-24,2,101,95,107
ce159026-bccd-431a-a0d0-d873ccfb859b,2026-09-07,1,129,129,129
ce1916ee-b3f7-4351-b48f-ac6ca736d487,2021-07-19,1,72.55,72.55,72.55
ce1916ee-b3f7-4351-b48f-ac6ca736d487,2023-06-26,1,21.6,21.6,21.6
ce1916ee-b3f7-4351-b48f-ac6ca736d487,2023-07-17,1,27.6,27.6,27.6
ce1916ee-b3f7-4351-b48f-ac6ca736d487,2025-06-30,1,92.5,92.5,92.5
ce1916ee-b3f7-4351-b48f-ac6ca736d487,2026-01-26,1,119,119,119
ce1916ee-b3f7-4351-b48f-ac6ca736d487,2026-03-02,1,129,129,129
ce1916ee-b3f7-4351-b48f-ac6ca736d487,2026-03-09,1,139,139,139
ce1916ee-b3f7-4351-b48f-ac6ca736d487,2026-08-03,1,177.51,177.51,177.51
ce197839-85b9-4334-a381-4712af11cbf4,2021-04-26,1,1025,1025,1025
ce197839-85b9-4334-a381-4712af11cbf4,2021-07-26,1,1025,1025,1025
ce197839-85b9-4334-a381-4712af11cbf4,2021-12-13,2,1037.5,1000,1075
ce197839-85b9-4334-a381-4712af11cbf4,2022-10-17,1,1337,1337,1337
ce197839-85b9-4334-a381-4712af11cbf4,2024-05-20,1,1425,1425,1425
ce197839-85b9-4334-a381-4712af11cbf4,2026-01-19,1,5877.5,5877.5,5877.5
ce197839-85b9-4334-a381-4712af11cbf4,2026-07-20,1,12000,12000,12000
ce197839-85b9-4334-a381-4712af11cbf4,2026-08-03,1,11048.32,11048.32,11048.32
ce1990fc-69bb-4f1b-810c-cdb2e3391901,2023-11-27,1,70,70,70
ce1ae77c-e2dc-415b-837b-48544b8f7b19,2023-11-13,1,13.08,13.08,13.08
ce1ae77c-e2dc-415b-837b-48544b8f7b19,2024-04-22,1,72.51,72.51,72.51
ce1ae77c-e2dc-415b-837b-48544b8f7b19,2024-11-04,1,45,45,45
