asset_id,week_start,n_sales,median_price,low,high
cf003798-c48e-4f48-9708-7b2d72b8f187,2022-06-20,1,36.83,36.83,36.83
cf003798-c48e-4f48-9708-7b2d72b8f187,2023-01-16,1,26.82,26.82,26.82
cf003798-c48e-4f48-9708-7b2d72b8f187,2023-04-17,1,12.72,12.72,12.72
cf003798-c48e-4f48-9708-7b2d72b8f187,2023-07-17,1,17.5,17.5,17.5
cf003798-c48e-4f48-9708-7b2d72b8f187,2024-02-05,1,18.53,18.53,18.53
cf003798-c48e-4f48-9708-7b2d72b8f187,2024-03-25,1,37,37,37
cf003798-c48e-4f48-9708-7b2d72b8f187,2024-07-29,1,29.5,29.5,29.5
cf003798-c48e-4f48-9708-7b2d72b8f187,2024-08-26,1,49.99,49.99,49.99
cf003798-c48e-4f48-9708-7b2d72b8f187,2025-05-12,1,45,45,45
cf006b54-93db-45e8-967b-d842564a24df,2026-03-09,2,75.5,70,81
cf006b54-93db-45e8-967b-d842564a24df,2026-04-06,5,79.99,74.87,109.99
cf006b54-93db-45e8-967b-d842564a24df,2026-04-13,1,76.99,76.99,76.99
cf006b54-93db-45e8-967b-d842564a24df,2026-04-20,3,75,43.9,199.99
cf006b54-93db-45e8-967b-d842564a24df,2026-04-27,2,94.75,82,107.5
cf006b54-93db-45e8-967b-d842564a24df,2026-05-04,3,71.25,70,100
cf006b54-93db-45e8-967b-d842564a24df,2026-05-11,2,57.5,37,78
cf006b54-93db-45e8-967b-d842564a24df,2026-05-18,2,110,80,140
cf006b54-93db-45e8-967b-d842564a24df,2026-05-25,1,174,174,174
cf006b54-93db-45e8-967b-d842564a24df,2026-06-01,1,41.11,41.11,41.11
cf006b54-93db-45e8-967b-d842564a24df,2026-06-08,1,110,110,110
cf006b54-93db-45e8-967b-d842564a24df,2026-06-15,1,90.1,90.1,90.1
cf006b54-93db-45e8-967b-d842564a24df,2026-07-06,1,85,85,85
cf006b54-93db-45e8-967b-d842564a24df,2026-07-13,1,49.99,49.99,49.99
cf006b54-93db-45e8-967b-d842564a24df,2026-07-20,4,75.5,70,113
cf006b54-93db-45e8-967b-d842564a24df,2026-08-24,2,68.5,65,72
cf006b54-93db-45e8-967b-d842564a24df,2026-08-31,1,51.6,51.6,51.6
cf006b54-93db-45e8-967b-d842564a24df,2026-09-07,4,77.5,45,120
cf006b54-93db-45e8-967b-d842564a24df,2026-09-14,1,50,50,50
cf006b54-93db-45e8-967b-d842564a24df,2026-09-21,2,65.59,61.2,69.99
cf0264cd-23c9-445d-9586-73533cf9eae9,2023-12-18,1,12.5,12.5,12.5
cf0974ee-b551-4878-8e41-d8782180d259,2025-04-07,1,10.5,10.5,10.5
cf0974ee-b551-4878-8e41-d8782180d259,2025-10-06,1,25,25,25
cf0974ee-b551-4878-8e41-d8782180d259,2026-05-04,1,37.95,37.95,37.95
cf0974ee-b551-4878-8e41-d8782180d259,2026-08-03,1,17.5,17.5,17.5
cf0b2dd3-1580-4519-abd1-5f7048be7ea8,2024-08-12,1,31,31,31
cf0b2dd3-1580-4519-abd1-5f7048be7ea8,2025-04-07,1,27.5,27.5,27.5
