asset_id,week_start,n_sales,median_price,low,high
d10699b6-02e1-4614-97a7-89f5da40a934,2021-10-04,1,15.56,15.56,15.56
d10699b6-02e1-4614-97a7-89f5da40a934,2022-09-12,1,29.99,29.99,29.99
d10699b6-02e1-4614-97a7-89f5da40a934,2022-12-26,1,49.99,49.99,49.99
d10699b6-02e1-4614-97a7-89f5da40a934,2023-04-10,1,25,25,25
d10699b6-02e1-4614-97a7-89f5da40a934,2023-06-05,1,38.67,38.67,38.67
d10699b6-02e1-4614-97a7-89f5da40a934,2023-09-25,1,24.99,24.99,24.99
d10699b6-02e1-4614-97a7-89f5da40a934,2024-12-16,1,69.53,69.53,69.53
d10699b6-02e1-4614-97a7-89f5da40a934,2024-12-23,1,40,40,40
d10699b6-02e1-4614-97a7-89f5da40a934,2025-03-03,1,39,39,39
d10699b6-02e1-4614-97a7-89f5da40a934,2025-08-25,1,44.99,44.99,44.99
d10699b6-02e1-4614-97a7-89f5da40a934,2026-04-27,1,41,41,41
d10b8081-749b-446d-b8da-848e0a0850b9,2021-07-26,1,142.49,142.49,142.49
d10b8081-749b-446d-b8da-848e0a0850b9,2021-10-04,1,198.5,198.5,198.5
d10b8081-749b-446d-b8da-848e0a0850b9,2021-10-18,1,201.5,201.5,201.5
d10b8081-749b-446d-b8da-848e0a0850b9,2021-10-25,1,112.71,112.71,112.71
d10b8081-749b-446d-b8da-848e0a0850b9,2022-01-10,1,127.5,127.5,127.5
d10b8081-749b-446d-b8da-848e0a0850b9,2022-03-07,1,203.93,203.93,203.93
d10b8081-749b-446d-b8da-848e0a0850b9,2022-04-18,2,102.27,91,113.53
d10b8081-749b-446d-b8da-848e0a0850b9,2022-04-25,1,149.99,149.99,149.99
d10b8081-749b-446d-b8da-848e0a0850b9,2022-07-04,1,102.5,102.5,102.5
d10b8081-749b-446d-b8da-848e0a0850b9,2022-10-03,1,67,67,67
d10b8081-749b-446d-b8da-848e0a0850b9,2023-03-13,1,225,225,225
d10b8081-749b-446d-b8da-848e0a0850b9,2023-05-29,1,50,50,50
d10b8081-749b-446d-b8da-848e0a0850b9,2023-07-03,1,61.03,61.03,61.03
d10b8081-749b-446d-b8da-848e0a0850b9,2023-09-04,1,129.53,129.53,129.53
d10b8081-749b-446d-b8da-848e0a0850b9,2024-02-12,1,242,242,242
d10b8081-749b-446d-b8da-848e0a0850b9,2024-03-18,1,425,425,425
d10b8081-749b-446d-b8da-848e0a0850b9,2024-10-07,1,150,150,150
d10b8081-749b-446d-b8da-848e0a0850b9,2025-01-20,2,252.93,145.86,360
d10b8081-749b-446d-b8da-848e0a0850b9,2025-03-10,1,125,125,125
d10b8081-749b-446d-b8da-848e0a0850b9,2025-04-07,1,499.99,499.99,499.99
d10b8081-749b-446d-b8da-848e0a0850b9,2025-04-28,1,103.2,103.2,103.2
d10b8081-749b-446d-b8da-848e0a0850b9,2025-06-02,1,425,425,425
d10b8081-749b-446d-b8da-848e0a0850b9,2025-08-11,1,93.6,93.6,93.6
d10b8081-749b-446d-b8da-848e0a0850b9,2026-03-23,1,250,250,250
d10b8081-749b-446d-b8da-848e0a0850b9,2026-06-01,1,450,450,450
d10b8081-749b-446d-b8da-848e0a0850b9,2026-07-06,1,264,264,264
d10b8623-9b26-4725-b993-dcdbd64f67c9,2026-06-29,1,255,255,255
d10bfdfb-c208-4280-a8a3-322ce12b5004,2021-05-17,1,46,46,46
d10bfdfb-c208-4280-a8a3-322ce12b5004,2021-09-06,1,55,55,55
d10bfdfb-c208-4280-a8a3-322ce12b5004,2021-11-08,1,30.02,30.02,30.02
d10bfdfb-c208-4280-a8a3-322ce12b5004,2021-11-15,1,3.5,3.5,3.5
d10bfdfb-c208-4280-a8a3-322ce12b5004,2021-11-22,1,31,31,31
d10bfdfb-c208-4280-a8a3-322ce12b5004,2021-12-06,1,31,31,31
d10bfdfb-c208-4280-a8a3-322ce12b5004,2022-01-24,1,24,24,24
d10bfdfb-c208-4280-a8a3-322ce12b5004,2022-02-14,1,21.5,21.5,21.5
d10bfdfb-c208-4280-a8a3-322ce12b5004,2022-02-21,1,18.85,18.85,18.85
d10bfdfb-c208-4280-a8a3-322ce12b5004,2022-03-14,1,20.5,20.5,20.5
