asset_id,week_start,n_sales,median_price,low,high
db006ab9-e74e-4b57-9b7f-b358f9f0fe91,2021-06-28,1,220.5,220.5,220.5
db006ab9-e74e-4b57-9b7f-b358f9f0fe91,2023-08-21,1,133.38,133.38,133.38
db006ab9-e74e-4b57-9b7f-b358f9f0fe91,2023-11-20,1,164.19,164.19,164.19
db006ab9-e74e-4b57-9b7f-b358f9f0fe91,2024-11-18,1,560,560,560
db006ab9-e74e-4b57-9b7f-b358f9f0fe91,2025-04-14,1,553.21,553.21,553.21
db006ab9-e74e-4b57-9b7f-b358f9f0fe91,2025-04-28,1,405,405,405
db006ab9-e74e-4b57-9b7f-b358f9f0fe91,2025-05-26,1,560,560,560
db00eea4-3dcf-4908-a0f1-461d947ad8c5,2023-03-13,1,112.8,112.8,112.8
db00eea4-3dcf-4908-a0f1-461d947ad8c5,2024-08-19,1,92,92,92
db00eea4-3dcf-4908-a0f1-461d947ad8c5,2024-09-09,1,100,100,100
db00eea4-3dcf-4908-a0f1-461d947ad8c5,2025-07-21,1,299.99,299.99,299.99
db019605-4551-4e5f-af8a-1791db90d8e1,2026-09-14,1,139.5,139.5,139.5
db054de2-df4a-40ff-83ea-250ef23f2ee6,2025-12-29,1,24.99,24.99,24.99
db0589d5-2a3d-4401-84e1-3dac944bc418,2026-07-20,1,61,61,61
db09dde9-74b5-4b9b-8342-a522adbe609a,2023-10-02,1,1499.99,1499.99,1499.99
db09dde9-74b5-4b9b-8342-a522adbe609a,2023-10-09,9,650,550.99,820
db09dde9-74b5-4b9b-8342-a522adbe609a,2023-10-16,11,620,360,910
db09dde9-74b5-4b9b-8342-a522adbe609a,2023-10-23,14,610.35,500,700
db09dde9-74b5-4b9b-8342-a522adbe609a,2023-10-30,11,555,545,585
db09dde9-74b5-4b9b-8342-a522adbe609a,2023-11-06,23,540,472.37,665
db09dde9-74b5-4b9b-8342-a522adbe609a,2023-11-13,32,496,400,550
db09dde9-74b5-4b9b-8342-a522adbe609a,2023-11-20,18,505,440,1000
db09dde9-74b5-4b9b-8342-a522adbe609a,2023-11-27,14,500,475,555
db09dde9-74b5-4b9b-8342-a522adbe609a,2023-12-04,19,489.99,419,550
db09dde9-74b5-4b9b-8342-a522adbe609a,2023-12-11,21,450,385,519.99
db09dde9-74b5-4b9b-8342-a522adbe609a,2023-12-18,25,410,355,535
db09dde9-74b5-4b9b-8342-a522adbe609a,2023-12-25,33,400.75,375,470
db09dde9-74b5-4b9b-8342-a522adbe609a,2024-01-01,31,399.95,350,465.29
db09dde9-74b5-4b9b-8342-a522adbe609a,2024-01-08,27,381,345,479
db09dde9-74b5-4b9b-8342-a522adbe609a,2024-01-15,37,400,355,455
db09dde9-74b5-4b9b-8342-a522adbe609a,2024-01-22,21,400,340,489.38
db09dde9-74b5-4b9b-8342-a522adbe609a,2024-01-29,33,385,309.04,436
db09dde9-74b5-4b9b-8342-a522adbe609a,2024-02-05,24,360,330,406.25
db09dde9-74b5-4b9b-8342-a522adbe609a,2024-02-12,37,345,255,450
db09dde9-74b5-4b9b-8342-a522adbe609a,2024-02-19,40,325,300,400
db09dde9-74b5-4b9b-8342-a522adbe609a,2024-02-26,28,320,260,375
db09dde9-74b5-4b9b-8342-a522adbe609a,2024-03-04,34,320,266.39,419.95
db09dde9-74b5-4b9b-8342-a522adbe609a,2024-03-11,37,315,250.5,385
db09dde9-74b5-4b9b-8342-a522adbe609a,2024-03-18,49,310,249.99,375
db09dde9-74b5-4b9b-8342-a522adbe609a,2024-03-25,30,299.5,249.99,328.58
db09dde9-74b5-4b9b-8342-a522adbe609a,2024-04-01,27,305,249.99,334.26
db09dde9-74b5-4b9b-8342-a522adbe609a,2024-04-08,33,317,270,498.23
db09dde9-74b5-4b9b-8342-a522adbe609a,2024-04-15,24,300,270,360
