asset_id,week_start,n_sales,median_price,low,high
dc018cce-3c6e-4110-8fe0-1dd799cfb587,2021-06-07,1,224.88,224.88,224.88
dc018cce-3c6e-4110-8fe0-1dd799cfb587,2021-11-22,1,31.69,31.69,31.69
dc018cce-3c6e-4110-8fe0-1dd799cfb587,2022-11-14,1,35,35,35
dc018cce-3c6e-4110-8fe0-1dd799cfb587,2023-04-24,1,24.5,24.5,24.5
dc018cce-3c6e-4110-8fe0-1dd799cfb587,2023-10-09,1,69.98,69.98,69.98
dc018cce-3c6e-4110-8fe0-1dd799cfb587,2024-12-16,1,76.13,76.13,76.13
dc018cce-3c6e-4110-8fe0-1dd799cfb587,2026-03-09,1,399,399,399
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2021-03-08,1,393,393,393
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2021-03-22,2,680.5,601,760
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2021-03-29,1,516,516,516
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2021-04-05,1,550,550,550
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2021-04-12,1,415,415,415
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2021-05-24,1,454.99,454.99,454.99
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2021-06-14,1,475,475,475
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2021-06-21,1,510,510,510
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2021-07-26,1,525,525,525
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2021-08-09,2,463.01,448.51,477.51
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2021-09-13,1,549.99,549.99,549.99
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2021-10-25,1,550,550,550
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2021-11-15,1,506.25,506.25,506.25
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2021-11-22,1,626.04,626.04,626.04
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2021-11-29,1,549.99,549.99,549.99
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2021-12-06,2,423.28,410.3,436.26
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2021-12-13,1,510,510,510
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2021-12-27,1,410,410,410
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2022-01-03,1,550,550,550
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2022-01-17,1,425,425,425
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2022-01-31,1,472.34,472.34,472.34
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2022-02-07,2,570.72,550,591.44
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2022-02-21,1,375.69,375.69,375.69
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2022-02-28,1,300,300,300
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2022-03-21,4,375,338.12,450
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2022-03-28,1,412,412,412
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2022-04-04,1,425,425,425
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2022-04-25,2,449.34,427,471.67
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2022-05-09,1,360,360,360
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2022-05-16,1,330,330,330
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2022-05-30,2,350,335,365
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2022-06-06,2,445,420,470
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2022-06-13,1,306,306,306
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2022-06-27,3,340,330,411
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2022-07-04,1,336,336,336
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2022-07-11,2,406.35,392.7,420
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2022-07-18,1,305,305,305
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2022-08-15,2,335.13,283.27,387
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2022-08-22,1,375,375,375
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2022-09-12,1,459.63,459.63,459.63
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2022-09-26,2,340.5,336,345
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2022-11-28,1,329,329,329
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2022-12-05,1,360,360,360
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2022-12-12,1,332.75,332.75,332.75
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2023-01-02,4,332,319.64,340
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2023-01-09,2,347.69,340,355.37
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2023-01-23,3,314.99,257.31,320
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2023-02-13,1,499.99,499.99,499.99
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2023-02-20,1,300,300,300
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2023-03-06,1,340,340,340
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2023-03-13,1,448,448,448
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2023-03-20,1,315,315,315
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2023-03-27,1,366,366,366
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2023-04-03,2,317.5,310,325
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2023-04-10,1,299.95,299.95,299.95
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2023-04-17,1,308,308,308
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2023-05-01,2,315.53,293.56,337.5
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2023-05-22,1,300.99,300.99,300.99
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2023-06-12,1,273,273,273
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2023-06-26,2,412.56,360,465.13
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2023-07-03,1,344.99,344.99,344.99
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2023-07-24,1,411.89,411.89,411.89
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2023-07-31,2,409.64,374.95,444.33
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2023-08-07,1,270,270,270
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2023-08-28,1,354.99,354.99,354.99
dc05be1a-e58b-4699-aeaf-00d3e8a6a6c4,2023-10-02,2,337.5,310,365
