asset_id,week_start,n_sales,median_price,low,high
dd008441-0df9-46ac-a339-6dc7e43657a5,2025-04-07,1,100,100,100
dd00cb2e-f481-4ba5-b91a-314f4ebe276d,2021-09-27,1,31.89,31.89,31.89
dd00cb2e-f481-4ba5-b91a-314f4ebe276d,2022-08-22,1,20.4,20.4,20.4
dd00cb2e-f481-4ba5-b91a-314f4ebe276d,2023-01-16,1,60,60,60
dd00cb2e-f481-4ba5-b91a-314f4ebe276d,2024-03-25,1,37,37,37
dd00cb2e-f481-4ba5-b91a-314f4ebe276d,2024-06-17,1,65,65,65
dd00cb2e-f481-4ba5-b91a-314f4ebe276d,2024-08-05,1,26,26,26
dd00cb2e-f481-4ba5-b91a-314f4ebe276d,2026-07-06,1,1999,1999,1999
dd04721f-fc98-4666-92a9-109fc270344d,2025-08-11,1,33.33,33.33,33.33
dd04721f-fc98-4666-92a9-109fc270344d,2026-02-02,1,20.5,20.5,20.5
dd048a06-1688-4101-a14b-c7dee239859e,2022-06-27,1,20,20,20
dd06d969-2a39-496e-b928-6d53a33f80ea,2023-04-24,1,123.3,123.3,123.3
dd06d969-2a39-496e-b928-6d53a33f80ea,2023-09-04,1,53.99,53.99,53.99
dd06d969-2a39-496e-b928-6d53a33f80ea,2023-10-02,1,27.69,27.69,27.69
dd06d969-2a39-496e-b928-6d53a33f80ea,2024-11-25,1,26.4,26.4,26.4
dd06d969-2a39-496e-b928-6d53a33f80ea,2026-02-23,1,89.99,89.99,89.99
dd078e30-7d20-4fbe-897c-361df1e66dd5,2022-12-12,1,25,25,25
dd078e30-7d20-4fbe-897c-361df1e66dd5,2022-12-19,1,39.99,39.99,39.99
dd078e30-7d20-4fbe-897c-361df1e66dd5,2023-01-02,1,32.88,32.88,32.88
dd078e30-7d20-4fbe-897c-361df1e66dd5,2023-02-27,1,40,40,40
dd078e30-7d20-4fbe-897c-361df1e66dd5,2023-12-18,1,18.51,18.51,18.51
dd078e30-7d20-4fbe-897c-361df1e66dd5,2024-06-17,1,27.99,27.99,27.99
dd078e30-7d20-4fbe-897c-361df1e66dd5,2024-07-01,1,23,23,23
dd078e30-7d20-4fbe-897c-361df1e66dd5,2024-08-19,1,20.5,20.5,20.5
dd078e30-7d20-4fbe-897c-361df1e66dd5,2024-08-26,1,15.5,15.5,15.5
dd078e30-7d20-4fbe-897c-361df1e66dd5,2025-02-03,1,15.5,15.5,15.5
dd078e30-7d20-4fbe-897c-361df1e66dd5,2025-02-17,1,30,30,30
dd078e30-7d20-4fbe-897c-361df1e66dd5,2025-03-17,1,31,31,31
dd078e30-7d20-4fbe-897c-361df1e66dd5,2025-05-26,1,24.49,24.49,24.49
dd078e30-7d20-4fbe-897c-361df1e66dd5,2025-06-30,1,16.5,16.5,16.5
dd078e30-7d20-4fbe-897c-361df1e66dd5,2025-07-21,1,38.88,38.88,38.88
dd078e30-7d20-4fbe-897c-361df1e66dd5,2025-09-01,1,31,31,31
dd078e30-7d20-4fbe-897c-361df1e66dd5,2025-09-22,1,34.99,34.99,34.99
dd078e30-7d20-4fbe-897c-361df1e66dd5,2025-10-06,1,44.99,44.99,44.99
dd078e30-7d20-4fbe-897c-361df1e66dd5,2025-11-10,2,37.2,33.6,40.8
dd078e30-7d20-4fbe-897c-361df1e66dd5,2026-01-12,1,50,50,50
dd078e30-7d20-4fbe-897c-361df1e66dd5,2026-03-02,2,41.5,38,45
dd078e30-7d20-4fbe-897c-361df1e66dd5,2026-04-06,1,35,35,35
dd078e30-7d20-4fbe-897c-361df1e66dd5,2026-04-13,1,31,31,31
dd078e30-7d20-4fbe-897c-361df1e66dd5,2026-05-11,1,42,42,42
dd078e30-7d20-4fbe-897c-361df1e66dd5,2026-06-01,2,27.09,18.17,36
dd078e30-7d20-4fbe-897c-361df1e66dd5,2026-06-15,1,38,38,38
dd078e30-7d20-4fbe-897c-361df1e66dd5,2026-06-22,2,47.5,45,50
dd078e30-7d20-4fbe-897c-361df1e66dd5,2026-06-29,3,34,33,41
dd078e30-7d20-4fbe-897c-361df1e66dd5,2026-07-06,1,31,31,31
dd078e30-7d20-4fbe-897c-361df1e66dd5,2026-07-20,1,50,50,50
dd078e30-7d20-4fbe-897c-361df1e66dd5,2026-08-03,1,78,78,78
dd078e30-7d20-4fbe-897c-361df1e66dd5,2026-08-31,1,28,28,28
dd0a57d4-f6a0-4c0c-a06b-ae25e273aa29,2021-02-15,1,100,100,100
dd0a57d4-f6a0-4c0c-a06b-ae25e273aa29,2021-04-26,1,150,150,150
dd0a57d4-f6a0-4c0c-a06b-ae25e273aa29,2021-12-06,1,110,110,110
dd0a57d4-f6a0-4c0c-a06b-ae25e273aa29,2022-01-17,1,52.86,52.86,52.86
dd0a57d4-f6a0-4c0c-a06b-ae25e273aa29,2022-01-24,1,110,110,110
dd0a57d4-f6a0-4c0c-a06b-ae25e273aa29,2022-02-21,1,115,115,115
dd0a57d4-f6a0-4c0c-a06b-ae25e273aa29,2022-03-14,1,78,78,78
dd0a57d4-f6a0-4c0c-a06b-ae25e273aa29,2022-04-04,1,77.79,77.79,77.79
dd0a57d4-f6a0-4c0c-a06b-ae25e273aa29,2022-07-18,1,70,70,70
dd0a57d4-f6a0-4c0c-a06b-ae25e273aa29,2022-08-15,1,42,42,42
dd0a57d4-f6a0-4c0c-a06b-ae25e273aa29,2023-02-20,1,79.99,79.99,79.99
dd0a57d4-f6a0-4c0c-a06b-ae25e273aa29,2023-03-27,1,99.99,99.99,99.99
dd0a57d4-f6a0-4c0c-a06b-ae25e273aa29,2023-04-24,1,111.11,111.11,111.11
dd0a57d4-f6a0-4c0c-a06b-ae25e273aa29,2023-11-06,1,74.99,74.99,74.99
dd0a57d4-f6a0-4c0c-a06b-ae25e273aa29,2023-12-11,1,50,50,50
dd0a57d4-f6a0-4c0c-a06b-ae25e273aa29,2024-01-08,1,69.9,69.9,69.9
dd0a57d4-f6a0-4c0c-a06b-ae25e273aa29,2025-06-09,1,149.99,149.99,149.99
dd0a57d4-f6a0-4c0c-a06b-ae25e273aa29,2025-10-06,1,175,175,175
dd0a57d4-f6a0-4c0c-a06b-ae25e273aa29,2026-02-16,1,260,260,260
dd0a57d4-f6a0-4c0c-a06b-ae25e273aa29,2026-03-16,1,225.37,225.37,225.37
dd0a57d4-f6a0-4c0c-a06b-ae25e273aa29,2026-04-27,1,299,299,299
dd0a57d4-f6a0-4c0c-a06b-ae25e273aa29,2026-06-22,1,286.8,286.8,286.8
dd0a57d4-f6a0-4c0c-a06b-ae25e273aa29,2026-08-03,1,267.75,267.75,267.75
dd0a57d4-f6a0-4c0c-a06b-ae25e273aa29,2026-08-31,1,276,276,276
dd0b7431-af27-48af-974a-6e74ce0e908b,2021-06-14,1,175,175,175
dd0b7431-af27-48af-974a-6e74ce0e908b,2021-08-16,1,205.5,205.5,205.5
dd0b7431-af27-48af-974a-6e74ce0e908b,2021-09-06,1,102.5,102.5,102.5
dd0b7431-af27-48af-974a-6e74ce0e908b,2021-10-11,3,88.93,34.8,96.32
dd0b7431-af27-48af-974a-6e74ce0e908b,2021-12-06,1,102.67,102.67,102.67
dd0b7431-af27-48af-974a-6e74ce0e908b,2021-12-20,1,46,46,46
dd0b7431-af27-48af-974a-6e74ce0e908b,2022-01-17,1,91.44,91.44,91.44
dd0b7431-af27-48af-974a-6e74ce0e908b,2022-01-24,1,59,59,59
dd0b7431-af27-48af-974a-6e74ce0e908b,2022-03-07,1,29.51,29.51,29.51
dd0b7431-af27-48af-974a-6e74ce0e908b,2022-03-28,1,106.05,106.05,106.05
dd0b7431-af27-48af-974a-6e74ce0e908b,2022-04-11,1,36,36,36
dd0b7431-af27-48af-974a-6e74ce0e908b,2022-04-25,1,74.5,74.5,74.5
dd0b7431-af27-48af-974a-6e74ce0e908b,2022-06-27,2,33.25,32.5,34
dd0b7431-af27-48af-974a-6e74ce0e908b,2022-07-04,1,32.99,32.99,32.99
dd0b7431-af27-48af-974a-6e74ce0e908b,2022-07-11,2,20,15.5,24.5
dd0b7431-af27-48af-974a-6e74ce0e908b,2022-07-18,5,26,21.5,49.99
dd0b7431-af27-48af-974a-6e74ce0e908b,2022-08-01,2,34.5,31,38
dd0b7431-af27-48af-974a-6e74ce0e908b,2022-08-08,2,34.5,34,35
