asset_id,week_start,n_sales,median_price,low,high
de026321-a853-4e2d-9a51-790132fd1fb0,2023-10-16,1,9900,9900,9900
de026321-a853-4e2d-9a51-790132fd1fb0,2024-04-29,1,9300,9300,9300
de026321-a853-4e2d-9a51-790132fd1fb0,2024-06-03,1,9600,9600,9600
de026321-a853-4e2d-9a51-790132fd1fb0,2024-06-24,1,7500,7500,7500
de026321-a853-4e2d-9a51-790132fd1fb0,2024-08-19,1,7500,7500,7500
de026321-a853-4e2d-9a51-790132fd1fb0,2024-08-26,1,7800,7800,7800
de026321-a853-4e2d-9a51-790132fd1fb0,2024-09-09,1,7140,7140,7140
de026321-a853-4e2d-9a51-790132fd1fb0,2024-09-30,1,6100,6100,6100
de026321-a853-4e2d-9a51-790132fd1fb0,2025-05-05,1,6185,6185,6185
de026321-a853-4e2d-9a51-790132fd1fb0,2025-07-28,1,8204.5,8204.5,8204.5
de040988-aa25-46d0-ab8b-d573cbefe619,2022-11-28,1,56,56,56
de040988-aa25-46d0-ab8b-d573cbefe619,2022-12-19,1,23.5,23.5,23.5
de040988-aa25-46d0-ab8b-d573cbefe619,2023-01-16,1,26,26,26
de040988-aa25-46d0-ab8b-d573cbefe619,2023-02-27,1,13.5,13.5,13.5
de040988-aa25-46d0-ab8b-d573cbefe619,2023-05-15,1,33,33,33
de040988-aa25-46d0-ab8b-d573cbefe619,2023-08-07,1,31,31,31
de040988-aa25-46d0-ab8b-d573cbefe619,2023-09-18,1,26,26,26
de040988-aa25-46d0-ab8b-d573cbefe619,2023-12-11,1,26.75,26.75,26.75
de040988-aa25-46d0-ab8b-d573cbefe619,2024-01-01,1,16,16,16
de040988-aa25-46d0-ab8b-d573cbefe619,2024-09-09,1,35,35,35
de040988-aa25-46d0-ab8b-d573cbefe619,2024-11-18,1,29,29,29
de040988-aa25-46d0-ab8b-d573cbefe619,2024-12-16,1,19,19,19
de040988-aa25-46d0-ab8b-d573cbefe619,2024-12-30,1,22.28,22.28,22.28
de040988-aa25-46d0-ab8b-d573cbefe619,2025-02-17,1,20,20,20
de040988-aa25-46d0-ab8b-d573cbefe619,2025-02-24,1,35,35,35
de040988-aa25-46d0-ab8b-d573cbefe619,2025-06-02,1,21.5,21.5,21.5
de040988-aa25-46d0-ab8b-d573cbefe619,2025-07-28,1,37,37,37
de040988-aa25-46d0-ab8b-d573cbefe619,2025-08-18,1,42,42,42
de040988-aa25-46d0-ab8b-d573cbefe619,2025-09-08,1,46.77,46.77,46.77
de040988-aa25-46d0-ab8b-d573cbefe619,2025-09-15,1,48,48,48
de040988-aa25-46d0-ab8b-d573cbefe619,2025-09-22,1,31.88,31.88,31.88
de040988-aa25-46d0-ab8b-d573cbefe619,2026-03-02,1,38,38,38
de040988-aa25-46d0-ab8b-d573cbefe619,2026-03-23,1,33.6,33.6,33.6
de040988-aa25-46d0-ab8b-d573cbefe619,2026-04-06,1,32.4,32.4,32.4
de040988-aa25-46d0-ab8b-d573cbefe619,2026-04-27,1,99,99,99
de040988-aa25-46d0-ab8b-d573cbefe619,2026-06-15,1,76,76,76
de040988-aa25-46d0-ab8b-d573cbefe619,2026-07-20,1,36,36,36
de043ddf-be13-46e7-8ab2-d247523d41ba,2023-05-29,1,200,200,200
de0892ab-fc9d-43af-9962-d78c3ea4e356,2024-09-16,1,300,300,300
de0892ab-fc9d-43af-9962-d78c3ea4e356,2024-10-28,1,282,282,282
de0892ab-fc9d-43af-9962-d78c3ea4e356,2025-01-27,1,305,305,305
de0892ab-fc9d-43af-9962-d78c3ea4e356,2025-06-23,1,630,630,630
de0892ab-fc9d-43af-9962-d78c3ea4e356,2025-10-27,1,630,630,630
de0892ab-fc9d-43af-9962-d78c3ea4e356,2025-11-10,1,800,800,800
de0892ab-fc9d-43af-9962-d78c3ea4e356,2026-04-20,1,1750,1750,1750
de0892ab-fc9d-43af-9962-d78c3ea4e356,2026-07-13,1,2100,2100,2100
de0892ab-fc9d-43af-9962-d78c3ea4e356,2026-07-27,1,1890,1890,1890
de08ed80-d691-438f-bc39-cbd6f763f7b5,2023-03-20,1,800,800,800
de092e21-1f9b-449c-b338-89511a1d49f7,2021-03-08,1,860,860,860
de092e21-1f9b-449c-b338-89511a1d49f7,2021-03-22,1,915,915,915
de092e21-1f9b-449c-b338-89511a1d49f7,2021-03-29,1,1999,1999,1999
de092e21-1f9b-449c-b338-89511a1d49f7,2021-04-05,1,1900,1900,1900
de092e21-1f9b-449c-b338-89511a1d49f7,2021-04-12,2,975,950,999.99
de092e21-1f9b-449c-b338-89511a1d49f7,2021-04-19,1,980,980,980
de092e21-1f9b-449c-b338-89511a1d49f7,2021-04-26,2,865,750,980
de092e21-1f9b-449c-b338-89511a1d49f7,2021-05-03,1,975,975,975
de092e21-1f9b-449c-b338-89511a1d49f7,2021-05-10,2,900,800,1000
de092e21-1f9b-449c-b338-89511a1d49f7,2021-05-17,1,825,825,825
de092e21-1f9b-449c-b338-89511a1d49f7,2021-05-24,1,864,864,864
de092e21-1f9b-449c-b338-89511a1d49f7,2021-05-31,1,950,950,950
de092e21-1f9b-449c-b338-89511a1d49f7,2021-06-07,3,700,700,740
de092e21-1f9b-449c-b338-89511a1d49f7,2021-06-14,2,755,660,850
de092e21-1f9b-449c-b338-89511a1d49f7,2021-06-21,1,683.5,683.5,683.5
de092e21-1f9b-449c-b338-89511a1d49f7,2021-06-28,2,722.5,695,750
de092e21-1f9b-449c-b338-89511a1d49f7,2021-07-12,1,740,740,740
de092e21-1f9b-449c-b338-89511a1d49f7,2021-08-02,1,949.99,949.99,949.99
de092e21-1f9b-449c-b338-89511a1d49f7,2021-08-16,4,810,700,900
de092e21-1f9b-449c-b338-89511a1d49f7,2021-08-23,1,875,875,875
de092e21-1f9b-449c-b338-89511a1d49f7,2021-08-30,2,880.27,825,935.55
de092e21-1f9b-449c-b338-89511a1d49f7,2021-09-06,2,825,700,950
de092e21-1f9b-449c-b338-89511a1d49f7,2021-09-20,1,688.2,688.2,688.2
de092e21-1f9b-449c-b338-89511a1d49f7,2021-09-27,2,730,699.99,760
de092e21-1f9b-449c-b338-89511a1d49f7,2021-10-04,1,849.99,849.99,849.99
de092e21-1f9b-449c-b338-89511a1d49f7,2021-10-11,2,668.5,662,674.99
de092e21-1f9b-449c-b338-89511a1d49f7,2021-10-25,1,650,650,650
de092e21-1f9b-449c-b338-89511a1d49f7,2021-11-01,2,667.5,660,675
de092e21-1f9b-449c-b338-89511a1d49f7,2021-11-08,2,630,600,660
de092e21-1f9b-449c-b338-89511a1d49f7,2021-11-15,3,800,675,800
de092e21-1f9b-449c-b338-89511a1d49f7,2021-11-22,1,699.99,699.99,699.99
de092e21-1f9b-449c-b338-89511a1d49f7,2021-11-29,1,750,750,750
de092e21-1f9b-449c-b338-89511a1d49f7,2021-12-13,3,575,550,655
de092e21-1f9b-449c-b338-89511a1d49f7,2021-12-27,1,650,650,650
de092e21-1f9b-449c-b338-89511a1d49f7,2022-01-03,1,800,800,800
de092e21-1f9b-449c-b338-89511a1d49f7,2022-01-10,2,728,690,766
de092e21-1f9b-449c-b338-89511a1d49f7,2022-01-17,2,790,780,800
de092e21-1f9b-449c-b338-89511a1d49f7,2022-01-24,3,700,660,782.98
de092e21-1f9b-449c-b338-89511a1d49f7,2022-01-31,2,710,700,720
de092e21-1f9b-449c-b338-89511a1d49f7,2022-02-07,4,676,650,720
de092e21-1f9b-449c-b338-89511a1d49f7,2022-02-14,3,750,600,849
de092e21-1f9b-449c-b338-89511a1d49f7,2022-02-21,2,792,700,884
de092e21-1f9b-449c-b338-89511a1d49f7,2022-02-28,3,755,688.9,785
de092e21-1f9b-449c-b338-89511a1d49f7,2022-03-07,2,697.5,670,725
de092e21-1f9b-449c-b338-89511a1d49f7,2022-03-14,1,750,750,750
de092e21-1f9b-449c-b338-89511a1d49f7,2022-03-21,3,700,700,720
de092e21-1f9b-449c-b338-89511a1d49f7,2022-03-28,3,710,650,749.99
de092e21-1f9b-449c-b338-89511a1d49f7,2022-04-04,4,740,699.99,750
de092e21-1f9b-449c-b338-89511a1d49f7,2022-04-11,2,820,789.99,850
de092e21-1f9b-449c-b338-89511a1d49f7,2022-04-18,1,899.99,899.99,899.99
de092e21-1f9b-449c-b338-89511a1d49f7,2022-04-25,4,890,775,900
de092e21-1f9b-449c-b338-89511a1d49f7,2022-05-02,3,750,717,760
de092e21-1f9b-449c-b338-89511a1d49f7,2022-05-09,7,731.34,670,810
de092e21-1f9b-449c-b338-89511a1d49f7,2022-05-16,1,785,785,785
de092e21-1f9b-449c-b338-89511a1d49f7,2022-05-23,1,899,899,899
de092e21-1f9b-449c-b338-89511a1d49f7,2022-05-30,4,780,504,889.99
de092e21-1f9b-449c-b338-89511a1d49f7,2022-06-06,1,690.64,690.64,690.64
de092e21-1f9b-449c-b338-89511a1d49f7,2022-06-13,2,737.5,675,800
de092e21-1f9b-449c-b338-89511a1d49f7,2022-06-27,1,810,810,810
de092e21-1f9b-449c-b338-89511a1d49f7,2022-07-04,2,867,835,899
de092e21-1f9b-449c-b338-89511a1d49f7,2022-07-11,3,790,750,815
de092e21-1f9b-449c-b338-89511a1d49f7,2022-07-18,2,775,760,790
de092e21-1f9b-449c-b338-89511a1d49f7,2022-07-25,1,819.45,819.45,819.45
de092e21-1f9b-449c-b338-89511a1d49f7,2022-08-01,3,690,686,820
de092e21-1f9b-449c-b338-89511a1d49f7,2022-08-08,2,804.4,700,908.81
de092e21-1f9b-449c-b338-89511a1d49f7,2022-08-15,1,920,920,920
de092e21-1f9b-449c-b338-89511a1d49f7,2022-08-22,3,899,890,910
de092e21-1f9b-449c-b338-89511a1d49f7,2022-08-29,2,928.75,860,997.5
de092e21-1f9b-449c-b338-89511a1d49f7,2022-09-05,1,1075,1075,1075
de092e21-1f9b-449c-b338-89511a1d49f7,2022-09-12,1,1035,1035,1035
de092e21-1f9b-449c-b338-89511a1d49f7,2022-09-19,2,1118,950,1286
de092e21-1f9b-449c-b338-89511a1d49f7,2022-09-26,2,1097,969,1225
de092e21-1f9b-449c-b338-89511a1d49f7,2022-10-03,2,1300,1200,1400
de092e21-1f9b-449c-b338-89511a1d49f7,2022-10-10,1,1395,1395,1395
de092e21-1f9b-449c-b338-89511a1d49f7,2022-10-17,3,1000,800,1075
de092e21-1f9b-449c-b338-89511a1d49f7,2022-10-24,2,1025,1000,1050
de092e21-1f9b-449c-b338-89511a1d49f7,2022-10-31,1,1000,1000,1000
de092e21-1f9b-449c-b338-89511a1d49f7,2022-11-07,2,985,970,1000
de092e21-1f9b-449c-b338-89511a1d49f7,2022-11-14,3,1086,1057,1198.99
de092e21-1f9b-449c-b338-89511a1d49f7,2022-11-21,3,1200,1099,1229.89
de092e21-1f9b-449c-b338-89511a1d49f7,2022-12-05,3,1299,1150,1399.99
de092e21-1f9b-449c-b338-89511a1d49f7,2022-12-12,2,1102.5,1075,1130
de092e21-1f9b-449c-b338-89511a1d49f7,2022-12-19,2,1047.5,1025,1070
de092e21-1f9b-449c-b338-89511a1d49f7,2023-01-02,7,1100,500,1349.99
de092e21-1f9b-449c-b338-89511a1d49f7,2023-01-16,1,1100,1100,1100
de092e21-1f9b-449c-b338-89511a1d49f7,2023-01-23,4,1145.5,1075,1225
de092e21-1f9b-449c-b338-89511a1d49f7,2023-01-30,2,1164.05,1090,1238.1
de092e21-1f9b-449c-b338-89511a1d49f7,2023-02-06,4,1262.5,1136,1349.95
de092e21-1f9b-449c-b338-89511a1d49f7,2023-02-13,4,1187.5,1090,1375
de092e21-1f9b-449c-b338-89511a1d49f7,2023-02-20,4,1374.99,975,1500
de092e21-1f9b-449c-b338-89511a1d49f7,2023-02-27,2,1450,1300,1600
de092e21-1f9b-449c-b338-89511a1d49f7,2023-03-06,1,1000,1000,1000
de092e21-1f9b-449c-b338-89511a1d49f7,2023-03-13,2,1902.5,1880,1925
de092e21-1f9b-449c-b338-89511a1d49f7,2023-03-20,2,1950,1900,2000
de092e21-1f9b-449c-b338-89511a1d49f7,2023-03-27,3,1700,1225,1850
de092e21-1f9b-449c-b338-89511a1d49f7,2023-04-03,3,1750,1700,1899
de092e21-1f9b-449c-b338-89511a1d49f7,2023-04-10,2,1825,1800,1850
de092e21-1f9b-449c-b338-89511a1d49f7,2023-04-17,1,2230.24,2230.24,2230.24
de092e21-1f9b-449c-b338-89511a1d49f7,2023-04-24,4,2075,1995,2175
de092e21-1f9b-449c-b338-89511a1d49f7,2023-05-01,4,2013,1860,2175
de092e21-1f9b-449c-b338-89511a1d49f7,2023-05-08,2,2518,2286,2750
de092e21-1f9b-449c-b338-89511a1d49f7,2023-05-15,5,2550,2250,2700
de092e21-1f9b-449c-b338-89511a1d49f7,2023-05-22,4,2850,2700.61,3111
de092e21-1f9b-449c-b338-89511a1d49f7,2023-05-29,1,2976,2976,2976
de092e21-1f9b-449c-b338-89511a1d49f7,2023-06-05,3,3050,2850,3145.13
