asset_id,week_start,n_sales,median_price,low,high
e400881c-3bfd-4686-a36d-4a237f3c45a0,2023-11-20,1,195,195,195
e400881c-3bfd-4686-a36d-4a237f3c45a0,2023-12-18,1,34,34,34
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-01-08,3,99.99,78,100
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-01-15,1,95,95,95
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-01-22,3,70,60,71
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-01-29,2,53,50,56
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-02-12,2,70,55,84.99
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-02-19,2,60,60,60
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-03-04,1,59,59,59
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-03-11,1,48,48,48
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-03-18,2,60.48,59.95,61
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-03-25,2,52.5,40,65
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-04-08,1,43,43,43
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-04-15,2,55,50,60
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-04-22,1,45.25,45.25,45.25
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-04-29,1,59.98,59.98,59.98
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-05-06,2,43.32,36.65,49.99
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-05-13,1,46,46,46
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-06-10,2,45,30,59.99
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-06-17,1,50,50,50
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-06-24,2,58.5,53,64
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-07-01,2,65.19,58.38,72
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-07-22,1,45,45,45
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-08-05,1,30,30,30
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-08-12,2,38,26,49.99
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-09-09,1,33,33,33
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-09-16,2,52.5,50,55
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-10-21,1,49.99,49.99,49.99
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-10-28,1,55,55,55
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-11-04,1,22.5,22.5,22.5
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-11-18,1,52,52,52
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-11-25,1,55,55,55
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-12-02,2,43,34,52
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-12-09,1,39.61,39.61,39.61
e400881c-3bfd-4686-a36d-4a237f3c45a0,2024-12-30,1,51.99,51.99,51.99
e400881c-3bfd-4686-a36d-4a237f3c45a0,2025-01-13,1,56,56,56
e400881c-3bfd-4686-a36d-4a237f3c45a0,2025-01-20,5,55.55,35.99,69.99
e400881c-3bfd-4686-a36d-4a237f3c45a0,2025-02-03,2,46,40,52
e400881c-3bfd-4686-a36d-4a237f3c45a0,2025-02-10,2,53.08,50.22,55.93
e400881c-3bfd-4686-a36d-4a237f3c45a0,2025-03-10,2,55,49.99,60
e400881c-3bfd-4686-a36d-4a237f3c45a0,2025-03-17,3,56.51,43.2,59.99
e400881c-3bfd-4686-a36d-4a237f3c45a0,2025-03-31,2,52,49,54.99
e400881c-3bfd-4686-a36d-4a237f3c45a0,2025-04-07,2,56,52,59.99
e400881c-3bfd-4686-a36d-4a237f3c45a0,2025-04-21,1,59,59,59
e400881c-3bfd-4686-a36d-4a237f3c45a0,2025-05-05,1,64,64,64
e400881c-3bfd-4686-a36d-4a237f3c45a0,2025-05-12,1,41,41,41
e400881c-3bfd-4686-a36d-4a237f3c45a0,2025-05-19,2,59.99,50,69.99
e400881c-3bfd-4686-a36d-4a237f3c45a0,2025-06-09,1,50,50,50
e400881c-3bfd-4686-a36d-4a237f3c45a0,2025-06-16,1,55,55,55
e400881c-3bfd-4686-a36d-4a237f3c45a0,2025-06-30,2,55.5,41,70
e400881c-3bfd-4686-a36d-4a237f3c45a0,2025-07-21,3,79.97,64,79.99
e400881c-3bfd-4686-a36d-4a237f3c45a0,2025-08-18,1,54.55,54.55,54.55
e400881c-3bfd-4686-a36d-4a237f3c45a0,2025-08-25,2,52,50,54
e400881c-3bfd-4686-a36d-4a237f3c45a0,2025-09-08,1,45,45,45
e400881c-3bfd-4686-a36d-4a237f3c45a0,2025-09-22,1,60,60,60
e400881c-3bfd-4686-a36d-4a237f3c45a0,2025-10-06,1,55,55,55
e400881c-3bfd-4686-a36d-4a237f3c45a0,2025-10-20,1,42.17,42.17,42.17
e400881c-3bfd-4686-a36d-4a237f3c45a0,2025-10-27,1,46,46,46
e400881c-3bfd-4686-a36d-4a237f3c45a0,2025-11-03,1,70,70,70
e400881c-3bfd-4686-a36d-4a237f3c45a0,2025-11-10,2,41,31,51
e400881c-3bfd-4686-a36d-4a237f3c45a0,2025-11-17,1,65,65,65
e400881c-3bfd-4686-a36d-4a237f3c45a0,2025-12-01,1,66.99,66.99,66.99
e400881c-3bfd-4686-a36d-4a237f3c45a0,2025-12-22,1,65,65,65
e400881c-3bfd-4686-a36d-4a237f3c45a0,2025-12-29,1,41,41,41
e400881c-3bfd-4686-a36d-4a237f3c45a0,2026-01-12,1,80.79,80.79,80.79
e400881c-3bfd-4686-a36d-4a237f3c45a0,2026-01-19,1,42,42,42
e400881c-3bfd-4686-a36d-4a237f3c45a0,2026-02-23,1,108.47,108.47,108.47
e400881c-3bfd-4686-a36d-4a237f3c45a0,2026-03-09,1,69.99,69.99,69.99
e400881c-3bfd-4686-a36d-4a237f3c45a0,2026-04-13,1,75.84,75.84,75.84
e400881c-3bfd-4686-a36d-4a237f3c45a0,2026-05-25,1,69.67,69.67,69.67
e400881c-3bfd-4686-a36d-4a237f3c45a0,2026-06-08,1,69.6,69.6,69.6
e400881c-3bfd-4686-a36d-4a237f3c45a0,2026-06-22,2,98.5,87,109.99
e400881c-3bfd-4686-a36d-4a237f3c45a0,2026-06-29,1,105,105,105
e400881c-3bfd-4686-a36d-4a237f3c45a0,2026-07-06,1,62.96,62.96,62.96
e400881c-3bfd-4686-a36d-4a237f3c45a0,2026-07-20,1,80,80,80
e40204f9-d72a-40eb-b0a0-c555dd33b356,2024-07-22,1,59.95,59.95,59.95
e40204f9-d72a-40eb-b0a0-c555dd33b356,2024-11-25,2,10.25,8,12.5
e40204f9-d72a-40eb-b0a0-c555dd33b356,2026-06-22,1,85,85,85
e40204f9-d72a-40eb-b0a0-c555dd33b356,2026-08-17,1,229.95,229.95,229.95
e402a1bb-27b7-4501-bb93-788ce499b7b5,2022-12-26,3,22.52,22.52,31
e402a1bb-27b7-4501-bb93-788ce499b7b5,2023-02-06,1,28,28,28
e402a1bb-27b7-4501-bb93-788ce499b7b5,2023-07-10,2,34.65,25.3,44
e402a1bb-27b7-4501-bb93-788ce499b7b5,2023-09-04,1,17.5,17.5,17.5
e402a1bb-27b7-4501-bb93-788ce499b7b5,2024-04-08,1,32.99,32.99,32.99
e402a1bb-27b7-4501-bb93-788ce499b7b5,2024-04-22,1,20.4,20.4,20.4
e402a1bb-27b7-4501-bb93-788ce499b7b5,2024-05-13,1,33,33,33
e402a1bb-27b7-4501-bb93-788ce499b7b5,2025-05-05,1,25,25,25
e402a1bb-27b7-4501-bb93-788ce499b7b5,2025-06-23,1,26.4,26.4,26.4
e402a1bb-27b7-4501-bb93-788ce499b7b5,2025-08-04,1,27.6,27.6,27.6
e402a1bb-27b7-4501-bb93-788ce499b7b5,2025-10-13,1,38,38,38
e402a1bb-27b7-4501-bb93-788ce499b7b5,2026-05-04,1,55,55,55
e4061b82-472e-4112-bcdb-02b8fd8fce03,2021-05-03,2,77.5,69.99,85
e4061b82-472e-4112-bcdb-02b8fd8fce03,2021-05-24,1,120,120,120
e4061b82-472e-4112-bcdb-02b8fd8fce03,2021-05-31,1,50,50,50
e4061b82-472e-4112-bcdb-02b8fd8fce03,2021-06-14,1,76.99,76.99,76.99
e4061b82-472e-4112-bcdb-02b8fd8fce03,2021-06-21,2,63.05,52,74.1
e4061b82-472e-4112-bcdb-02b8fd8fce03,2021-06-28,1,35,35,35
e4061b82-472e-4112-bcdb-02b8fd8fce03,2021-07-12,2,94.84,39.68,150
e4061b82-472e-4112-bcdb-02b8fd8fce03,2021-07-19,2,52,41,63
e4061b82-472e-4112-bcdb-02b8fd8fce03,2021-07-26,2,61.64,60.29,63
e4061b82-472e-4112-bcdb-02b8fd8fce03,2021-08-02,1,49,49,49
e4061b82-472e-4112-bcdb-02b8fd8fce03,2021-08-09,3,51,36,60
e4061b82-472e-4112-bcdb-02b8fd8fce03,2021-08-16,5,43.2,42,54
e4061b82-472e-4112-bcdb-02b8fd8fce03,2021-08-23,4,53,41,62.87
e4061b82-472e-4112-bcdb-02b8fd8fce03,2021-08-30,3,45,44.85,49.99
e4061b82-472e-4112-bcdb-02b8fd8fce03,2021-09-06,7,48,36,60.99
e4061b82-472e-4112-bcdb-02b8fd8fce03,2021-09-13,4,46.5,39.9,50
e4061b82-472e-4112-bcdb-02b8fd8fce03,2021-09-20,3,40,39,55
e4061b82-472e-4112-bcdb-02b8fd8fce03,2021-09-27,1,42,42,42
e4061b82-472e-4112-bcdb-02b8fd8fce03,2021-10-04,5,40,35.51,55
e4061b82-472e-4112-bcdb-02b8fd8fce03,2021-10-11,10,43,27,55.84
e4061b82-472e-4112-bcdb-02b8fd8fce03,2021-10-18,3,49.99,49.99,50
e4061b82-472e-4112-bcdb-02b8fd8fce03,2021-10-25,7,37,30,51
e4061b82-472e-4112-bcdb-02b8fd8fce03,2021-11-01,6,50.5,24.28,69.99
e4061b82-472e-4112-bcdb-02b8fd8fce03,2021-11-08,8,40,19.99,57
e4061b82-472e-4112-bcdb-02b8fd8fce03,2021-11-15,5,33,25,40
e4061b82-472e-4112-bcdb-02b8fd8fce03,2021-11-22,9,40,26,52.87
e4061b82-472e-4112-bcdb-02b8fd8fce03,2021-11-29,11,32,19.99,40
e4061b82-472e-4112-bcdb-02b8fd8fce03,2021-12-06,10,33.95,19.99,60
e4061b82-472e-4112-bcdb-02b8fd8fce03,2021-12-13,5,39,30,50
e4061b82-472e-4112-bcdb-02b8fd8fce03,2021-12-20,4,32,20,45
e4061b82-472e-4112-bcdb-02b8fd8fce03,2021-12-27,5,39.99,31,43.62
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-01-03,7,31,25,40
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-01-10,7,40,23,45
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-01-17,7,32,27,34.99
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-01-24,6,33.09,29.99,47.29
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-01-31,5,33,20.5,60
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-02-07,11,29,22.46,36
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-02-14,2,34.02,30,38.05
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-02-21,4,29.5,22.54,40
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-02-28,5,32.88,18.5,47.93
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-03-07,6,34.25,24.5,42
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-03-14,7,33,23.6,49
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-03-21,6,30.49,27,47.49
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-03-28,8,31.49,26,38.56
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-04-04,8,27.59,11.5,47
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-04-11,8,30.5,21.6,44.39
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-04-18,2,28,27,29
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-04-25,4,29.49,17.5,39.99
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-05-02,5,25,23.5,41.95
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-05-09,7,29.99,23,67.51
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-05-16,7,22.5,18.6,30
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-05-23,7,36,22.8,42
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-05-30,4,25,20.5,28.89
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-06-06,8,25.73,18.3,39
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-06-13,9,20.5,16.5,42
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-06-20,9,26,14.99,36
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-06-27,8,24.2,16,34.99
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-07-04,3,24,21.5,30
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-07-11,4,27.99,20.51,38
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-07-18,6,22.75,20,26
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-07-25,5,26,25,31
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-08-01,9,27.5,16,31
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-08-08,6,28.54,14.5,30
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-08-15,5,23.99,16.5,34.34
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-08-22,6,26,23.99,34.99
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-08-29,4,26.99,20,34.99
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-09-05,4,21,20.5,33
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-09-12,4,21.5,16.8,28.69
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-09-19,4,24.24,17,32.4
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-09-26,7,23.5,13.5,24.5
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-10-03,6,26,24.5,28.99
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-10-10,3,29.99,15.5,39.39
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-10-17,8,23.25,20.5,36
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-10-24,2,21.75,21,22.5
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-10-31,4,24.25,19,25.94
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-11-07,4,25,20,27
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-11-14,2,43.61,19.5,67.72
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-11-21,6,31.74,16.81,37.99
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-11-28,3,35.43,32.55,40
e4061b82-472e-4112-bcdb-02b8fd8fce03,2022-12-05,6,27.5,15.5,34.95
