asset_id,week_start,n_sales,median_price,low,high
ea016098-0206-4785-af14-58f7d0c055e6,2023-06-05,1,88.8,88.8,88.8
ea016098-0206-4785-af14-58f7d0c055e6,2023-10-09,1,72,72,72
ea016098-0206-4785-af14-58f7d0c055e6,2023-10-30,1,96,96,96
ea016098-0206-4785-af14-58f7d0c055e6,2024-02-26,1,61,61,61
ea016098-0206-4785-af14-58f7d0c055e6,2024-03-04,1,41,41,41
ea016098-0206-4785-af14-58f7d0c055e6,2024-11-18,1,86.59,86.59,86.59
ea016098-0206-4785-af14-58f7d0c055e6,2024-12-09,1,67.67,67.67,67.67
ea016098-0206-4785-af14-58f7d0c055e6,2025-05-19,1,75,75,75
ea016098-0206-4785-af14-58f7d0c055e6,2025-06-09,1,124,124,124
ea016098-0206-4785-af14-58f7d0c055e6,2025-10-13,1,275.7,275.7,275.7
ea016098-0206-4785-af14-58f7d0c055e6,2025-10-20,1,156,156,156
ea016098-0206-4785-af14-58f7d0c055e6,2026-08-17,1,510,510,510
ea0589c9-ae33-4eba-9f53-2db63744d94e,2021-09-06,1,15.56,15.56,15.56
ea0589c9-ae33-4eba-9f53-2db63744d94e,2021-10-25,1,15,15,15
ea0589c9-ae33-4eba-9f53-2db63744d94e,2022-01-10,1,26,26,26
ea0589c9-ae33-4eba-9f53-2db63744d94e,2025-09-22,1,20,20,20
ea0589c9-ae33-4eba-9f53-2db63744d94e,2026-08-03,1,42,42,42
ea07a52a-5c21-422d-b91b-3261a4ae3ab7,2021-05-03,1,200,200,200
ea07a52a-5c21-422d-b91b-3261a4ae3ab7,2022-07-11,2,89.28,78.57,100
ea07a52a-5c21-422d-b91b-3261a4ae3ab7,2022-07-18,1,75,75,75
ea07a52a-5c21-422d-b91b-3261a4ae3ab7,2023-05-15,1,72.4,72.4,72.4
ea07a52a-5c21-422d-b91b-3261a4ae3ab7,2023-06-05,1,270,270,270
ea07a52a-5c21-422d-b91b-3261a4ae3ab7,2023-06-26,2,117.98,117.98,117.98
ea07a52a-5c21-422d-b91b-3261a4ae3ab7,2023-08-28,1,204.01,204.01,204.01
ea07a52a-5c21-422d-b91b-3261a4ae3ab7,2023-11-13,1,157.5,157.5,157.5
ea07a52a-5c21-422d-b91b-3261a4ae3ab7,2024-02-19,1,76,76,76
ea07a52a-5c21-422d-b91b-3261a4ae3ab7,2024-03-11,1,175,175,175
ea07a52a-5c21-422d-b91b-3261a4ae3ab7,2024-07-22,1,140,140,140
ea07a52a-5c21-422d-b91b-3261a4ae3ab7,2024-08-26,1,91.5,91.5,91.5
ea07a52a-5c21-422d-b91b-3261a4ae3ab7,2024-10-28,3,89.5,89,89.88
ea07a52a-5c21-422d-b91b-3261a4ae3ab7,2025-01-27,1,167,167,167
ea07a52a-5c21-422d-b91b-3261a4ae3ab7,2025-06-02,1,152.5,152.5,152.5
ea07a52a-5c21-422d-b91b-3261a4ae3ab7,2025-08-18,1,136.4,136.4,136.4
ea07a52a-5c21-422d-b91b-3261a4ae3ab7,2025-09-15,1,198,198,198
ea07a52a-5c21-422d-b91b-3261a4ae3ab7,2025-10-20,1,250,250,250
ea07a52a-5c21-422d-b91b-3261a4ae3ab7,2026-01-05,1,530,530,530
ea07a52a-5c21-422d-b91b-3261a4ae3ab7,2026-02-16,1,562,562,562
ea07a52a-5c21-422d-b91b-3261a4ae3ab7,2026-04-13,1,660,660,660
ea07a52a-5c21-422d-b91b-3261a4ae3ab7,2026-05-18,1,511,511,511
ea07a52a-5c21-422d-b91b-3261a4ae3ab7,2026-06-01,1,486,486,486
ea07a52a-5c21-422d-b91b-3261a4ae3ab7,2026-08-10,1,400,400,400
ea07a52a-5c21-422d-b91b-3261a4ae3ab7,2026-08-24,2,375.71,366.41,385
ea07a52a-5c21-422d-b91b-3261a4ae3ab7,2026-09-14,1,324,324,324
ea07d174-78e4-49cf-b6d2-1ea6aeb8c9dc,2021-09-27,1,180.59,180.59,180.59
ea07d174-78e4-49cf-b6d2-1ea6aeb8c9dc,2022-03-28,1,145,145,145
ea07d174-78e4-49cf-b6d2-1ea6aeb8c9dc,2022-12-26,1,134.01,134.01,134.01
ea07d174-78e4-49cf-b6d2-1ea6aeb8c9dc,2023-01-02,1,211.1,211.1,211.1
