asset_id,week_start,n_sales,median_price,low,high
ec00d719-2828-4274-a046-45dfd56b5ce0,2021-03-01,1,108.5,108.5,108.5
ec00d719-2828-4274-a046-45dfd56b5ce0,2021-06-21,1,150,150,150
ec00d719-2828-4274-a046-45dfd56b5ce0,2021-07-05,1,112.5,112.5,112.5
ec00d719-2828-4274-a046-45dfd56b5ce0,2021-07-19,1,90,90,90
ec00d719-2828-4274-a046-45dfd56b5ce0,2021-08-16,1,123.5,123.5,123.5
ec00d719-2828-4274-a046-45dfd56b5ce0,2021-09-27,1,81,81,81
ec00d719-2828-4274-a046-45dfd56b5ce0,2021-11-08,1,105,105,105
ec00d719-2828-4274-a046-45dfd56b5ce0,2021-12-20,1,110,110,110
ec00d719-2828-4274-a046-45dfd56b5ce0,2022-03-21,1,31.91,31.91,31.91
ec00d719-2828-4274-a046-45dfd56b5ce0,2022-06-06,1,194.95,194.95,194.95
ec00d719-2828-4274-a046-45dfd56b5ce0,2022-06-27,1,72,72,72
ec00d719-2828-4274-a046-45dfd56b5ce0,2022-07-04,1,129.99,129.99,129.99
ec00d719-2828-4274-a046-45dfd56b5ce0,2022-11-21,1,290,290,290
ec00d719-2828-4274-a046-45dfd56b5ce0,2022-12-05,1,99.95,99.95,99.95
ec00d719-2828-4274-a046-45dfd56b5ce0,2023-01-02,1,73,73,73
ec00d719-2828-4274-a046-45dfd56b5ce0,2023-02-13,1,94.48,94.48,94.48
ec00d719-2828-4274-a046-45dfd56b5ce0,2023-02-27,3,62.4,50.99,70
ec00d719-2828-4274-a046-45dfd56b5ce0,2023-03-27,1,89.95,89.95,89.95
ec00d719-2828-4274-a046-45dfd56b5ce0,2023-04-03,1,130,130,130
ec00d719-2828-4274-a046-45dfd56b5ce0,2023-07-31,1,110,110,110
ec00d719-2828-4274-a046-45dfd56b5ce0,2023-08-28,1,115,115,115
ec00d719-2828-4274-a046-45dfd56b5ce0,2023-10-16,1,86,86,86
ec00d719-2828-4274-a046-45dfd56b5ce0,2023-10-23,1,70.44,70.44,70.44
ec00d719-2828-4274-a046-45dfd56b5ce0,2024-02-26,1,80,80,80
ec00d719-2828-4274-a046-45dfd56b5ce0,2024-04-22,1,70,70,70
ec00d719-2828-4274-a046-45dfd56b5ce0,2024-04-29,1,44.99,44.99,44.99
ec00d719-2828-4274-a046-45dfd56b5ce0,2024-05-13,2,51.51,50.02,53
ec00d719-2828-4274-a046-45dfd56b5ce0,2024-05-27,1,100,100,100
ec00d719-2828-4274-a046-45dfd56b5ce0,2024-06-10,1,169.99,169.99,169.99
ec00d719-2828-4274-a046-45dfd56b5ce0,2024-06-17,1,62,62,62
ec00d719-2828-4274-a046-45dfd56b5ce0,2024-08-19,1,89.99,89.99,89.99
ec00d719-2828-4274-a046-45dfd56b5ce0,2024-08-26,1,89.99,89.99,89.99
ec00d719-2828-4274-a046-45dfd56b5ce0,2024-09-30,1,150,150,150
ec00d719-2828-4274-a046-45dfd56b5ce0,2024-10-21,1,60,60,60
ec00d719-2828-4274-a046-45dfd56b5ce0,2024-12-16,1,100,100,100
ec00d719-2828-4274-a046-45dfd56b5ce0,2025-02-10,1,102.5,102.5,102.5
ec00d719-2828-4274-a046-45dfd56b5ce0,2025-02-17,1,133.5,133.5,133.5
ec00d719-2828-4274-a046-45dfd56b5ce0,2025-03-24,1,139.99,139.99,139.99
ec00d719-2828-4274-a046-45dfd56b5ce0,2025-04-14,1,140,140,140
ec00d719-2828-4274-a046-45dfd56b5ce0,2025-04-28,1,150,150,150
ec00d719-2828-4274-a046-45dfd56b5ce0,2025-05-05,1,95,95,95
ec00d719-2828-4274-a046-45dfd56b5ce0,2025-06-09,1,81.17,81.17,81.17
ec00d719-2828-4274-a046-45dfd56b5ce0,2025-07-28,1,150,150,150
ec00d719-2828-4274-a046-45dfd56b5ce0,2025-08-18,1,132.5,132.5,132.5
ec00d719-2828-4274-a046-45dfd56b5ce0,2025-10-13,1,150,150,150
ec00d719-2828-4274-a046-45dfd56b5ce0,2025-10-20,2,257.5,240,275
ec00d719-2828-4274-a046-45dfd56b5ce0,2026-03-02,1,170,170,170
