asset_id,week_start,n_sales,median_price,low,high
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2021-06-14,1,71,71,71
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2021-10-11,1,179.96,179.96,179.96
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2021-11-08,1,100,100,100
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2021-11-29,1,170,170,170
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2022-05-30,1,75,75,75
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2022-06-20,1,80,80,80
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2022-07-04,1,89,89,89
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2022-07-25,1,72,72,72
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2022-08-15,1,55,55,55
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2022-09-05,1,71,71,71
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2022-09-26,1,115.95,115.95,115.95
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2022-10-03,1,102.5,102.5,102.5
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2023-01-30,1,80,80,80
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2023-02-27,1,119.77,119.77,119.77
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2023-05-15,1,65,65,65
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2023-05-29,1,72,72,72
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2023-06-05,1,45,45,45
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2023-07-03,1,46.78,46.78,46.78
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2023-08-28,1,34,34,34
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2023-09-04,1,115,115,115
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2023-09-11,1,64.99,64.99,64.99
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2023-11-06,1,62,62,62
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2023-11-13,1,84.99,84.99,84.99
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2024-01-15,1,67,67,67
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2024-06-24,1,43.03,43.03,43.03
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2024-07-15,1,71,71,71
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2024-08-05,1,75,75,75
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2024-11-11,1,74.4,74.4,74.4
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2024-11-25,2,54.39,41.01,67.76
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2025-01-27,2,73,71,75
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2025-02-03,1,63,63,63
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2025-03-31,1,81,81,81
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2025-07-07,1,54.99,54.99,54.99
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2025-08-25,1,71,71,71
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2025-09-08,1,87,87,87
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2025-11-17,1,78,78,78
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2025-12-15,2,87.5,79.99,95
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2025-12-29,1,101,101,101
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2026-02-02,1,101,101,101
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2026-03-16,1,99.99,99.99,99.99
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2026-03-30,1,70,70,70
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2026-06-29,1,243.5,243.5,243.5
ed00cd38-0c3d-44a7-9a65-d94a6320aba9,2026-08-03,1,330,330,330
ed012196-c55c-47a8-ba48-cfa8c5130242,2022-02-14,1,89.99,89.99,89.99
