asset_id,week_start,n_sales,median_price,low,high
ee01347e-c61d-432c-ae65-c3b660c835c7,2024-07-08,1,32,32,32
ee01347e-c61d-432c-ae65-c3b660c835c7,2024-09-09,1,50,50,50
ee01347e-c61d-432c-ae65-c3b660c835c7,2025-08-11,1,50,50,50
ee01347e-c61d-432c-ae65-c3b660c835c7,2025-08-18,1,50,50,50
ee01c69e-0299-4858-a029-87daeb2fa2eb,2025-10-20,1,23100,23100,23100
ee03e228-82e2-489a-8ab4-0afdd86c7407,2026-06-22,1,29.94,29.94,29.94
ee04a4a6-4642-4c8e-baa6-cd975ade8f00,2021-09-06,3,2800,1999.99,2800
ee04a4a6-4642-4c8e-baa6-cd975ade8f00,2023-01-09,1,2024,2024,2024
ee04a4a6-4642-4c8e-baa6-cd975ade8f00,2023-02-27,1,2025,2025,2025
ee04a4a6-4642-4c8e-baa6-cd975ade8f00,2023-08-21,1,2125,2125,2125
ee04a4a6-4642-4c8e-baa6-cd975ade8f00,2023-10-02,1,1980,1980,1980
ee04a4a6-4642-4c8e-baa6-cd975ade8f00,2023-12-25,1,1981,1981,1981
ee04a4a6-4642-4c8e-baa6-cd975ade8f00,2024-04-15,1,3000,3000,3000
ee04a4a6-4642-4c8e-baa6-cd975ade8f00,2024-08-19,1,1530,1530,1530
ee04a4a6-4642-4c8e-baa6-cd975ade8f00,2024-08-26,1,1260,1260,1260
ee04a4a6-4642-4c8e-baa6-cd975ade8f00,2024-09-16,1,1530,1530,1530
ee04a4a6-4642-4c8e-baa6-cd975ade8f00,2024-09-30,1,1290,1290,1290
ee04a4a6-4642-4c8e-baa6-cd975ade8f00,2025-03-10,1,2640,2640,2640
ee04a4a6-4642-4c8e-baa6-cd975ade8f00,2025-04-14,1,3480,3480,3480
ee04a4a6-4642-4c8e-baa6-cd975ade8f00,2025-05-26,1,2760,2760,2760
ee04a4a6-4642-4c8e-baa6-cd975ade8f00,2025-06-02,1,2880,2880,2880
ee04a4a6-4642-4c8e-baa6-cd975ade8f00,2025-06-09,1,2150,2150,2150
ee0d27b8-85be-4dad-afb2-765a3b47310d,2023-02-13,1,102.5,102.5,102.5
ee0d2882-eda7-4bcb-924f-3bddf625df6a,2022-09-05,1,125,125,125
ee0d2882-eda7-4bcb-924f-3bddf625df6a,2022-12-26,1,31,31,31
ee0d2882-eda7-4bcb-924f-3bddf625df6a,2023-01-30,1,36.59,36.59,36.59
ee0d2882-eda7-4bcb-924f-3bddf625df6a,2023-02-27,1,45,45,45
ee0d2882-eda7-4bcb-924f-3bddf625df6a,2023-05-29,1,15,15,15
ee0d2882-eda7-4bcb-924f-3bddf625df6a,2023-06-05,1,26,26,26
ee0d2882-eda7-4bcb-924f-3bddf625df6a,2024-05-06,1,9.5,9.5,9.5
ee0d2882-eda7-4bcb-924f-3bddf625df6a,2025-01-06,1,25,25,25
ee0d2882-eda7-4bcb-924f-3bddf625df6a,2025-11-10,1,24.5,24.5,24.5
ee0fb2df-aafb-46f5-bec3-f2193bf9b837,2021-03-15,1,99,99,99
ee0fb2df-aafb-46f5-bec3-f2193bf9b837,2021-11-15,1,122.5,122.5,122.5
ee0fb2df-aafb-46f5-bec3-f2193bf9b837,2022-01-03,1,140,140,140
ee0fb2df-aafb-46f5-bec3-f2193bf9b837,2022-03-21,1,140,140,140
ee0fb2df-aafb-46f5-bec3-f2193bf9b837,2022-07-18,1,112.5,112.5,112.5
ee0fb2df-aafb-46f5-bec3-f2193bf9b837,2022-09-05,1,66.03,66.03,66.03
ee0fb2df-aafb-46f5-bec3-f2193bf9b837,2022-09-12,1,66.02,66.02,66.02
ee0fb2df-aafb-46f5-bec3-f2193bf9b837,2022-09-26,2,166.13,97.1,235.16
ee0fb2df-aafb-46f5-bec3-f2193bf9b837,2022-11-07,1,120,120,120
