asset_id,week_start,n_sales,median_price,low,high
ef02992c-8f3e-4378-bb7d-b6400baa3bf9,2022-04-04,1,349.99,349.99,349.99
ef02992c-8f3e-4378-bb7d-b6400baa3bf9,2023-06-05,1,360,360,360
ef02992c-8f3e-4378-bb7d-b6400baa3bf9,2023-07-03,1,201.5,201.5,201.5
ef02992c-8f3e-4378-bb7d-b6400baa3bf9,2026-01-05,1,585.75,585.75,585.75
ef02992c-8f3e-4378-bb7d-b6400baa3bf9,2026-01-12,1,312,312,312
ef02992c-8f3e-4378-bb7d-b6400baa3bf9,2026-04-06,1,1499,1499,1499
ef02992c-8f3e-4378-bb7d-b6400baa3bf9,2026-05-25,1,898,898,898
ef03faac-aafb-416b-9119-b0373bf5bdb0,2023-11-06,1,22.12,22.12,22.12
ef03faac-aafb-416b-9119-b0373bf5bdb0,2024-01-08,1,57.26,57.26,57.26
ef03faac-aafb-416b-9119-b0373bf5bdb0,2024-07-08,1,22.91,22.91,22.91
ef03faac-aafb-416b-9119-b0373bf5bdb0,2024-09-30,1,30,30,30
ef03faac-aafb-416b-9119-b0373bf5bdb0,2025-04-21,1,32,32,32
ef03faac-aafb-416b-9119-b0373bf5bdb0,2025-06-09,1,85,85,85
ef03faac-aafb-416b-9119-b0373bf5bdb0,2025-09-15,1,65,65,65
ef03faac-aafb-416b-9119-b0373bf5bdb0,2025-10-06,1,74.99,74.99,74.99
ef03faac-aafb-416b-9119-b0373bf5bdb0,2025-10-20,1,69.99,69.99,69.99
ef03faac-aafb-416b-9119-b0373bf5bdb0,2025-10-27,2,41.59,41,42.19
ef03faac-aafb-416b-9119-b0373bf5bdb0,2025-11-24,1,53.99,53.99,53.99
ef03faac-aafb-416b-9119-b0373bf5bdb0,2026-01-12,1,31,31,31
ef03faac-aafb-416b-9119-b0373bf5bdb0,2026-02-16,2,48.5,47,50
ef03faac-aafb-416b-9119-b0373bf5bdb0,2026-02-23,1,60,60,60
ef03faac-aafb-416b-9119-b0373bf5bdb0,2026-04-27,1,82,82,82
ef03faac-aafb-416b-9119-b0373bf5bdb0,2026-05-25,2,78.03,76.06,80
ef03faac-aafb-416b-9119-b0373bf5bdb0,2026-06-01,1,75,75,75
ef03faac-aafb-416b-9119-b0373bf5bdb0,2026-08-31,1,85,85,85
ef053ed7-7670-4b92-a282-a486a475747a,2024-01-29,1,299.99,299.99,299.99
ef053ed7-7670-4b92-a282-a486a475747a,2024-08-05,1,595,595,595
ef095945-27da-45a6-bfd5-f942f609e597,2026-02-23,5,113.5,102.5,162.5
ef095945-27da-45a6-bfd5-f942f609e597,2026-03-02,4,178.75,153.19,212.5
ef095945-27da-45a6-bfd5-f942f609e597,2026-03-23,1,175,175,175
ef095945-27da-45a6-bfd5-f942f609e597,2026-04-06,1,180,180,180
ef095945-27da-45a6-bfd5-f942f609e597,2026-04-27,2,158,140.5,175.5
ef095945-27da-45a6-bfd5-f942f609e597,2026-05-04,1,249.99,249.99,249.99
ef095945-27da-45a6-bfd5-f942f609e597,2026-07-27,1,300,300,300
ef095945-27da-45a6-bfd5-f942f609e597,2026-08-31,1,300,300,300
ef0a71f8-d434-431f-b56c-22384543509d,2024-12-09,1,37,37,37
ef0a71f8-d434-431f-b56c-22384543509d,2026-04-27,1,41.09,41.09,41.09
ef0a71f8-d434-431f-b56c-22384543509d,2026-08-10,1,231.32,231.32,231.32
ef0ad1ad-d717-485f-a48b-2b80f4bfc8b3,2021-12-20,1,56,56,56
ef0ad1ad-d717-485f-a48b-2b80f4bfc8b3,2022-01-10,2,44.02,37,51.03
ef0ad1ad-d717-485f-a48b-2b80f4bfc8b3,2022-02-14,2,37.8,31.2,44.4
ef0ad1ad-d717-485f-a48b-2b80f4bfc8b3,2022-03-28,1,36,36,36
ef0ad1ad-d717-485f-a48b-2b80f4bfc8b3,2022-05-30,1,55.2,55.2,55.2
ef0ad1ad-d717-485f-a48b-2b80f4bfc8b3,2022-06-20,1,48,48,48
ef0ad1ad-d717-485f-a48b-2b80f4bfc8b3,2022-09-05,1,35,35,35
ef0ad1ad-d717-485f-a48b-2b80f4bfc8b3,2022-11-28,1,50,50,50
ef0ad1ad-d717-485f-a48b-2b80f4bfc8b3,2023-02-13,1,43.2,43.2,43.2
ef0ad1ad-d717-485f-a48b-2b80f4bfc8b3,2023-04-03,1,34,34,34
ef0ad1ad-d717-485f-a48b-2b80f4bfc8b3,2023-05-01,1,37.58,37.58,37.58
ef0ad1ad-d717-485f-a48b-2b80f4bfc8b3,2023-05-22,1,56,56,56
ef0ad1ad-d717-485f-a48b-2b80f4bfc8b3,2023-10-23,1,34.8,34.8,34.8
ef0ad1ad-d717-485f-a48b-2b80f4bfc8b3,2024-01-01,1,30,30,30
ef0ad1ad-d717-485f-a48b-2b80f4bfc8b3,2024-04-29,1,60,60,60
ef0ad1ad-d717-485f-a48b-2b80f4bfc8b3,2024-10-21,1,35,35,35
ef0ad1ad-d717-485f-a48b-2b80f4bfc8b3,2025-02-24,1,22.5,22.5,22.5
ef0ad1ad-d717-485f-a48b-2b80f4bfc8b3,2025-08-04,1,70,70,70
ef0ad1ad-d717-485f-a48b-2b80f4bfc8b3,2025-09-01,1,36.62,36.62,36.62
ef0ad1ad-d717-485f-a48b-2b80f4bfc8b3,2026-01-19,2,162.49,149.99,174.99
ef0ad1ad-d717-485f-a48b-2b80f4bfc8b3,2026-01-26,2,91.5,58,125
ef0ad1ad-d717-485f-a48b-2b80f4bfc8b3,2026-02-02,1,78,78,78
ef0ad1ad-d717-485f-a48b-2b80f4bfc8b3,2026-02-09,1,80.99,80.99,80.99
ef0ad1ad-d717-485f-a48b-2b80f4bfc8b3,2026-02-23,1,57,57,57
ef0ad1ad-d717-485f-a48b-2b80f4bfc8b3,2026-03-02,1,45.61,45.61,45.61
ef0ad1ad-d717-485f-a48b-2b80f4bfc8b3,2026-03-16,1,72,72,72
ef0ad1ad-d717-485f-a48b-2b80f4bfc8b3,2026-08-10,1,89,89,89
ef0b197b-4392-436a-bac5-d2432f0a5d5b,2022-04-25,1,176.4,176.4,176.4
ef0b197b-4392-436a-bac5-d2432f0a5d5b,2022-11-21,1,152.5,152.5,152.5
ef0b197b-4392-436a-bac5-d2432f0a5d5b,2025-02-10,1,130.5,130.5,130.5
ef0b197b-4392-436a-bac5-d2432f0a5d5b,2025-03-10,1,130,130,130
ef0b197b-4392-436a-bac5-d2432f0a5d5b,2025-03-17,1,150,150,150
ef0b197b-4392-436a-bac5-d2432f0a5d5b,2026-03-09,1,2925,2925,2925
ef0b197b-4392-436a-bac5-d2432f0a5d5b,2026-04-13,1,2025,2025,2025
