asset_id,week_start,n_sales,median_price,low,high
f902f46d-57aa-4941-9d94-032afac351d4,2022-01-03,1,235.79,235.79,235.79
f902f46d-57aa-4941-9d94-032afac351d4,2022-01-31,1,273.89,273.89,273.89
f902f46d-57aa-4941-9d94-032afac351d4,2022-02-14,1,250,250,250
f902f46d-57aa-4941-9d94-032afac351d4,2022-03-28,1,335,335,335
f902f46d-57aa-4941-9d94-032afac351d4,2022-05-16,1,112.5,112.5,112.5
f902f46d-57aa-4941-9d94-032afac351d4,2022-06-20,1,224.5,224.5,224.5
f902f46d-57aa-4941-9d94-032afac351d4,2022-11-07,1,210,210,210
f902f46d-57aa-4941-9d94-032afac351d4,2023-01-02,2,183.51,169.99,197.04
f902f46d-57aa-4941-9d94-032afac351d4,2023-01-23,1,96,96,96
f902f46d-57aa-4941-9d94-032afac351d4,2023-02-27,1,143.71,143.71,143.71
f902f46d-57aa-4941-9d94-032afac351d4,2023-03-13,1,100,100,100
f902f46d-57aa-4941-9d94-032afac351d4,2023-03-20,1,66,66,66
f902f46d-57aa-4941-9d94-032afac351d4,2023-04-24,1,150,150,150
f902f46d-57aa-4941-9d94-032afac351d4,2023-05-01,2,101.25,100,102.5
f902f46d-57aa-4941-9d94-032afac351d4,2023-05-15,1,84,84,84
f902f46d-57aa-4941-9d94-032afac351d4,2023-07-24,1,57.89,57.89,57.89
f902f46d-57aa-4941-9d94-032afac351d4,2023-09-04,2,58,57,59
f902f46d-57aa-4941-9d94-032afac351d4,2023-09-25,2,77.63,55.47,99.79
f902f46d-57aa-4941-9d94-032afac351d4,2023-11-13,1,46.25,46.25,46.25
f902f46d-57aa-4941-9d94-032afac351d4,2023-12-04,1,89.99,89.99,89.99
f902f46d-57aa-4941-9d94-032afac351d4,2024-02-26,1,53.5,53.5,53.5
f902f46d-57aa-4941-9d94-032afac351d4,2024-03-04,1,73.99,73.99,73.99
f902f46d-57aa-4941-9d94-032afac351d4,2024-06-03,2,69.05,58,80.1
f902f46d-57aa-4941-9d94-032afac351d4,2024-07-22,1,52.99,52.99,52.99
f902f46d-57aa-4941-9d94-032afac351d4,2024-08-12,2,44.4,44.4,44.4
f902f46d-57aa-4941-9d94-032afac351d4,2024-11-25,1,49.99,49.99,49.99
f902f46d-57aa-4941-9d94-032afac351d4,2025-01-13,1,69,69,69
f902f46d-57aa-4941-9d94-032afac351d4,2025-01-20,2,70,69.99,70
f902f46d-57aa-4941-9d94-032afac351d4,2025-01-27,1,66,66,66
f902f46d-57aa-4941-9d94-032afac351d4,2025-02-24,1,75.46,75.46,75.46
f902f46d-57aa-4941-9d94-032afac351d4,2025-03-24,1,74.5,74.5,74.5
f902f46d-57aa-4941-9d94-032afac351d4,2025-04-07,1,89.99,89.99,89.99
f902f46d-57aa-4941-9d94-032afac351d4,2025-06-02,2,89.5,89,89.99
f902f46d-57aa-4941-9d94-032afac351d4,2025-07-07,1,91,91,91
f902f46d-57aa-4941-9d94-032afac351d4,2025-10-06,1,160,160,160
f902f46d-57aa-4941-9d94-032afac351d4,2025-12-15,1,180,180,180
f902f46d-57aa-4941-9d94-032afac351d4,2025-12-22,1,170,170,170
f902f46d-57aa-4941-9d94-032afac351d4,2026-01-26,1,171.08,171.08,171.08
f902f46d-57aa-4941-9d94-032afac351d4,2026-02-09,2,255,250,260
