asset_id,week_start,n_sales,median_price,low,high
fa010d29-f0fc-420c-99c2-5233ad1093aa,2021-12-20,2,29.25,12.5,46
fa010d29-f0fc-420c-99c2-5233ad1093aa,2022-05-02,1,30.99,30.99,30.99
fa010d29-f0fc-420c-99c2-5233ad1093aa,2022-05-23,2,14.7,14.4,15
fa010d29-f0fc-420c-99c2-5233ad1093aa,2022-06-06,1,15.5,15.5,15.5
fa010d29-f0fc-420c-99c2-5233ad1093aa,2022-08-08,1,26.8,26.8,26.8
fa010d29-f0fc-420c-99c2-5233ad1093aa,2022-08-29,1,11,11,11
fa010d29-f0fc-420c-99c2-5233ad1093aa,2022-09-26,1,11.5,11.5,11.5
fa04c5a8-e66e-490c-9cd2-703638e4f4da,2021-05-03,1,164.82,164.82,164.82
fa04c5a8-e66e-490c-9cd2-703638e4f4da,2021-06-07,1,129.99,129.99,129.99
fa04c5a8-e66e-490c-9cd2-703638e4f4da,2021-09-13,2,78.56,55,102.11
fa04c5a8-e66e-490c-9cd2-703638e4f4da,2022-01-17,1,59.95,59.95,59.95
fa04c5a8-e66e-490c-9cd2-703638e4f4da,2022-01-24,1,40,40,40
fa04c5a8-e66e-490c-9cd2-703638e4f4da,2022-03-14,1,59.95,59.95,59.95
fa04c5a8-e66e-490c-9cd2-703638e4f4da,2022-04-25,1,43,43,43
fa04c5a8-e66e-490c-9cd2-703638e4f4da,2022-06-13,1,82.37,82.37,82.37
fa04c5a8-e66e-490c-9cd2-703638e4f4da,2022-06-27,1,39.95,39.95,39.95
fa04c5a8-e66e-490c-9cd2-703638e4f4da,2022-07-04,1,31.51,31.51,31.51
fa04c5a8-e66e-490c-9cd2-703638e4f4da,2022-08-15,1,57.24,57.24,57.24
fa04c5a8-e66e-490c-9cd2-703638e4f4da,2022-09-05,1,34.8,34.8,34.8
fa04c5a8-e66e-490c-9cd2-703638e4f4da,2022-09-12,1,33.6,33.6,33.6
fa04c5a8-e66e-490c-9cd2-703638e4f4da,2022-10-31,1,40,40,40
fa04c5a8-e66e-490c-9cd2-703638e4f4da,2023-01-09,1,77.8,77.8,77.8
fa04c5a8-e66e-490c-9cd2-703638e4f4da,2023-01-23,1,76.97,76.97,76.97
fa04c5a8-e66e-490c-9cd2-703638e4f4da,2023-02-06,1,48.58,48.58,48.58
fa04c5a8-e66e-490c-9cd2-703638e4f4da,2023-02-27,2,41.42,40,42.85
fa04c5a8-e66e-490c-9cd2-703638e4f4da,2023-03-20,1,67.06,67.06,67.06
fa04c5a8-e66e-490c-9cd2-703638e4f4da,2023-05-01,1,68.24,68.24,68.24
fa04c5a8-e66e-490c-9cd2-703638e4f4da,2023-05-15,1,64.92,64.92,64.92
fa04c5a8-e66e-490c-9cd2-703638e4f4da,2023-07-24,1,27,27,27
fa04c5a8-e66e-490c-9cd2-703638e4f4da,2023-08-21,1,62.47,62.47,62.47
fa04c5a8-e66e-490c-9cd2-703638e4f4da,2023-09-11,1,63.99,63.99,63.99
fa04c5a8-e66e-490c-9cd2-703638e4f4da,2023-10-30,1,56.6,56.6,56.6
fa04c5a8-e66e-490c-9cd2-703638e4f4da,2024-04-22,1,40.05,40.05,40.05
fa04c5a8-e66e-490c-9cd2-703638e4f4da,2024-04-29,1,61.36,61.36,61.36
