asset_id,week_start,n_sales,median_price,low,high
fb004466-4bf2-428b-876b-e9edf406dcc0,2021-03-08,1,375,375,375
fb004466-4bf2-428b-876b-e9edf406dcc0,2021-05-03,1,399.99,399.99,399.99
fb004466-4bf2-428b-876b-e9edf406dcc0,2021-07-12,1,201.5,201.5,201.5
fb004466-4bf2-428b-876b-e9edf406dcc0,2021-11-22,1,266,266,266
fb004466-4bf2-428b-876b-e9edf406dcc0,2022-12-05,1,426.43,426.43,426.43
fb004466-4bf2-428b-876b-e9edf406dcc0,2023-02-27,1,263.49,263.49,263.49
fb004466-4bf2-428b-876b-e9edf406dcc0,2023-03-06,1,275,275,275
fb004466-4bf2-428b-876b-e9edf406dcc0,2023-04-10,1,263,263,263
fb004466-4bf2-428b-876b-e9edf406dcc0,2023-06-12,1,260,260,260
fb004466-4bf2-428b-876b-e9edf406dcc0,2023-12-04,1,264,264,264
fb004466-4bf2-428b-876b-e9edf406dcc0,2023-12-25,2,304.19,192.4,415.99
fb004466-4bf2-428b-876b-e9edf406dcc0,2024-03-11,1,202.5,202.5,202.5
fb004466-4bf2-428b-876b-e9edf406dcc0,2024-04-08,1,212.5,212.5,212.5
fb004466-4bf2-428b-876b-e9edf406dcc0,2024-05-06,1,202.5,202.5,202.5
fb004466-4bf2-428b-876b-e9edf406dcc0,2024-07-08,1,270,270,270
fb004466-4bf2-428b-876b-e9edf406dcc0,2024-08-05,1,300,300,300
fb004466-4bf2-428b-876b-e9edf406dcc0,2024-12-30,1,260,260,260
fb004466-4bf2-428b-876b-e9edf406dcc0,2025-01-27,1,224.5,224.5,224.5
fb004466-4bf2-428b-876b-e9edf406dcc0,2025-02-24,1,249.99,249.99,249.99
fb004466-4bf2-428b-876b-e9edf406dcc0,2025-03-17,1,274.99,274.99,274.99
fb004466-4bf2-428b-876b-e9edf406dcc0,2025-04-07,1,300,300,300
fb004466-4bf2-428b-876b-e9edf406dcc0,2025-04-14,1,310,310,310
fb004466-4bf2-428b-876b-e9edf406dcc0,2025-06-09,1,300,300,300
fb004466-4bf2-428b-876b-e9edf406dcc0,2025-07-07,1,384,384,384
fb004466-4bf2-428b-876b-e9edf406dcc0,2025-11-10,1,599,599,599
fb004466-4bf2-428b-876b-e9edf406dcc0,2025-12-01,1,863.19,863.19,863.19
fb004466-4bf2-428b-876b-e9edf406dcc0,2025-12-15,1,900,900,900
fb004466-4bf2-428b-876b-e9edf406dcc0,2026-01-19,1,830,830,830
fb00f12b-2358-470f-bdfc-c2a74444426c,2021-03-15,1,800,800,800
fb00f12b-2358-470f-bdfc-c2a74444426c,2021-03-22,1,521,521,521
fb00f12b-2358-470f-bdfc-c2a74444426c,2021-11-15,1,575,575,575
fb00f12b-2358-470f-bdfc-c2a74444426c,2021-12-06,1,412.33,412.33,412.33
fb00f12b-2358-470f-bdfc-c2a74444426c,2021-12-13,1,500,500,500
fb00f12b-2358-470f-bdfc-c2a74444426c,2021-12-27,1,396.51,396.51,396.51
fb00f12b-2358-470f-bdfc-c2a74444426c,2022-02-21,1,670.05,670.05,670.05
fb00f12b-2358-470f-bdfc-c2a74444426c,2023-03-13,1,552,552,552
fb00f12b-2358-470f-bdfc-c2a74444426c,2023-03-27,1,400,400,400
fb00f12b-2358-470f-bdfc-c2a74444426c,2023-07-24,1,666,666,666
fb00f12b-2358-470f-bdfc-c2a74444426c,2023-09-04,1,540,540,540
fb00f12b-2358-470f-bdfc-c2a74444426c,2023-11-20,1,420,420,420
fb00f12b-2358-470f-bdfc-c2a74444426c,2024-06-17,1,360,360,360
fb00f12b-2358-470f-bdfc-c2a74444426c,2024-06-24,1,405.01,405.01,405.01
fb00f12b-2358-470f-bdfc-c2a74444426c,2024-07-01,1,480,480,480
fb00f12b-2358-470f-bdfc-c2a74444426c,2024-07-22,1,372,372,372
fb00f12b-2358-470f-bdfc-c2a74444426c,2024-08-19,1,400,400,400
fb00f12b-2358-470f-bdfc-c2a74444426c,2024-11-11,1,355,355,355
fb00f12b-2358-470f-bdfc-c2a74444426c,2024-11-18,1,424.99,424.99,424.99
fb00f12b-2358-470f-bdfc-c2a74444426c,2025-02-10,1,378,378,378
fb00f12b-2358-470f-bdfc-c2a74444426c,2025-02-17,1,335.06,335.06,335.06
fb00f12b-2358-470f-bdfc-c2a74444426c,2025-03-03,1,399.95,399.95,399.95
fb00f12b-2358-470f-bdfc-c2a74444426c,2025-03-17,2,440,429.99,450
fb00f12b-2358-470f-bdfc-c2a74444426c,2025-04-14,1,529.99,529.99,529.99
fb00f12b-2358-470f-bdfc-c2a74444426c,2025-05-05,1,569.99,569.99,569.99
fb00f12b-2358-470f-bdfc-c2a74444426c,2025-05-19,1,500,500,500
fb00f12b-2358-470f-bdfc-c2a74444426c,2025-08-18,1,1278,1278,1278
fb00f12b-2358-470f-bdfc-c2a74444426c,2025-09-22,1,1241,1241,1241
fb00f12b-2358-470f-bdfc-c2a74444426c,2025-10-13,1,1433,1433,1433
fb00f12b-2358-470f-bdfc-c2a74444426c,2025-10-20,1,1225,1225,1225
fb00f12b-2358-470f-bdfc-c2a74444426c,2025-10-27,1,1080,1080,1080
fb00f12b-2358-470f-bdfc-c2a74444426c,2025-12-15,1,1338,1338,1338
fb00f12b-2358-470f-bdfc-c2a74444426c,2026-03-09,1,3150,3150,3150
fb00f12b-2358-470f-bdfc-c2a74444426c,2026-05-18,2,4495,4440,4550
fb00f12b-2358-470f-bdfc-c2a74444426c,2026-06-29,1,3551,3551,3551
fb00f12b-2358-470f-bdfc-c2a74444426c,2026-07-13,1,3988,3988,3988
fb00f12b-2358-470f-bdfc-c2a74444426c,2026-08-10,1,3800,3800,3800
fb00f12b-2358-470f-bdfc-c2a74444426c,2026-08-31,1,4101,4101,4101
fb011e8f-c437-4e3f-acc4-6152e393cda1,2021-08-23,1,180.27,180.27,180.27
fb011e8f-c437-4e3f-acc4-6152e393cda1,2022-03-28,1,224,224,224
fb011e8f-c437-4e3f-acc4-6152e393cda1,2022-04-11,1,255,255,255
fb011e8f-c437-4e3f-acc4-6152e393cda1,2022-07-25,1,169.95,169.95,169.95
fb011e8f-c437-4e3f-acc4-6152e393cda1,2022-09-19,2,117,78,156
fb011e8f-c437-4e3f-acc4-6152e393cda1,2022-11-07,1,250,250,250
fb011e8f-c437-4e3f-acc4-6152e393cda1,2023-02-27,1,305,305,305
fb011e8f-c437-4e3f-acc4-6152e393cda1,2023-04-10,1,202.5,202.5,202.5
fb011e8f-c437-4e3f-acc4-6152e393cda1,2023-04-24,1,138,138,138
fb011e8f-c437-4e3f-acc4-6152e393cda1,2023-07-17,1,152.5,152.5,152.5
fb011e8f-c437-4e3f-acc4-6152e393cda1,2023-07-31,1,61,61,61
fb011e8f-c437-4e3f-acc4-6152e393cda1,2023-08-28,1,85,85,85
fb011e8f-c437-4e3f-acc4-6152e393cda1,2023-09-18,1,70.67,70.67,70.67
fb011e8f-c437-4e3f-acc4-6152e393cda1,2023-09-25,1,100,100,100
fb011e8f-c437-4e3f-acc4-6152e393cda1,2023-10-02,1,100,100,100
fb011e8f-c437-4e3f-acc4-6152e393cda1,2023-11-06,1,52,52,52
fb011e8f-c437-4e3f-acc4-6152e393cda1,2023-12-25,1,121,121,121
fb011e8f-c437-4e3f-acc4-6152e393cda1,2024-06-10,1,138.83,138.83,138.83
fb011e8f-c437-4e3f-acc4-6152e393cda1,2024-07-08,1,175.64,175.64,175.64
fb011e8f-c437-4e3f-acc4-6152e393cda1,2024-07-15,1,120,120,120
fb011e8f-c437-4e3f-acc4-6152e393cda1,2024-07-29,1,130,130,130
