asset_id,week_start,n_sales,median_price,low,high
ff04ddcc-2de7-4645-a213-f838c471191b,2021-07-26,1,182.5,182.5,182.5
ff04ddcc-2de7-4645-a213-f838c471191b,2022-04-04,1,327,327,327
ff04ddcc-2de7-4645-a213-f838c471191b,2022-05-16,1,150,150,150
ff04ddcc-2de7-4645-a213-f838c471191b,2023-08-21,1,79,79,79
ff04ddcc-2de7-4645-a213-f838c471191b,2024-05-27,1,90,90,90
ff04ddcc-2de7-4645-a213-f838c471191b,2024-09-09,1,57.6,57.6,57.6
ff04ddcc-2de7-4645-a213-f838c471191b,2025-01-13,1,103.5,103.5,103.5
ff04ddcc-2de7-4645-a213-f838c471191b,2025-01-27,1,125,125,125
ff04ddcc-2de7-4645-a213-f838c471191b,2025-09-29,1,117.6,117.6,117.6
ff04ddcc-2de7-4645-a213-f838c471191b,2025-10-20,1,94.51,94.51,94.51
ff04ddcc-2de7-4645-a213-f838c471191b,2026-02-02,1,176.87,176.87,176.87
ff04ddcc-2de7-4645-a213-f838c471191b,2026-02-16,1,198,198,198
ff04ddcc-2de7-4645-a213-f838c471191b,2026-08-03,1,750,750,750
ff077213-b96b-4fb8-95e6-2ff3ba0d6835,2021-03-15,1,205,205,205
ff077213-b96b-4fb8-95e6-2ff3ba0d6835,2022-07-25,1,34,34,34
ff0b71c7-f5cd-44ec-b5fd-674b1bd6e7e1,2022-11-28,1,39.99,39.99,39.99
ff0b71c7-f5cd-44ec-b5fd-674b1bd6e7e1,2024-01-22,1,50,50,50
ff0b71c7-f5cd-44ec-b5fd-674b1bd6e7e1,2024-10-28,1,32,32,32
ff0b71c7-f5cd-44ec-b5fd-674b1bd6e7e1,2025-01-20,1,26,26,26
ff0b71c7-f5cd-44ec-b5fd-674b1bd6e7e1,2025-08-11,1,41,41,41
ff0b71c7-f5cd-44ec-b5fd-674b1bd6e7e1,2026-02-02,1,85,85,85
ff0b71c7-f5cd-44ec-b5fd-674b1bd6e7e1,2026-03-30,1,120,120,120
ff0b71c7-f5cd-44ec-b5fd-674b1bd6e7e1,2026-08-10,1,80,80,80
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2022-11-07,1,88,88,88
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2022-12-05,1,51,51,51
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2022-12-12,1,45,45,45
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2022-12-26,1,53,53,53
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2023-01-23,2,35,31,39
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2023-01-30,3,54.99,40.99,54.99
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2023-02-20,2,50.95,36.9,65
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2023-02-27,2,46.35,45,47.7
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2023-03-06,1,38,38,38
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2023-04-03,3,55,50,59.5
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2023-05-15,2,65,64.99,65
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2023-05-22,4,68,37,99.65
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2023-06-05,3,99.99,99.99,133.97
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2023-06-12,1,87.58,87.58,87.58
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2023-07-03,1,51,51,51
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2023-07-10,1,75.58,75.58,75.58
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2023-07-17,1,69.75,69.75,69.75
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2023-07-24,1,46.8,46.8,46.8
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2023-07-31,2,34.75,23.5,46
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2023-08-07,1,41,41,41
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2023-08-28,2,42,41,43
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2023-09-04,2,63,49.99,76
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2023-09-11,2,40,30,50
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2023-09-18,3,50,36,64.99
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2023-09-25,2,48.53,42,55.06
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2023-10-02,2,47.42,45,49.85
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2023-10-09,1,35,35,35
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2023-10-16,1,26,26,26
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2023-10-23,3,39.69,31.2,43.72
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2023-10-30,1,29.28,29.28,29.28
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2023-11-06,1,27.6,27.6,27.6
ff0b72a4-9a49-4fb4-b8ee-8929b5184e15,2023-11-13,1,34,34,34
